Date,Close,COF
28/12/2004,83.95,0.013672556
27/12/2004,82.81,0.004599379
23/12/2004,82.43,-0.003632845
22/12/2004,82.73,-0.000241721
21/12/2004,82.75,0.00995879
20/12/2004,81.93,-0.001341709
17/12/2004,82.04,0.002685221
16/12/2004,81.82,-0.007670337
15/12/2004,82.45,0.007181578
14/12/2004,81.86,-0.001464844
13/12/2004,81.98,0.010545775
10/12/2004,81.12,0.024079512
09/12/2004,79.19,0.007478329
08/12/2004,78.6,-0.001144383
07/12/2004,78.69,-0.008352364
06/12/2004,79.35,0.001387225
03/12/2004,79.24,-0.00841978
02/12/2004,79.91,0.007662873
01/12/2004,79.3,0.009120915
30/11/2004,78.58,0.000891209
29/11/2004,78.51,-0.018550598
26/11/2004,79.98,-0.000125023
24/11/2004,79.99,0.006522035
23/11/2004,79.47,0.015982075
22/11/2004,78.21,0.006928434
19/11/2004,77.67,-0.020012139
