Date,Close,LMT
28/12/2005,63.81,0.003768257
27/12/2005,63.57,0.000157319
23/12/2005,63.56,0.000944436
22/12/2005,63.5,0.00727046
21/12/2005,63.04,0.004451518
20/12/2005,62.76,0.002073531
19/12/2005,62.63,-0.018665521
16/12/2005,63.81,0.001097609
15/12/2005,63.74,0.008982804
14/12/2005,63.17,0.000633413
13/12/2005,63.13,0.015967128
12/12/2005,62.13,-0.012635114
09/12/2005,62.92,0.008619367
08/12/2005,62.38,0.001283285
07/12/2005,62.3,0.003859767
06/12/2005,62.06,0.008739334
05/12/2005,61.52,-0.00178644
02/12/2005,61.63,-0.004371415
01/12/2005,61.9,0.021225287
30/11/2005,60.6,-0.004938282
29/11/2005,60.9,0.008740882
28/11/2005,60.37,-0.004627343
25/11/2005,60.65,0.009276197
23/11/2005,60.09,-0.008451455
22/11/2005,60.6,-0.009525446
21/11/2005,61.18,0.020142665
18/11/2005,59.96,-0.016540238
17/11/2005,60.96,0.008897735
16/11/2005,60.42,0.006975614
15/11/2005,60,0.003506139
14/11/2005,59.79,0.006712561
11/11/2005,59.39,0.003711205
10/11/2005,59.17,-0.001182333
09/11/2005,59.24,-0.004379323
08/11/2005,59.5,-0.003020643
07/11/2005,59.68,0.008751318
04/11/2005,59.16,-0.013598799
03/11/2005,59.97,-0.000166736
02/11/2005,59.98,0.000500292
01/11/2005,59.95,-0.010123728
31/10/2005,60.56,-0.012471445
28/10/2005,61.32,0.024766001
27/10/2005,59.82,-0.004170496
26/10/2005,60.07,-0.019126717
25/10/2005,61.23,-0.018126407
24/10/2005,62.35,0.025173883
21/10/2005,60.8,-0.013721221
20/10/2005,61.64,-0.017209914
19/10/2005,62.71,0.029451967
18/10/2005,60.89,-0.004751381
17/10/2005,61.18,0.007547206
14/10/2005,60.72,0.023832475
13/10/2005,59.29,-0.003367573
12/10/2005,59.49,-0.00134386
11/10/2005,59.57,-0.014995283
10/10/2005,60.47,0.002317882
07/10/2005,60.33,-0.002483239
06/10/2005,60.48,0.00630289
05/10/2005,60.1,-0.006964047
04/10/2005,60.52,-0.014598799
03/10/2005,61.41,0.006043301
30/09/2005,61.04,0.001475531
29/09/2005,60.95,-0.007844459
28/09/2005,61.43,-0.002763555
27/09/2005,61.6,0.003089182
26/09/2005,61.41,0.001955991
23/09/2005,61.29,0.014296522
22/09/2005,60.42,-0.002314433
21/09/2005,60.56,-0.017189586
20/09/2005,61.61,-0.009530805
19/09/2005,62.2,-0.002889711
16/09/2005,62.38,0.000160321
15/09/2005,62.37,0.002890175
14/09/2005,62.19,-0.005452226
13/09/2005,62.53,-0.003193361
12/09/2005,62.73,-0.000318776
09/09/2005,62.75,0
08/09/2005,62.75,-0.001910524
07/09/2005,62.87,0.011518284
06/09/2005,62.15,0.009213675
02/09/2005,61.58,-0.003889794
01/09/2005,61.82,-0.006770943
31/08/2005,62.24,-0.000321285
30/08/2005,62.26,-0.006563699
29/08/2005,62.67,0.014626959
26/08/2005,61.76,-0.004684606
25/08/2005,62.05,-0.003860388
24/08/2005,62.29,-0.012127163
