Date,Close,AMZN
29/11/2005,48.55,0.004127973
28/11/2005,48.35,0.006015992
25/11/2005,48.06,-0.003738322
23/11/2005,48.24,-0.012565826
22/11/2005,48.85,0.017761723
21/11/2005,47.99,0.000208398
18/11/2005,47.98,0.026183928
17/11/2005,46.74,0.031293297
16/11/2005,45.3,0.018942071
15/11/2005,44.45,0.044155253
14/11/2005,42.53,-0.003520717
11/11/2005,42.68,0.011784251
10/11/2005,42.18,0.018665294
09/11/2005,41.4,-0.013197552
08/11/2005,41.95,0.013439127
07/11/2005,41.39,0.007274523
04/11/2005,41.09,-0.011373383
03/11/2005,41.56,0.019682327
02/11/2005,40.75,0.009368905
01/11/2005,40.37,0.01271362
31/10/2005,39.86,0.023094542
28/10/2005,38.95,-0.002820153
27/10/2005,39.06,-0.017510916
26/10/2005,39.75,-0.149720395
25/10/2005,46.17,-0.016326893
24/10/2005,46.93,0.021103281
21/10/2005,45.95,0.020669161
20/10/2005,45.01,-0.01870859
19/10/2005,45.86,0.02673897
18/10/2005,44.65,-0.008252528
17/10/2005,45.02,0.027701355
14/10/2005,43.79,0.027081854
13/10/2005,42.62,0.001643772
12/10/2005,42.55,-0.019779586
11/10/2005,43.4,-0.008260717
10/10/2005,43.76,0.000914495
07/10/2005,43.72,-0.006611218
06/10/2005,44.01,-0.010847564
05/10/2005,44.49,-0.009841278
04/10/2005,44.93,-0.023753041
03/10/2005,46.01,0.015551732
30/09/2005,45.3,0.011322132
29/09/2005,44.79,0.032216942
28/09/2005,43.37,0.004853817
27/09/2005,43.16,-0.004161856
26/09/2005,43.34,0.02689277
23/09/2005,42.19,0.002610658
22/09/2005,42.08,0.019921456
21/09/2005,41.25,-0.014918467
20/09/2005,41.87,-0.020799615
19/09/2005,42.75,-0.001168907
16/09/2005,42.8,0.002105018
15/09/2005,42.71,-0.009089912
14/09/2005,43.1,-0.019074461
13/09/2005,43.93,-0.012891731
12/09/2005,44.5,0.035452541
09/09/2005,42.95,-0.000232802
08/09/2005,42.96,-0.017764915
07/09/2005,43.73,0.002518605
06/09/2005,43.62,0.049581399
02/09/2005,41.51,-0.007918458
01/09/2005,41.84,-0.0203461
31/08/2005,42.7,0.004930166
30/08/2005,42.49,-0.007035676
29/08/2005,42.79,0.009863866
26/08/2005,42.37,0.0014171
25/08/2005,42.31,-0.0014171
24/08/2005,42.37,-0.0244796
23/08/2005,43.42,-0.008028487
22/08/2005,43.77,0.001142988
19/08/2005,43.72,-0.000228702
18/08/2005,43.73,-0.008878829
17/08/2005,44.12,-0.003394052
16/08/2005,44.27,-0.017243737
15/08/2005,45.04,0.018826195
12/08/2005,44.2,-0.022593512
11/08/2005,45.21,0.010003418
10/08/2005,44.76,-0.025803615
09/08/2005,45.93,0.005895857
08/08/2005,45.66,0.00857808
05/08/2005,45.27,-0.004188257
04/08/2005,45.46,-0.014197028
03/08/2005,46.11,-0.008637497
02/08/2005,46.51,0.03456162
01/08/2005,44.93,-0.004884557
29/07/2005,45.15,-0.011670285
28/07/2005,45.68,0.045457283
27/07/2005,43.65,0.145482742
26/07/2005,37.74,-0.005548964
25/07/2005,37.95,0
22/07/2005,37.95,0
21/07/2005,37.95,-0.005780363
20/07/2005,38.17,0
19/07/2005,38.17,0.026009959
18/07/2005,37.19,0.001076137
15/07/2005,37.15,-0.001076137
14/07/2005,37.19,0.018453712
13/07/2005,36.51,0.00549301
12/07/2005,36.31,0.020028486
11/07/2005,35.59,0.024172939
08/07/2005,34.74,0.022708399
07/07/2005,33.96,-0.002940314
06/07/2005,34.06,-0.000587027
05/07/2005,34.08,0.034934139
01/07/2005,32.91,-0.005454559
30/06/2005,33.09,-0.00782665
29/06/2005,33.35,-0.010736757
28/06/2005,33.71,-0.023164795
27/06/2005,34.5,-0.014960003
24/06/2005,35.02,-0.011639592
23/06/2005,35.43,0.005944816
22/06/2005,35.22,-0.004532586
21/06/2005,35.38,-0.008723849
20/06/2005,35.69,0.010704328
17/06/2005,35.31,-0.007617472
16/06/2005,35.58,0.009601881
15/06/2005,35.24,0.005691535
14/06/2005,35.04,0.004863405
13/06/2005,34.87,-0.002291608
10/06/2005,34.95,-0.007127614
09/06/2005,35.2,0.010566998
08/06/2005,34.83,-0.014819308
07/06/2005,35.35,-0.011811161
06/06/2005,35.77,0.005044854
03/06/2005,35.59,-0.022778763
02/06/2005,36.41,-0.002468798
01/06/2005,36.5,0.027497914
31/05/2005,35.51,0.00028165
27/05/2005,35.5,0.001409444
26/05/2005,35.45,0.005657724
25/05/2005,35.25,-0.008193293
24/05/2005,35.54,-0.003931485
23/05/2005,35.68,0.005057611
20/05/2005,35.5,-0.002532003
19/05/2005,35.59,0.007332238
18/05/2005,35.33,0.017128595
17/05/2005,34.73,0.005485794
16/05/2005,34.54,0.018703058
13/05/2005,33.9,0.001476015
12/05/2005,33.85,0.000886656
11/05/2005,33.82,-0.012050109
10/05/2005,34.23,-0.011906631
09/05/2005,34.64,0.003470217
06/05/2005,34.52,0.016355505
05/05/2005,33.96,0
04/05/2005,33.96,0.022332326
03/05/2005,33.21,0.003317753
02/05/2005,33.1,0.02261019
29/04/2005,32.36,-0.004932192
28/04/2005,32.52,0.024907888
27/04/2005,31.72,-0.030733445
26/04/2005,32.71,-0.024759719
25/04/2005,33.53,0.014721612
22/04/2005,33.04,-0.0206687
21/04/2005,33.73,0.014332882
20/04/2005,33.25,0.014236194
19/04/2005,32.78,-0.006688988
18/04/2005,33,-0.000605877
15/04/2005,33.02,-0.028364344
14/04/2005,33.97,-0.009667572
13/04/2005,34.3,-0.009575004
12/04/2005,34.63,0.000866676
11/04/2005,34.6,0
08/04/2005,34.6,-0.008633147
07/04/2005,34.9,0.002294895
06/04/2005,34.82,-0.013124297
05/04/2005,35.28,0.00796817
04/04/2005,35,0.028693462
01/04/2005,34.01,-0.007615737
31/03/2005,34.27,-0.001457939
30/03/2005,34.32,0.026274574
29/03/2005,33.43,0.001197246
28/03/2005,33.39,0.015391884
24/03/2005,32.88,-0.009082715
23/03/2005,33.18,0.000904568
22/03/2005,33.15,-0.015564517
21/03/2005,33.67,-0.014448136
18/03/2005,34.16,0.005577587
17/03/2005,33.97,0.002948115
16/03/2005,33.87,-0.009111011
15/03/2005,34.18,-0.012213004
14/03/2005,34.6,-0.00432589
11/03/2005,34.75,-0.004593749
10/03/2005,34.91,-0.013938499
09/03/2005,35.4,-0.012073711
08/03/2005,35.83,-0.013583022
07/03/2005,36.32,0.013024987
04/03/2005,35.85,0.00559442
03/03/2005,35.65,0.00421645
02/03/2005,35.5,0.003103402
01/03/2005,35.39,0.005951555
28/02/2005,35.18,0.005415433
25/02/2005,34.99,0.008610845
24/02/2005,34.69,0.015981744
23/02/2005,34.14,-0.016846172
22/02/2005,34.72,-0.01685032
18/02/2005,35.31,-0.010704328
17/02/2005,35.69,0.000840925
16/02/2005,35.66,-0.013370673
15/02/2005,36.14,0.00304836
14/02/2005,36.03,0.006962847
11/02/2005,35.78,0
10/02/2005,35.78,-0.003069627
09/02/2005,35.89,-0.011359036
08/02/2005,36.3,0.016947204
07/02/2005,35.69,-0.000840219
04/02/2005,35.72,-0.000839513
03/02/2005,35.75,-0.158258117
02/02/2005,41.88,-0.014224991
01/02/2005,42.48,-0.017269974
31/01/2005,43.22,0.023409309
28/01/2005,42.22,-0.002129422
27/01/2005,42.31,0.02319291
26/01/2005,41.34,0.009722974
25/01/2005,40.94,0.013772967
24/01/2005,40.38,-0.019132298
21/01/2005,41.16,-0.02873761
20/01/2005,42.36,-0.037075609
19/01/2005,43.96,-0.014005198
18/01/2005,44.58,0.000673174
14/01/2005,44.55,0.044757901
13/01/2005,42.6,0.007067167
12/01/2005,42.3,0.015725842
11/01/2005,41.64,-0.004791576
10/01/2005,41.84,-0.011406968
07/01/2005,42.32,0.030468952
06/01/2005,41.05,-0.017387543
05/01/2005,41.77,-0.00881903
04/01/2005,42.14,-0.054941118
03/01/2005,44.52,0.005179608
31/12/2004,44.29,-0.015236683
30/12/2004,44.97,0.003341132
29/12/2004,44.82,0.00424819
28/12/2004,44.63,0.054801925
27/12/2004,42.25,0.081839192
