Date,Close,AEP
20/03/2006,35.17,-0.00933925
17/03/2006,35.5,-0.010368595
16/03/2006,35.87,0.003351022
15/03/2006,35.75,0.007299302
14/03/2006,35.49,0.003386963
13/03/2006,35.37,0.001697793
10/03/2006,35.31,-0.010143789
09/03/2006,35.67,-0.006705809
08/03/2006,35.91,0.001672241
07/03/2006,35.85,0.006155587
06/03/2006,35.63,-0.02302779
03/03/2006,36.46,0.003296706
02/03/2006,36.34,-0.005488488
01/03/2006,36.54,0.00109529
28/02/2006,36.5,0.001370802
27/02/2006,36.45,0.000823384
24/02/2006,36.42,0.003575853
23/02/2006,36.29,-0.00385039
22/02/2006,36.43,0.007439075
21/02/2006,36.16,-0.005790723
17/02/2006,36.37,0.009669919
16/02/2006,36.02,0.012290658
15/02/2006,35.58,-0.004766587
14/02/2006,35.75,-0.009188426
13/02/2006,36.08,0.00138677
10/02/2006,36.03,0.003057681
09/02/2006,35.92,-0.000834841
08/02/2006,35.95,-0.001667593
07/02/2006,36.01,-0.005814775
06/02/2006,36.22,0.003318587
03/02/2006,36.1,-0.001937181
02/02/2006,36.17,-0.021064929
01/02/2006,36.94,-0.010234401
31/01/2006,37.32,0.002414488
30/01/2006,37.23,-0.003218024
27/01/2006,37.35,0.009685306
26/01/2006,36.99,-0.011023099
25/01/2006,37.4,-0.01433526
24/01/2006,37.94,0.013533443
23/01/2006,37.43,0.001604278
20/01/2006,37.37,-0.014346686
19/01/2006,37.91,0.013811641
18/01/2006,37.39,0.000267487
17/01/2006,37.38,0.00536482
13/01/2006,37.18,0.007017573
12/01/2006,36.92,-0.007286498
11/01/2006,37.19,0.001884
10/01/2006,37.12,0.000269433
09/01/2006,37.11,-0.014977547
06/01/2006,37.67,0.01551663
05/01/2006,37.09,-0.005645935
04/01/2006,37.3,-0.001607287
03/01/2006,37.36,0.007253222
30/12/2005,37.09,-0.006181984
29/12/2005,37.32,0.003220615
28/12/2005,37.2,-0.014411779
27/12/2005,37.74,0.010655402
23/12/2005,37.34,0.001071811
22/12/2005,37.3,0.011866374
21/12/2005,36.86,-0.006490017
20/12/2005,37.1,0.002699057
19/12/2005,37,-0.011287408
16/12/2005,37.42,0.003748331
15/12/2005,37.28,-0.014116628
14/12/2005,37.81,0.008766161
13/12/2005,37.48,0.010460066
12/12/2005,37.09,0.000809171
09/12/2005,37.06,-0.002963763
08/12/2005,37.17,0.023684243
07/12/2005,36.3,-0.010413906
06/12/2005,36.68,0.005741643
05/12/2005,36.47,-0.008464214
02/12/2005,36.78,-0.000543626
01/12/2005,36.8,0.007090294
30/11/2005,36.54,-0.017094433
29/11/2005,37.17,0
28/11/2005,37.17,0.006748575
25/11/2005,36.92,0.000541859
23/11/2005,36.9,0.008163311
