Date,Close,NOV
27/11/2006,62.51,0.008353462
24/11/2006,61.99,-0.00096743
22/11/2006,62.05,-0.003699835
21/11/2006,62.28,0.03596334
20/11/2006,60.08,-0.003655096
17/11/2006,60.3,0.010167602
16/11/2006,59.69,-0.039581487
15/11/2006,62.1,0.026598615
14/11/2006,60.47,-0.003137128
13/11/2006,60.66,-0.008699275
10/11/2006,61.19,-0.019100613
09/11/2006,62.37,-0.006392862
08/11/2006,62.77,0.022393203
07/11/2006,61.38,-0.01696188
06/11/2006,62.43,0.02284425
03/11/2006,61.02,0.03315589
02/11/2006,59.03,-0.004394868
01/11/2006,59.29,-0.018548447
31/10/2006,60.4,0.010150682
30/10/2006,59.79,-0.001337122
27/10/2006,59.87,-0.033506173
26/10/2006,61.91,0.003559874
25/10/2006,61.69,0.023619271
24/10/2006,60.25,0.029817757
23/10/2006,58.48,0.001540173
20/10/2006,58.39,-0.026533031
19/10/2006,59.96,0.034614925
18/10/2006,57.92,-0.009280012
17/10/2006,58.46,-0.008346867
16/10/2006,58.95,0.038210198
13/10/2006,56.74,0.018319765
12/10/2006,55.71,0.043660639
11/10/2006,53.33,-0.020048936
10/10/2006,54.41,0.009417483
09/10/2006,53.9,-0.014001703
06/10/2006,54.66,0.011592733
05/10/2006,54.03,0.022081736
04/10/2006,52.85,0.014676714
03/10/2006,52.08,-0.085169564
02/10/2006,56.71,-0.031930528
29/09/2006,58.55,0.000854336
28/09/2006,58.5,-0.000854336
27/09/2006,58.55,0.013757741
26/09/2006,57.75,0.016939198
25/09/2006,56.78,0.007956898
22/09/2006,56.33,-0.020557695
21/09/2006,57.5,0.008558257
20/09/2006,57.01,-0.031255242
19/09/2006,58.82,-0.02981296
18/09/2006,60.6,0.024049255
15/09/2006,59.16,0.00882858
14/09/2006,58.64,-0.027915046
13/09/2006,60.3,0.034588011
12/09/2006,58.25,-0.01651523
11/09/2006,59.22,-0.048452383
08/09/2006,62.16,-0.043289989
07/09/2006,64.91,-0.01042155
06/09/2006,65.59,-0.037260239
05/09/2006,68.08,0.015692402
01/09/2006,67.02,0.025999046
31/08/2006,65.3,0.002606764
30/08/2006,65.13,-0.026066031
29/08/2006,66.85,0.008110588
28/08/2006,66.31,-0.024284247
25/08/2006,67.94,0.018120205
24/08/2006,66.72,0.005259611
23/08/2006,66.37,-0.024409606
22/08/2006,68.01,0.018251119
21/08/2006,66.78,0.007666328
18/08/2006,66.27,0.032980978
17/08/2006,64.12,-0.02495124
16/08/2006,65.74,0.01532832
15/08/2006,64.74,0.017608558
14/08/2006,63.61,-0.018534913
11/08/2006,64.8,-0.013793322
10/08/2006,65.7,0.001218398
09/08/2006,65.62,0.002135775
08/08/2006,65.48,-0.003962816
07/08/2006,65.74,0.009783019
04/08/2006,65.1,-0.018265348
03/08/2006,66.3,-0.00900907
02/08/2006,66.9,-0.0011951
01/08/2006,66.98,-0.000895389
31/07/2006,67.04,0.023391997
28/07/2006,65.49,0.018337828
27/07/2006,64.3,0.022490529
26/07/2006,62.87,0.045392095
25/07/2006,60.08,0.026308431
24/07/2006,58.52,0.008580797
21/07/2006,58.02,-0.022158739
20/07/2006,59.32,-0.027763399
19/07/2006,60.99,0.036568061
18/07/2006,58.8,-0.014687527
17/07/2006,59.67,-0.039755564
14/07/2006,62.09,0.009873027
13/07/2006,61.48,-0.006969799
12/07/2006,61.91,-0.000807298
11/07/2006,61.96,0.023680375
10/07/2006,60.51,0.005136288
07/07/2006,60.2,-0.021202208
06/07/2006,61.49,-0.017091677
05/07/2006,62.55,-0.014758659
03/07/2006,63.48,0.002523661
30/06/2006,63.32,0.003480465
29/06/2006,63.1,0.040095898
28/06/2006,60.62,0.0072848
27/06/2006,60.18,-0.004311066
26/06/2006,60.44,0.0078067
23/06/2006,59.97,0.021064053
22/06/2006,58.72,0.005464494
