Date,Close,FCX
24/06/2005,36.68,0.010965022
23/06/2005,36.28,-0.017486784
22/06/2005,36.92,-0.010239917
21/06/2005,37.3,-0.006147286
20/06/2005,37.53,-0.02655605
17/06/2005,38.54,0.014110503
16/06/2005,38,0.035354512
15/06/2005,36.68,0.035802353
14/06/2005,35.39,-0.016811828
13/06/2005,35.99,0.00725045
10/06/2005,35.73,0.021214202
09/06/2005,34.98,0.000571919
08/06/2005,34.96,-0.018702727
07/06/2005,35.62,-0.015599202
06/06/2005,36.18,-0.017534696
03/06/2005,36.82,0.015601795
02/06/2005,36.25,0.004700686
01/06/2005,36.08,0.021855731
31/05/2005,35.3,-0.006775859
27/05/2005,35.54,0.017026518
26/05/2005,34.94,0.009200755
25/05/2005,34.62,0.000577868
24/05/2005,34.6,0.020143726
23/05/2005,33.91,0.004433286
20/05/2005,33.76,-0.016451605
19/05/2005,34.32,-0.003200003
18/05/2005,34.43,0.027382839
17/05/2005,33.5,0.043312656
16/05/2005,32.08,0.000623636
13/05/2005,32.06,-0.03101738
12/05/2005,33.07,-0.063839002
11/05/2005,35.25,-0.008193293
10/05/2005,35.54,-0.020332131
09/05/2005,36.27,0.000551572
06/05/2005,36.25,-0.00110284
05/05/2005,36.29,0.007190296
04/05/2005,36.03,0.01792263
03/05/2005,35.39,0.017386785
02/05/2005,34.78,0.003456225
29/04/2005,34.66,0.020108502
28/04/2005,33.97,-0.025862258
27/04/2005,34.86,-0.034952825
26/04/2005,36.1,-0.029747043
25/04/2005,37.19,0.025876427
22/04/2005,36.24,0.003870616
21/04/2005,36.1,0.002496188
20/04/2005,36.01,-0.00498616
19/04/2005,36.19,0.027736755
18/04/2005,35.2,0.029405405
15/04/2005,34.18,-0.018551257
14/04/2005,34.82,-0.047394261
13/04/2005,36.51,-0.052812272
12/04/2005,38.49,0.008610621
11/04/2005,38.16,-0.007310738
08/04/2005,38.44,-0.012666578
07/04/2005,38.93,-0.000770317
06/04/2005,38.96,0.000770317
05/04/2005,38.93,-0.005890656
04/04/2005,39.16,-0.021473605
01/04/2005,40.01,0.010047811
31/03/2005,39.61,0.019630968
30/03/2005,38.84,0.025555498
29/03/2005,37.86,-0.020134031
28/03/2005,38.63,-0.002327086
24/03/2005,38.72,-0.004895025
23/03/2005,38.91,-0.029376638
22/03/2005,40.07,-0.006219699
21/03/2005,40.32,-0.021347885
18/03/2005,41.19,-0.007015875
17/03/2005,41.48,0.01554939
16/03/2005,40.84,-0.013135679
15/03/2005,41.38,0.009957581
14/03/2005,40.97,0.003178098
11/03/2005,40.84,-0.001956948
10/03/2005,40.92,-0.035529421
09/03/2005,42.4,-0.014284285
08/03/2005,43.01,0.002560821
07/03/2005,42.9,-0.019162539
04/03/2005,43.73,0.054511968
03/03/2005,41.41,-0.008895359
02/03/2005,41.78,0.012281912
01/03/2005,41.27,-0.01323885
28/02/2005,41.82,0.017366572
25/02/2005,41.1,0.01569429
