Date,Close,VZ
29/12/2005,30.27,0.000660939
28/12/2005,30.25,-0.006261349
27/12/2005,30.44,-0.001313198
23/12/2005,30.48,-0.006866138
22/12/2005,30.69,0.002283478
21/12/2005,30.62,0.00261609
20/12/2005,30.54,0.000655093
19/12/2005,30.52,0.000983445
16/12/2005,30.49,-0.003927992
15/12/2005,30.61,0.002289453
14/12/2005,30.54,-0.005876608
13/12/2005,30.72,0
12/12/2005,30.72,-0.011650617
09/12/2005,31.08,-0.004814646
08/12/2005,31.23,-0.007019812
07/12/2005,31.45,-0.009178732
06/12/2005,31.74,0.000945627
05/12/2005,31.71,-0.00503304
02/12/2005,31.87,-0.008436232
01/12/2005,32.14,0.004990653
30/11/2005,31.98,-0.005301743
29/11/2005,32.15,-0.000932691
28/11/2005,32.18,0.006234434
25/11/2005,31.98,0.004073325
23/11/2005,31.85,-0.000627746
22/11/2005,31.87,0.00314268
21/11/2005,31.77,0.002205767
18/11/2005,31.7,0
17/11/2005,31.7,0.019108862
16/11/2005,31.1,0.009043989
15/11/2005,30.82,-0.017688192
14/11/2005,31.37,-0.000955871
11/11/2005,31.4,0.008314727
10/11/2005,31.14,0.009356416
09/11/2005,30.85,0.006177877
08/11/2005,30.66,0.003594188
07/11/2005,30.55,-0.011391498
04/11/2005,30.9,0.002267942
03/11/2005,30.83,-0.020546469
02/11/2005,31.47,0.004139474
01/11/2005,31.34,-0.005409719
31/10/2005,31.51,-0.006011725
28/10/2005,31.7,0.030101536
27/10/2005,30.76,0.005541986
26/10/2005,30.59,0.006559551
25/10/2005,30.39,0.009920716
24/10/2005,30.09,0.019124891
21/10/2005,29.52,0.01089929
20/10/2005,29.2,-0.006825965
19/10/2005,29.4,0.001702128
18/10/2005,29.35,-0.001702128
17/10/2005,29.4,-0.016863806
14/10/2005,29.9,0.003350087
13/10/2005,29.8,-0.001006205
12/10/2005,29.83,-0.00368078
11/10/2005,29.94,-0.011622246
10/10/2005,30.29,-0.009855533
07/10/2005,30.59,-0.016856153
06/10/2005,31.11,-0.009597003
05/10/2005,31.41,-0.025461064
04/10/2005,32.22,-0.005571045
03/10/2005,32.4,-0.008910798
30/09/2005,32.69,0.00490648
29/09/2005,32.53,0.003695723
28/09/2005,32.41,0.017429635
27/09/2005,31.85,-0.004698521
26/09/2005,32,-0.004987542
23/09/2005,32.16,0.006864302
22/09/2005,31.94,-0.000313038
21/09/2005,31.95,-0.009655892
20/09/2005,32.26,-0.00987053
19/09/2005,32.58,-0.007034744
16/09/2005,32.81,0.012883614
15/09/2005,32.39,-0.004313007
14/09/2005,32.53,0.000922651
13/09/2005,32.5,-0.002765404
12/09/2005,32.59,-0.004286596
09/09/2005,32.73,0.007667573
08/09/2005,32.48,-0.007667573
07/09/2005,32.73,-0.005180569
06/09/2005,32.9,0.012848142
02/09/2005,32.48,-0.004301082
01/09/2005,32.62,-0.002755244
31/08/2005,32.71,0.011066821
30/08/2005,32.35,-0.002161495
29/08/2005,32.42,-0.005536772
26/08/2005,32.6,-0.002756932
25/08/2005,32.69,-0.00305437
24/08/2005,32.79,-0.013630379
23/08/2005,33.24,0.003314754
22/08/2005,33.13,0.001812689
19/08/2005,33.07,0.005457867
18/08/2005,32.89,-0.004852906
17/08/2005,33.05,-0.001209556
16/08/2005,33.09,0.003026637
15/08/2005,32.99,-0.001817081
12/08/2005,33.05,-0.001511716
11/08/2005,33.1,-0.001509434
10/08/2005,33.15,-0.00451468
09/08/2005,33.3,0.005118181
08/08/2005,33.13,-0.005718601
05/08/2005,33.32,-0.01134002
04/08/2005,33.7,-0.015312431
03/08/2005,34.22,0.009985399
02/08/2005,33.88,-0.002947246
01/08/2005,33.98,-0.007330336
29/07/2005,34.23,-0.012483832
28/07/2005,34.66,0.01044093
27/07/2005,34.3,0.004968591
26/07/2005,34.13,0.003228176
25/07/2005,34.02,-0.004399479
22/07/2005,34.17,-0.000292612
21/07/2005,34.18,-0.00786832
20/07/2005,34.45,-0.001450327
19/07/2005,34.5,0.004066227
18/07/2005,34.36,-0.009558364
15/07/2005,34.69,-0.003165926
14/07/2005,34.8,0.006341907
13/07/2005,34.58,0.009588916
12/07/2005,34.25,-0.001458789
11/07/2005,34.3,-0.00291121
08/07/2005,34.4,0.002619708
07/07/2005,34.31,-0.003200934
06/07/2005,34.42,-0.01442194
05/07/2005,34.92,0.010073477
01/07/2005,34.57,0.000578704
30/06/2005,34.55,-0.005196317
29/06/2005,34.73,0.002306141
