Date,Close,SBUX
08/08/2005,50.99,0.008864433
05/08/2005,50.54,-0.008668297
04/08/2005,50.98,-0.017885391
03/08/2005,51.9,-0.004038079
02/08/2005,52.11,-0.001534037
01/08/2005,52.19,-0.006874192
29/07/2005,52.55,-0.00247078
28/07/2005,52.68,0.045237258
27/07/2005,50.35,-0.000794124
26/07/2005,50.39,-0.001190004
25/07/2005,50.45,-0.017097793
22/07/2005,51.32,-0.005828655
21/07/2005,51.62,-0.007911281
20/07/2005,52.03,0.008105023
19/07/2005,51.61,-0.014236485
18/07/2005,52.35,-0.006663518
15/07/2005,52.7,0.004564481
14/07/2005,52.46,0.014399788
13/07/2005,51.71,-0.004823005
12/07/2005,51.96,-0.001346283
11/07/2005,52.03,0.004816501
08/07/2005,51.78,0.031188171
07/07/2005,50.19,-0.007740438
06/07/2005,50.58,-0.027302788
05/07/2005,51.98,0.018053485
01/07/2005,51.05,-0.011878243
30/06/2005,51.66,-0.009823829
29/06/2005,52.17,-0.016915732
28/06/2005,53.06,0.020949157
27/06/2005,51.96,-0.009195467
24/06/2005,52.44,-0.014388737
23/06/2005,53.2,-0.01436994
22/06/2005,53.97,0.0018546
21/06/2005,53.87,-0.010341736
20/06/2005,54.43,-0.00220224
17/06/2005,54.55,-0.008397275
16/06/2005,55.01,-0.005438737
15/06/2005,55.31,0.001266395
14/06/2005,55.24,-0.001266395
13/06/2005,55.31,0.009811125
10/06/2005,54.77,-0.00963031
09/06/2005,55.3,0.003441721
08/06/2005,55.11,-0.007231997
07/06/2005,55.51,-0.005031457
06/06/2005,55.79,0.005932602
03/06/2005,55.46,-0.014144001
02/06/2005,56.25,0.02338236
01/06/2005,54.95,0.002915985
31/05/2005,54.79,-0.015214929
27/05/2005,55.63,0.007940847
26/05/2005,55.19,0.003448592
25/05/2005,55,0.004008021
24/05/2005,54.78,-0.002552417
23/05/2005,54.92,-0.00127377
20/05/2005,54.99,-0.001635323
19/05/2005,55.08,0.000544811
18/05/2005,55.05,0.018332319
17/05/2005,54.05,0.004821968
16/05/2005,53.79,-0.00389647
13/05/2005,54,0.015865942
12/05/2005,53.15,0.003770033
11/05/2005,52.95,0.020029282
10/05/2005,51.9,-0.006338252
09/05/2005,52.23,-0.003631155
06/05/2005,52.42,0.003439713
05/05/2005,52.24,0.0316993
04/05/2005,50.61,0.0119262
03/05/2005,50.01,0.004007218
02/05/2005,49.81,0.005839139
29/04/2005,49.52,0.019576482
28/04/2005,48.56,0.045285193
27/04/2005,46.41,-0.004300157
26/04/2005,46.61,-0.017861415
25/04/2005,47.45,0.040646386
22/04/2005,45.56,-0.018484815
21/04/2005,46.41,0.016073326
20/04/2005,45.67,-0.011970978
19/04/2005,46.22,-0.016734997
18/04/2005,47,-0.007208002
15/04/2005,47.34,0.009977792
14/04/2005,46.87,-0.005107481
13/04/2005,47.11,-0.017673509
12/04/2005,47.95,0.009218586
11/04/2005,47.51,-0.023094754
08/04/2005,48.62,-0.037938367
07/04/2005,50.5,-0.031767262
06/04/2005,52.13,0.007509422
05/04/2005,51.74,0.006398471
04/04/2005,51.41,0.002921985
01/04/2005,51.26,-0.007773067
31/03/2005,51.66,-0.022016779
30/03/2005,52.81,0.004554952
29/03/2005,52.57,0.007446335
28/03/2005,52.18,0.006344345
24/03/2005,51.85,0.007938855
23/03/2005,51.44,-0.004267708
22/03/2005,51.66,-0.009823829
21/03/2005,52.17,-0.006686432
18/03/2005,52.52,0.007261641
17/03/2005,52.14,0.001535509
16/03/2005,52.06,-0.024289619
15/03/2005,53.34,-0.006726483
14/03/2005,53.7,0.003731348
11/03/2005,53.5,-0.014842573
10/03/2005,54.3,-0.004776787
09/03/2005,54.56,0
08/03/2005,54.56,-0.010755732
07/03/2005,55.15,0.012957568
04/03/2005,54.44,0.015736694
03/03/2005,53.59,0.014661917
02/03/2005,52.81,0.004364747
01/03/2005,52.58,0.014752638
28/02/2005,51.81,0.012429758
25/02/2005,51.17,0.00039093
24/02/2005,51.15,0.02474149
23/02/2005,49.9,0.005425513
22/02/2005,49.63,-0.006026535
18/02/2005,49.93,0.00260704
17/02/2005,49.8,-0.011777759
16/02/2005,50.39,-0.002378594
15/02/2005,50.51,0.01315284
14/02/2005,49.85,-0.006598045
11/02/2005,50.18,0
10/02/2005,50.18,-0.007346405
09/02/2005,50.55,-0.019977163
08/02/2005,51.57,0.011114475
07/02/2005,51,0.006688988
04/02/2005,50.66,0.021750833
03/02/2005,49.57,-0.085598235
02/02/2005,54,-0.006460567
01/02/2005,54.35,0.006460567
31/01/2005,54,0.005571045
28/01/2005,53.7,0.01255521
27/01/2005,53.03,-0.042638183
26/01/2005,55.34,0.024511928
25/01/2005,54,0.001668057
24/01/2005,53.91,-0.032305027
21/01/2005,55.68,-0.016564632
20/01/2005,56.61,-0.019937701
19/01/2005,57.75,-0.00345722
18/01/2005,57.95,0.030485893
14/01/2005,56.21,0.015056746
13/01/2005,55.37,-0.029364153
12/01/2005,57.02,-0.006467989
11/01/2005,57.39,-0.0076376
10/01/2005,57.83,-0.031321709
07/01/2005,59.67,-0.001172431
06/01/2005,59.74,-0.030660058
05/01/2005,61.6,0.008150004
04/01/2005,61.1,-0.00065445
03/01/2005,61.14,-0.019757728
31/12/2004,62.36,-0.004480007
30/12/2004,62.64,-0.019445716
29/12/2004,63.87,0.012287489
