Date,Close,GS
22/08/2006,154.15,0.002078058
21/08/2006,153.83,-0.00551037
18/08/2006,154.68,0.001488047
17/08/2006,154.45,-0.003490179
16/08/2006,154.99,0.01521288
15/08/2006,152.65,0.015048796
14/08/2006,150.37,-0.004909125
11/08/2006,151.11,-0.003435294
10/08/2006,151.63,0.010741384
09/08/2006,150.01,-0.009553579
08/08/2006,151.45,-0.007892182
07/08/2006,152.65,-0.002224841
04/08/2006,152.99,0.005834361
03/08/2006,152.1,0.014569794
02/08/2006,149.9,-0.009031805
01/08/2006,151.26,-0.009802388
31/07/2006,152.75,0.006765881
28/07/2006,151.72,0.023069228
27/07/2006,148.26,0.005953204
26/07/2006,147.38,-0.007503331
25/07/2006,148.49,0.010765533
24/07/2006,146.9,0.033643375
21/07/2006,142.04,-0.021865644
20/07/2006,145.18,-0.012254132
19/07/2006,146.97,0.032009922
18/07/2006,142.34,0.010381083
17/07/2006,140.87,0.005481026
14/07/2006,140.1,-0.017336362
13/07/2006,142.55,-0.018901265
12/07/2006,145.27,-0.023135005
11/07/2006,148.67,-0.001210003
10/07/2006,148.85,0.002286791
07/07/2006,148.51,-0.013842208
06/07/2006,150.58,-0.002454152
05/07/2006,150.95,-0.009888017
03/07/2006,152.45,0.013338814
30/06/2006,150.43,-0.011697586
29/06/2006,152.2,0.038238279
28/06/2006,146.49,-0.004563263
27/06/2006,147.16,-0.018447975
26/06/2006,149.9,0.013296818
23/06/2006,147.92,-0.002633091
22/06/2006,148.31,-0.01019664
21/06/2006,149.83,0.030976078
20/06/2006,145.26,0.010449561
19/06/2006,143.75,-0.00173762
16/06/2006,144,-0.000832986
15/06/2006,144.12,0.03977596
14/06/2006,138.5,-0.005400553
13/06/2006,139.25,-0.040462864
12/06/2006,145,-0.033167949
09/06/2006,149.89,0.000867679
08/06/2006,149.76,-0.001267892
07/06/2006,149.95,0.004746157
06/06/2006,149.24,-0.007742663
05/06/2006,150.4,-0.024238436
02/06/2006,154.09,0.0035106
01/06/2006,153.55,0.017077591
31/05/2006,150.95,0.007447338
30/05/2006,149.83,-0.02054437
26/05/2006,152.94,0.037438596
25/05/2006,147.32,0.023349502
24/05/2006,143.92,0.001529797
23/05/2006,143.7,-0.016905698
22/05/2006,146.15,-0.022060713
19/05/2006,149.41,0.016057557
18/05/2006,147.03,-0.007993539
17/05/2006,148.21,-0.029845025
16/05/2006,152.7,-0.002877323
15/05/2006,153.14,-0.019208351
12/05/2006,156.11,-0.020102773
11/05/2006,159.28,-0.029751398
10/05/2006,164.09,-0.010065571
09/05/2006,165.75,0.013484169
08/05/2006,163.53,-0.005245194
05/05/2006,164.39,0.039393488
04/05/2006,158.04,-0.006998988
03/05/2006,159.15,0.002012706
02/05/2006,158.83,0.015097978
01/05/2006,156.45,-0.024248205
28/04/2006,160.29,-0.02269881
27/04/2006,163.97,0.003482302
26/04/2006,163.4,0.003678729
25/04/2006,162.8,-0.015541986
24/04/2006,165.35,-0.003260479
21/04/2006,165.89,-0.015907524
20/04/2006,168.55,0.008939273
19/04/2006,167.05,0.009019905
18/04/2006,165.55,0.022047368
17/04/2006,161.94,0.015620942
13/04/2006,159.43,-0.000564352
12/04/2006,159.52,0.002322152
11/04/2006,159.15,-0.020584664
10/04/2006,162.46,0.008903237
07/04/2006,161.02,-0.006314637
06/04/2006,162.04,0.007992855
05/04/2006,160.75,-0.001554002
04/04/2006,161,0.018050127
03/04/2006,158.12,0.007363243
31/03/2006,156.96,0.000956114
30/03/2006,156.81,-0.000573778
29/03/2006,156.9,0.017617636
28/03/2006,154.16,-0.005434093
27/03/2006,155,0.0184268
24/03/2006,152.17,0.003291209
23/03/2006,151.67,-0.000988501
22/03/2006,151.82,0.016068336
21/03/2006,149.4,-0.018436758
20/03/2006,152.18,0.012031612
17/03/2006,150.36,0.017916936
16/03/2006,147.69,-0.008830824
15/03/2006,149,-0.002814827
14/03/2006,149.42,0.059989032
13/03/2006,140.72,-0.005739608
10/03/2006,141.53,-0.001200438
09/03/2006,141.7,-0.005559675
08/03/2006,142.49,-0.012484034
07/03/2006,144.28,-0.005115808
06/03/2006,145.02,-0.006734958
03/03/2006,146,0.013793322
02/03/2006,144,0.005920268
01/03/2006,143.15,0.013078516
28/02/2006,141.29,-0.017748002
27/02/2006,143.82,-0.002361276
24/02/2006,144.16,0.001388311
23/02/2006,143.96,-0.010846768
22/02/2006,145.53,0.014395708
21/02/2006,143.45,-0.01446442
17/02/2006,145.54,-0.002470493
16/02/2006,145.9,0.005222662
15/02/2006,145.14,0.023422233
14/02/2006,141.78,0.015137268
13/02/2006,139.65,-0.008272172
10/02/2006,140.81,-0.00028403
09/02/2006,140.85,-0.002056811
08/02/2006,141.14,0.011831084
07/02/2006,139.48,-0.023663874
06/02/2006,142.82,0.000560303
03/02/2006,142.74,0.001542453
02/02/2006,142.52,0.005699625
01/02/2006,141.71,0.003251346
31/01/2006,141.25,0.00981795
30/01/2006,139.87,0.006671235
27/01/2006,138.94,0.011145805
26/01/2006,137.4,0.028345565
25/01/2006,133.56,0.004201687
24/01/2006,133,0.000977922
23/01/2006,132.87,0.010820733
20/01/2006,131.44,-0.01794514
19/01/2006,133.82,0.010894582
18/01/2006,132.37,-0.001660628
17/01/2006,132.59,-0.005040447
13/01/2006,133.26,0.007608036
12/01/2006,132.25,0.002119447
11/01/2006,131.97,-0.000454545
10/01/2006,132.03,0.01249921
09/01/2006,130.39,0.011958635
06/01/2006,128.84,0.014069327
05/01/2006,127.04,-0.000393499
