Date,Close,COP
22/11/2005,64.4,0.002331909
21/11/2005,64.25,0.031944525
18/11/2005,62.23,-0.013566564
17/11/2005,63.08,-0.025357439
16/11/2005,64.7,0.028533053
15/11/2005,62.88,-0.007131002
14/11/2005,63.33,-0.002680755
11/11/2005,63.5,0.001733786
10/11/2005,63.39,-0.034117125
09/11/2005,65.59,-0.015431471
08/11/2005,66.61,0.012995045
07/11/2005,65.75,-0.007575794
04/11/2005,66.25,-0.028569121
03/11/2005,68.17,0.021649719
02/11/2005,66.71,0.008581159
01/11/2005,66.14,0.011557306
31/10/2005,65.38,0.032963183
28/10/2005,63.26,0.038020043
27/10/2005,60.9,-0.030721899
26/10/2005,62.8,0.005748978
25/10/2005,62.44,0.034873992
24/10/2005,60.3,0.036306225
21/10/2005,58.15,0.00690253
20/10/2005,57.75,-0.063726503
19/10/2005,61.55,0.024172845
18/10/2005,60.08,-0.047775129
17/10/2005,63.02,0.011009286
14/10/2005,62.33,0.02074965
13/10/2005,61.05,-0.038874153
12/10/2005,63.47,-0.017801844
11/10/2005,64.61,0.021590325
10/10/2005,63.23,-0.005834598
07/10/2005,63.6,0.025156557
06/10/2005,62.02,-0.019638214
05/10/2005,63.25,-0.048601929
04/10/2005,66.4,-0.03782957
03/10/2005,68.96,-0.013682074
30/09/2005,69.91,-0.014202767
29/09/2005,70.91,0.020084715
28/09/2005,69.5,0.007510145
27/09/2005,68.98,-0.005782034
26/09/2005,69.38,0.015835299
23/09/2005,68.29,-0.021297437
22/09/2005,69.76,-0.009558529
21/09/2005,70.43,0.021963131
20/09/2005,68.9,-0.018407192
19/09/2005,70.18,0.014785312
16/09/2005,69.15,0.023558043
15/09/2005,67.54,0.000888757
14/09/2005,67.48,0.019150795
13/09/2005,66.2,-0.014397369
12/09/2005,67.16,-0.027318485
09/09/2005,69.02,0.02672307
08/09/2005,67.2,0.00776819
07/09/2005,66.68,-0.001648311
06/09/2005,66.79,0.000299491
02/09/2005,66.77,-0.032852627
01/09/2005,69,0.045361267
31/08/2005,65.94,0.023476337
30/08/2005,64.41,0.02102368
29/08/2005,63.07,0.019048195
26/08/2005,61.88,-0.01857242
25/08/2005,63.04,-0.002851261
24/08/2005,63.22,0.008099782
23/08/2005,62.71,-0.007941592
22/08/2005,63.21,0.002217296
19/08/2005,63.07,0.02358335
18/08/2005,61.6,-0.00162206
17/08/2005,61.7,-0.037848372
16/08/2005,64.08,-0.027095254
15/08/2005,65.84,-0.011777276
12/08/2005,66.62,0.003307776
11/08/2005,66.4,0.01151179
10/08/2005,65.64,0.015816069
09/08/2005,64.61,-0.005556427
08/08/2005,64.97,0.018956441
05/08/2005,63.75,-0.006722452
04/08/2005,64.18,0.004372274
03/08/2005,63.9,-0.007483664
02/08/2005,64.38,0.021668299
01/08/2005,63,0.006529205
29/07/2005,62.59,-0.012069386
28/07/2005,63.35,0.017355742
27/07/2005,62.26,0.008549129
26/07/2005,61.73,-0.008067162
25/07/2005,62.23,0.015873349
22/07/2005,61.25,0.020119412
21/07/2005,60.03,-0.008625033
20/07/2005,60.55,-0.000330251
19/07/2005,60.57,0.022878179
18/07/2005,59.2,-0.002530579
15/07/2005,59.35,-0.003196235
14/07/2005,59.54,-0.032388819
13/07/2005,61.5,-0.001137564
12/07/2005,61.57,0.010777374
11/07/2005,60.91,0.011060781
08/07/2005,60.24,-0.006123312
07/07/2005,60.61,0.010448723
06/07/2005,59.98,-0.020789397
05/07/2005,61.24,0.035569646
01/07/2005,59.1,0.027619905
30/06/2005,57.49,-0.00485859
29/06/2005,57.77,-0.005696054
28/06/2005,58.1,-0.024146727
27/06/2005,59.52,0.022255229
24/06/2005,58.21,0.003441752
23/06/2005,58.01,-0.006871699
22/06/2005,58.41,0.003086422
21/06/2005,58.23,-0.031941879
20/06/2005,60.12,-0.00927159
17/06/2005,60.68,0.034879458
16/06/2005,58.6,0.02191065
