Date,Close,ORCL
14/03/2006,12.96,0.00464038
13/03/2006,12.9,0
10/03/2006,12.9,0.004662013
09/03/2006,12.84,-0.001556421
08/03/2006,12.86,-0.001554002
07/03/2006,12.88,0.008577051
06/03/2006,12.77,-0.001564946
03/03/2006,12.79,-0.000781555
02/03/2006,12.8,-0.000780945
01/03/2006,12.81,0.030918039
28/02/2006,12.42,-0.003215437
27/02/2006,12.46,0
24/02/2006,12.46,0.004827041
23/02/2006,12.4,-0.00643089
22/02/2006,12.48,0.011281344
21/02/2006,12.34,-0.004850454
17/02/2006,12.4,-0.003220615
16/02/2006,12.44,0.002414488
15/02/2006,12.41,0.000806127
14/02/2006,12.4,-0.007231852
13/02/2006,12.49,-0.015885958
10/02/2006,12.69,0
09/02/2006,12.69,0.009501259
08/02/2006,12.57,0.016038836
07/02/2006,12.37,0.009748249
06/02/2006,12.25,0.003270649
03/02/2006,12.21,-0.014634408
02/02/2006,12.39,-0.015218556
01/02/2006,12.58,0.000795229
31/01/2006,12.57,-0.003177127
30/01/2006,12.61,0.015987551
27/01/2006,12.41,-0.002414488
26/01/2006,12.44,-0.005611237
25/01/2006,12.51,0.025092373
24/01/2006,12.2,-0.008163311
23/01/2006,12.3,0.000813339
20/01/2006,12.29,-0.018541442
19/01/2006,12.52,0.014481347
18/01/2006,12.34,-0.008071069
17/01/2006,12.44,-0.005611237
13/01/2006,12.51,-0.000799041
12/01/2006,12.52,-0.006369448
11/01/2006,12.6,-0.001586043
10/01/2006,12.62,-0.020392864
09/01/2006,12.88,-0.018462063
06/01/2006,13.12,0.025474168
05/01/2006,12.79,0.013380758
04/01/2006,12.62,0.001586043
03/01/2006,12.6,0.031441526
30/12/2005,12.21,-0.006530635
29/12/2005,12.29,0.000814001
28/12/2005,12.28,-0.00568414
27/12/2005,12.35,0.000810045
23/12/2005,12.34,0.00162206
22/12/2005,12.32,0.011428696
21/12/2005,12.18,-0.00817666
20/12/2005,12.28,-0.003252035
19/12/2005,12.32,-0.029590324
16/12/2005,12.69,-0.010971897
15/12/2005,12.83,0.001560063
14/12/2005,12.81,-0.001560063
13/12/2005,12.83,-0.00077912
12/12/2005,12.84,0.026836654
09/12/2005,12.5,0.004811557
08/12/2005,12.44,-0.005611237
07/12/2005,12.51,-0.000799041
06/12/2005,12.52,0.000799041
05/12/2005,12.51,-0.019786953
02/12/2005,12.76,-0.007806441
01/12/2005,12.86,0.020424905
30/11/2005,12.6,-0.010264599
29/11/2005,12.73,0.015037877
28/11/2005,12.54,-0.005566615
25/11/2005,12.61,-0.002376239
23/11/2005,12.64,0.019976693
22/11/2005,12.39,-0.004027392
21/11/2005,12.44,-0.01436577
18/11/2005,12.62,0.000792707
17/11/2005,12.61,0.009561826
16/11/2005,12.49,-0.01430867
15/11/2005,12.67,-0.011769457
14/11/2005,12.82,0.000780336
11/11/2005,12.81,0.008624122
10/11/2005,12.7,0.015073669
09/11/2005,12.51,-0.008754533
08/11/2005,12.62,0.000792707
07/11/2005,12.61,0
04/11/2005,12.61,0.033054198
03/11/2005,12.2,-0.022691411
02/11/2005,12.48,-0.01983405
01/11/2005,12.73,0.003935464
31/10/2005,12.68,-0.002363136
28/10/2005,12.71,0.020668462
27/10/2005,12.45,-0.016726794
26/10/2005,12.66,-0.024191582
25/10/2005,12.97,0.011632547
24/10/2005,12.82,0.044664521
21/10/2005,12.26,0.009836145
20/10/2005,12.14,-0.004110158
19/10/2005,12.19,-0.014658243
18/10/2005,12.37,-0.000808081
17/10/2005,12.38,0.005670327
14/10/2005,12.31,0.018860748
13/10/2005,12.08,0.006644543
12/10/2005,12,-0.006644543
11/10/2005,12.08,0.005811556
10/10/2005,12.01,0.002501043
07/10/2005,11.98,-0.004164937
06/10/2005,12.03,-0.011570377
05/10/2005,12.17,-0.00573537
04/10/2005,12.24,-0.01137299
03/10/2005,12.38,-0.001614205
30/09/2005,12.4,0.006472515
29/09/2005,12.32,0.010608015
28/09/2005,12.19,-0.011419374
27/09/2005,12.33,-0.005661155
26/09/2005,12.4,-0.00402415
23/09/2005,12.45,-0.082449448
22/09/2005,13.52,0.017158198
21/09/2005,13.29,-0.008242834
20/09/2005,13.4,0.008242834
19/09/2005,13.29,0.00301432
16/09/2005,13.25,-0.009015839
15/09/2005,13.37,-0.005221944
14/09/2005,13.44,-0.014771317
13/09/2005,13.64,0.011057982
12/09/2005,13.49,0.015689526
09/09/2005,13.28,-0.006754247
08/09/2005,13.37,-0.002987306
07/09/2005,13.41,-0.011123585
06/09/2005,13.56,0.012616123
02/09/2005,13.39,0.005992527
01/09/2005,13.31,0.024335802
31/08/2005,12.99,-0.00307456
30/08/2005,13.03,-0.003829955
29/08/2005,13.08,0.013857035
26/08/2005,12.9,-0.005411687
25/08/2005,12.97,0.00154321
24/08/2005,12.95,-0.011516442
23/08/2005,13.1,0.00076365
22/08/2005,13.09,0.001529052
19/08/2005,13.07,-0.001529052
18/08/2005,13.09,-0.011393971
17/08/2005,13.24,-0.004521485
16/08/2005,13.3,0.000752163
15/08/2005,13.29,-0.000752163
12/08/2005,13.3,-0.005249356
11/08/2005,13.37,0.001497006
10/08/2005,13.35,-0.000748783
09/08/2005,13.36,0.005253295
08/08/2005,13.29,0.000752729
05/08/2005,13.28,-0.001504891
04/08/2005,13.3,-0.005997019
03/08/2005,13.38,-0.014837067
02/08/2005,13.58,0.004428052
01/08/2005,13.52,-0.003691403
29/07/2005,13.57,-0.020423759
28/07/2005,13.85,0.000722282
27/07/2005,13.84,0.003619258
26/07/2005,13.79,0
25/07/2005,13.79,-0.0007249
22/07/2005,13.8,0.00581397
21/07/2005,13.72,-0.022343272
20/07/2005,14.03,0.006435489
19/07/2005,13.94,0.002873565
18/07/2005,13.9,-0.010021558
15/07/2005,14.04,-0.000711997
14/07/2005,14.05,0.006426298
13/07/2005,13.96,0.011527505
12/07/2005,13.8,0.006543099
11/07/2005,13.71,0.011001211
08/07/2005,13.56,0.02011241
07/07/2005,13.29,-0.002254792
06/07/2005,13.32,0.003760817
05/07/2005,13.27,-0.001506024
01/07/2005,13.29,0.006795043
30/06/2005,13.2,-0.027644644
29/06/2005,13.57,0.056075295
28/06/2005,12.83,0.022862643
27/06/2005,12.54,0.003194891
24/06/2005,12.5,-0.00079968
23/06/2005,12.51,-0.009546612
22/06/2005,12.63,0.006354271
21/06/2005,12.55,0.011218066
20/06/2005,12.41,0.005656581
17/06/2005,12.34,-0.009677495
16/06/2005,12.46,-0.012759344
15/06/2005,12.62,0.011155494
14/06/2005,12.48,-0.009569451
13/06/2005,12.6,-0.003169575
10/06/2005,12.64,-0.002370606
09/06/2005,12.67,0
08/06/2005,12.67,0.006334146
07/06/2005,12.59,-0.004754367
06/06/2005,12.65,0.004754367
03/06/2005,12.59,-0.030506863
02/06/2005,12.98,0.0100659
01/06/2005,12.85,0.00389864
31/05/2005,12.8,-0.00389864
27/05/2005,12.85,-0.005432687
26/05/2005,12.92,0.013245227
25/05/2005,12.75,-0.003913899
24/05/2005,12.8,0.007843177
23/05/2005,12.7,0.011881328
20/05/2005,12.55,0.00960776
19/05/2005,12.43,0.008077588
18/05/2005,12.33,0.009780029
17/05/2005,12.21,-0.011400775
16/05/2005,12.35,-0.000809389
13/05/2005,12.36,0.038767741
12/05/2005,11.89,0.016108869
11/05/2005,11.7,0.015504187
10/05/2005,11.52,-0.019768585
09/05/2005,11.75,-0.000850702
06/05/2005,11.76,0.008539762
05/05/2005,11.66,-0.005132603
04/05/2005,11.72,0.011154127
03/05/2005,11.59,-0.000862441
02/05/2005,11.6,0.003454235
29/04/2005,11.56,-0.005176888
28/04/2005,11.62,-0.023810649
27/04/2005,11.9,0.001682086
26/04/2005,11.88,-0.015866721
25/04/2005,12.07,0.012505373
22/04/2005,11.92,-0.020756245
21/04/2005,12.17,0.032570729
20/04/2005,11.78,-0.008453136
19/04/2005,11.88,0.006756782
18/04/2005,11.8,0.00851069
15/04/2005,11.7,-0.032789823
14/04/2005,12.09,-0.013963266
13/04/2005,12.26,-0.018586394
12/04/2005,12.49,0.007231852
11/04/2005,12.4,0.003231021
08/04/2005,12.36,-0.007255171
07/04/2005,12.45,0.005638356
06/04/2005,12.38,-0.005638356
05/04/2005,12.45,-0.019093659
04/04/2005,12.69,0.012688513
01/04/2005,12.53,0.003998406
31/03/2005,12.48,0
30/03/2005,12.48,0.01615544
29/03/2005,12.28,-0.012140983
28/03/2005,12.43,0.002416433
24/03/2005,12.4,-0.008831852
23/03/2005,12.51,0.0016
22/03/2005,12.49,-0.012728891
21/03/2005,12.65,0.00873368
18/03/2005,12.54,-0.048258391
17/03/2005,13.16,0.010695289
16/03/2005,13.02,-0.009935122
15/03/2005,13.15,0
14/03/2005,13.15,0.004573179
11/03/2005,13.09,-0.012903405
10/03/2005,13.26,-0.0067644
09/03/2005,13.35,-0.020022916
08/03/2005,13.62,0.001469508
07/03/2005,13.6,0.023810649
04/03/2005,13.28,0.014410564
03/03/2005,13.09,0.003060446
02/03/2005,13.05,-0.007633625
01/03/2005,13.15,0.01532597
28/02/2005,12.95,-0.0138039
25/02/2005,13.13,0.009181396
24/02/2005,13.01,0.004622504
23/02/2005,12.95,0.022648371
22/02/2005,12.66,-0.021875872
18/02/2005,12.94,-0.001544402
17/02/2005,12.96,-0.028149443
16/02/2005,13.33,0.003005261
15/02/2005,13.29,-0.00150376
14/02/2005,13.31,-0.003000752
11/02/2005,13.35,0.015855372
10/02/2005,13.14,-0.002280503
09/02/2005,13.17,-0.022523475
08/02/2005,13.47,-0.005921557
07/02/2005,13.55,-0.008085307
04/02/2005,13.66,0.023704814
03/02/2005,13.34,-0.016357242
02/02/2005,13.56,-0.006615239
01/02/2005,13.65,-0.008752791
31/01/2005,13.77,0.006557401
28/01/2005,13.68,-0.020977261
27/01/2005,13.97,0.025372873
26/01/2005,13.62,0.002205073
25/01/2005,13.59,0.026091678
24/01/2005,13.24,-0.005273082
21/01/2005,13.31,0.002256488
20/01/2005,13.28,-0.014205846
19/01/2005,13.47,-0.022753275
18/01/2005,13.78,0.01094502
14/01/2005,13.63,0.01106614
13/01/2005,13.48,0
12/01/2005,13.48,0.020990276
11/01/2005,13.2,0.000757863
10/01/2005,13.19,-0.010558167
07/01/2005,13.33,0.0082863
06/01/2005,13.22,0.009118604
05/01/2005,13.1,0.003058106
04/01/2005,13.06,-0.026446573
03/01/2005,13.41,-0.022853925
31/12/2004,13.72,-0.011594333
30/12/2004,13.88,0.011594333
29/12/2004,13.72,-0.008708328
28/12/2004,13.84,0.013823429
27/12/2004,13.65,0.000732869
23/12/2004,13.64,-0.00438918
22/12/2004,13.7,-0.006547859
21/12/2004,13.79,0.01534557
