Date,Close,BA
25/07/2006,83.75,0.027969618
24/07/2006,81.44,0.029406554
21/07/2006,79.08,-0.020154654
20/07/2006,80.69,-0.019634942
19/07/2006,82.29,0.038652154
18/07/2006,79.17,0.002782698
17/07/2006,78.95,0.021767825
14/07/2006,77.25,-0.029841541
13/07/2006,79.59,-0.016572555
12/07/2006,80.92,-0.008735829
11/07/2006,81.63,0.015804749
10/07/2006,80.35,0.004490465
07/07/2006,79.99,-0.010199093
06/07/2006,80.81,0.00795134
05/07/2006,80.17,-0.013996636
03/07/2006,81.3,-0.007475067
30/06/2006,81.91,-0.013219524
29/06/2006,83,0.004346783
28/06/2006,82.64,0.008628601
27/06/2006,81.93,-0.023641193
26/06/2006,83.89,0.005978019
23/06/2006,83.39,-0.008002431
22/06/2006,84.06,-0.021070758
21/06/2006,85.85,0.011716596
20/06/2006,84.85,0.001061258
19/06/2006,84.76,-0.009160369
16/06/2006,85.54,0.008570642
15/06/2006,84.81,0.033572269
14/06/2006,82.01,0.063295543
13/06/2006,76.98,-0.011623533
12/06/2006,77.88,-0.033088004
09/06/2006,80.5,-0.008534902
08/06/2006,81.19,-0.003320015
07/06/2006,81.46,0.009993298
06/06/2006,80.65,-0.018184553
05/06/2006,82.13,-0.02012965
02/06/2006,83.8,0.001911133
01/06/2006,83.64,0.004673746
31/05/2006,83.25,0.013544771
30/05/2006,82.13,-0.016543274
26/05/2006,83.5,0.006126513
25/05/2006,82.99,0.00737743
24/05/2006,82.38,-0.033071718
23/05/2006,85.15,-0.006555098
22/05/2006,85.71,0.012917042
19/05/2006,84.61,0.02247017
18/05/2006,82.73,-0.012492655
17/05/2006,83.77,-0.030912728
16/05/2006,86.4,0.006269613
15/05/2006,85.86,-0.013304992
12/05/2006,87.01,-0.013697281
11/05/2006,88.21,-0.00824165
10/05/2006,88.94,0.010738813
09/05/2006,87.99,0.004556335
08/05/2006,87.59,-0.009996675
05/05/2006,88.47,0.020901909
04/05/2006,86.64,0.008927078
03/05/2006,85.87,0.006308432
02/05/2006,85.33,0.017377351
01/05/2006,83.86,0.004901092
28/04/2006,83.45,-0.007758917
27/04/2006,84.1,-0.009585305
26/04/2006,84.91,-0.002352665
25/04/2006,85.11,-0.011564874
24/04/2006,86.1,-0.004172468
21/04/2006,86.46,0.011165503
20/04/2006,85.5,0.006335818
19/04/2006,84.96,0.019732008
18/04/2006,83.3,0.011470093
17/04/2006,82.35,-0.007018422
13/04/2006,82.93,-0.003370654
12/04/2006,83.21,0.032241161
11/04/2006,80.57,-0.002726824
10/04/2006,80.79,0.015216058
07/04/2006,79.57,-0.003136962
06/04/2006,79.82,0.008934811
05/04/2006,79.11,0.00646759
04/04/2006,78.6,0.007534676
03/04/2006,78.01,0.001026036
31/03/2006,77.93,-0.006268009
30/03/2006,78.42,-0.009644745
29/03/2006,79.18,0.021316781
28/03/2006,77.51,-0.011289408
27/03/2006,78.39,-0.004327909
24/03/2006,78.73,0.010598324
23/03/2006,77.9,-0.009072965
22/03/2006,78.61,0.004462301
21/03/2006,78.26,0.001022756
20/03/2006,78.18,0.004229962
17/03/2006,77.85,0.014491132
16/03/2006,76.73,0.008901747
15/03/2006,76.05,0.007920833
14/03/2006,75.45,0.008117684
13/03/2006,74.84,0.000668315
10/03/2006,74.79,0.013867607
09/03/2006,73.76,0.012825937
08/03/2006,72.82,-0.004658181
07/03/2006,73.16,0.007270764
06/03/2006,72.63,-0.010409627
03/03/2006,73.39,0.008071731
02/03/2006,72.8,-0.00205832
01/03/2006,72.95,0.003570451
28/02/2006,72.69,-0.019616485
27/02/2006,74.13,-0.002425224
24/02/2006,74.31,0.005532704
23/02/2006,73.9,-0.006608696
22/02/2006,74.39,0.018177386
21/02/2006,73.05,0.001232792
17/02/2006,72.96,0.005635366
16/02/2006,72.55,0.001379311
15/02/2006,72.45,-0.003582258
14/02/2006,72.71,0.008286196
13/02/2006,72.11,-0.005807538
10/02/2006,72.53,0.007195271
09/02/2006,72.01,0.003477781
08/02/2006,71.76,0.002930712
07/02/2006,71.55,0.005746739
06/02/2006,71.14,0.003802554
03/02/2006,70.87,-0.011643535
02/02/2006,71.7,0.001116383
01/02/2006,71.62,0.047318196
31/01/2006,68.31,-0.010485024
30/01/2006,69.03,0.006831918
27/01/2006,68.56,-0.002331003
26/01/2006,68.72,0.026691845
25/01/2006,66.91,-0.011146731
24/01/2006,67.66,0.009504081
23/01/2006,67.02,0.007789135
20/01/2006,66.5,-0.024802638
19/01/2006,68.17,-0.002344323
18/01/2006,68.33,-0.005254719
17/01/2006,68.69,-0.011435313
13/01/2006,69.48,-0.003017894
12/01/2006,69.69,-0.005865959
11/01/2006,70.1,0.014368063
10/01/2006,69.1,0.004787127
09/01/2006,68.77,-0.008398543
06/01/2006,69.35,-0.014032304
05/01/2006,70.33,-0.011872931
04/01/2006,71.17,0.010310098
03/01/2006,70.44,0.002843334
30/12/2005,70.24,-0.013293931
29/12/2005,71.18,0.003095542
28/12/2005,70.96,0.006078187
27/12/2005,70.53,-0.013519429
23/12/2005,71.49,0.002380787
22/12/2005,71.32,0.013125585
21/12/2005,70.39,-0.004959976
20/12/2005,70.74,0.010944605
19/12/2005,69.97,-0.011085958
16/12/2005,70.75,-0.000565211
15/12/2005,70.79,-0.009280157
14/12/2005,71.45,0.012109413
13/12/2005,70.59,0.005682641
12/12/2005,70.19,0.007723151
09/12/2005,69.65,-0.006012042
08/12/2005,70.07,0.006012042
07/12/2005,69.65,0.00114926
06/12/2005,69.57,0.005332577
05/12/2005,69.2,-0.003462208
02/12/2005,69.44,-0.003306739
01/12/2005,69.67,0.021471883
30/11/2005,68.19,-0.013690863
29/11/2005,69.13,0.007259033
28/11/2005,68.63,-0.006245935
25/11/2005,69.06,-0.005487378
23/11/2005,69.44,0.00490834
22/11/2005,69.1,0.001448226
21/11/2005,69,0.030160432
18/11/2005,66.95,-0.010401282
17/11/2005,67.65,0.003109041
16/11/2005,67.44,0.006545694
15/11/2005,67,0.011559087
14/11/2005,66.23,0.013376092
11/11/2005,65.35,-0.011411307
10/11/2005,66.1,0.021252998
09/11/2005,64.71,-0.004625355
08/11/2005,65.01,-0.010405603
07/11/2005,65.69,0.006260996
04/11/2005,65.28,-0.003364432
03/11/2005,65.5,0.012288941
02/11/2005,64.7,-0.005395003
01/11/2005,65.05,0.006322791
31/10/2005,64.64,-0.015351852
28/10/2005,65.64,0.024521238
27/10/2005,64.05,-0.016260521
26/10/2005,65.1,-0.028320209
25/10/2005,66.97,-0.005212611
24/10/2005,67.32,0.019499643
21/10/2005,66.02,-0.01920251
20/10/2005,67.3,-0.015773895
19/10/2005,68.37,0.01845207
18/10/2005,67.12,-0.001786246
17/10/2005,67.24,-0.003859289
14/10/2005,67.5,0.015076037
13/10/2005,66.49,-0.017295794
12/10/2005,67.65,0.014142402
11/10/2005,66.7,-0.017831082
10/10/2005,67.9,0.008875798
07/10/2005,67.3,-0.009317527
06/10/2005,67.93,0.013039153
05/10/2005,67.05,-0.013333531
04/10/2005,67.95,0.011992149
03/10/2005,67.14,-0.011992149
30/09/2005,67.95,0.009909125
29/09/2005,67.28,0.00104097
28/09/2005,67.21,0.009868501
27/09/2005,66.55,0.028656129
26/09/2005,64.67,0.022993114
23/09/2005,63.2,0.010977757
22/09/2005,62.51,0.001601025
21/09/2005,62.41,-0.016526675
