Date,Close,BMY
21/04/2006,24.8,0.00444535
20/04/2006,24.69,-0.001618778
19/04/2006,24.73,-0.004035518
18/04/2006,24.83,0.015422384
17/04/2006,24.45,0.016911106
13/04/2006,24.04,-0.000831601
12/04/2006,24.06,-0.004147663
11/04/2006,24.16,-0.004542647
10/04/2006,24.27,-0.009840178
07/04/2006,24.51,-0.0121656
06/04/2006,24.81,0.010942358
05/04/2006,24.54,-0.00852105
04/04/2006,24.75,0.001617469
03/04/2006,24.71,0.004055156
31/03/2006,24.61,-0.013720958
30/03/2006,24.95,0.000400882
29/03/2006,24.94,0.002006824
28/03/2006,24.89,-0.008800057
27/03/2006,25.11,-0.016196285
24/03/2006,25.52,0.000784006
23/03/2006,25.5,0.010248414
22/03/2006,25.24,0.100354577
21/03/2006,22.83,-0.007853444
20/03/2006,23.01,0.003919012
17/03/2006,22.92,0.004372547
16/03/2006,22.82,0.002193464
15/03/2006,22.77,-0.006129616
14/03/2006,22.91,-0.001308615
13/03/2006,22.94,0.001308615
10/03/2006,22.91,0.009208572
09/03/2006,22.7,-0.005710536
08/03/2006,22.83,0.01056813
07/03/2006,22.59,-0.009691706
06/03/2006,22.81,-0.003937874
03/03/2006,22.9,0.006571765
02/03/2006,22.75,-0.000878735
01/03/2006,22.77,-0.014388737
28/02/2006,23.1,-0.004750603
27/02/2006,23.21,0.010394204
24/02/2006,22.97,-0.009963262
23/02/2006,23.2,-0.006872879
22/02/2006,23.36,0.020761991
21/02/2006,22.88,-0.008703275
17/02/2006,23.08,0.003907103
16/02/2006,22.99,-0.004773279
15/02/2006,23.1,0.008259121
14/02/2006,22.91,0
13/02/2006,22.91,0.022512538
10/02/2006,22.4,-0.008446372
09/02/2006,22.59,-0.006618158
08/02/2006,22.74,0.012389539
07/02/2006,22.46,0.004015174
06/02/2006,22.37,0.00492943
03/02/2006,22.26,-0.013387081
02/02/2006,22.56,-0.020184977
01/02/2006,23.02,0.01004156
31/01/2006,22.79,-0.001753617
30/01/2006,22.83,-0.006983878
27/01/2006,22.99,0.016224868
26/01/2006,22.62,0.029156584
25/01/2006,21.97,0.029563354
24/01/2006,21.33,-0.035463076
23/01/2006,22.1,-0.010353457
20/01/2006,22.33,-0.010247361
19/01/2006,22.56,0.016987445
18/01/2006,22.18,-0.005395697
17/01/2006,22.3,-0.005366739
13/01/2006,22.42,-0.001782532
12/01/2006,22.46,-0.002223706
11/01/2006,22.51,-0.004432631
10/01/2006,22.61,-0.010121098
09/01/2006,22.84,0.002630427
06/01/2006,22.78,0.006606498
05/01/2006,22.63,0
04/01/2006,22.63,-0.026598472
03/01/2006,23.24,0.01125066
30/12/2005,22.98,-0.006506204
29/12/2005,23.13,0.009993566
28/12/2005,22.9,-0.008262713
27/12/2005,23.09,0.006517512
23/12/2005,22.94,0.003056104
22/12/2005,22.87,0.010549548
21/12/2005,22.63,0.008431379
20/12/2005,22.44,-0.002225685
19/12/2005,22.49,0.021119635
16/12/2005,22.02,0.007292649
15/12/2005,21.86,-0.003652972
14/12/2005,21.94,0.017935638
13/12/2005,21.55,0.010261284
12/12/2005,21.33,-0.004210533
09/12/2005,21.42,-0.011142177
08/12/2005,21.66,0.00555557
07/12/2005,21.54,-0.004169568
06/12/2005,21.63,-0.00782873
05/12/2005,21.8,-0.003663008
02/12/2005,21.88,0.011491738
01/12/2005,21.63,0.001850995
30/11/2005,21.59,-0.014256392
29/11/2005,21.9,-0.009543358
28/11/2005,22.11,-0.006761351
25/11/2005,22.26,-0.006269613
23/11/2005,22.4,0.002682165
22/11/2005,22.34,0.002240646
21/11/2005,22.29,-0.000448531
18/11/2005,22.3,0.014908792
17/11/2005,21.97,0.005476965
16/11/2005,21.85,0.004587164
15/11/2005,21.75,0.000459876
14/11/2005,21.74,-0.015971136
11/11/2005,22.09,0.01551126
10/11/2005,21.75,0.005994945
09/11/2005,21.62,0.008827003
08/11/2005,21.43,0.006084737
07/11/2005,21.3,-0.000938527
04/11/2005,21.32,0.006588259
03/11/2005,21.18,0.00710735
02/11/2005,21.03,0
01/11/2005,21.03,-0.006635095
31/10/2005,21.17,0.001418105
28/10/2005,21.14,-0.024761835
27/10/2005,21.67,-0.001844168
26/10/2005,21.71,0.002767529
25/10/2005,21.65,0.000462
24/10/2005,21.64,0.008818809
21/10/2005,21.45,-0.01020417
20/10/2005,21.67,-0.017383786
19/10/2005,22.05,-0.007680182
18/10/2005,22.22,-0.011633241
17/10/2005,22.48,0.007591017
14/10/2005,22.31,-0.006255606
13/10/2005,22.45,-0.003113189
12/10/2005,22.52,-0.001774623
11/10/2005,22.56,-0.010582109
10/10/2005,22.8,-0.00873368
07/10/2005,23,-0.007795622
06/10/2005,23.18,0.000431499
05/10/2005,23.17,-0.029345078
04/10/2005,23.86,-0.003764907
03/10/2005,23.95,-0.004582387
30/09/2005,24.06,0.000831601
29/09/2005,24.04,-0.001247142
28/09/2005,24.07,-0.003318128
27/09/2005,24.15,0.0008285
26/09/2005,24.13,-0.002896754
23/09/2005,24.2,0.001240438
22/09/2005,24.17,-0.005775594
21/09/2005,24.31,-0.009824066
20/09/2005,24.55,-0.006091389
19/09/2005,24.7,-0.012472501
16/09/2005,25.01,0.016529302
15/09/2005,24.6,-0.005674924
14/09/2005,24.74,-0.004838719
13/09/2005,24.86,0.005243005
12/09/2005,24.73,-0.015249092
09/09/2005,25.11,0.009201905
08/09/2005,24.88,-0.011588541
07/09/2005,25.17,0.008778987
06/09/2005,24.95,0.019834692
02/09/2005,24.46,0.002046246
01/09/2005,24.41,-0.002454993
31/08/2005,24.47,0.016897167
30/08/2005,24.06,-0.00373367
29/08/2005,24.15,0.007481332
26/08/2005,23.97,-0.006238323
25/08/2005,24.12,-0.005787532
24/08/2005,24.26,-0.006573565
23/08/2005,24.42,-0.013018898
22/08/2005,24.74,0.002428168
19/08/2005,24.68,-0.008071069
18/08/2005,24.88,-0.00200763
17/08/2005,24.93,0.0048251
16/08/2005,24.81,-0.002013288
15/08/2005,24.86,-0.005615739
12/08/2005,25,-0.004390348
11/08/2005,25.11,0.001195457
10/08/2005,25.08,-0.001195457
09/08/2005,25.11,0.012825827
08/08/2005,24.79,-0.002417406
05/08/2005,24.85,-0.007217353
04/08/2005,25.03,-0.002792741
03/08/2005,25.1,0.003992021
02/08/2005,25,-0.001598721
01/08/2005,25.04,0.002399042
29/07/2005,24.98,-0.007577304
28/07/2005,25.17,0.002784963
27/07/2005,25.1,0.013638398
26/07/2005,24.76,-0.001210898
25/07/2005,24.79,-0.006433476
22/07/2005,24.95,-0.001201682
21/07/2005,24.98,-0.011146612
20/07/2005,25.26,0.006354271
19/07/2005,25.1,-0.001194505
18/07/2005,25.13,-0.004367686
15/07/2005,25.24,0.006758126
14/07/2005,25.07,0.006804109
13/07/2005,24.9,0
12/07/2005,24.9,-0.001605137
11/07/2005,24.94,0.001203611
08/07/2005,24.91,0.012522886
07/07/2005,24.6,-0.011317825
06/07/2005,24.88,-0.015553654
05/07/2005,25.27,0.002773927
01/07/2005,25.2,0.00876849
30/06/2005,24.98,-0.009165237
29/06/2005,25.21,-0.002772828
28/06/2005,25.28,0.015145766
27/06/2005,24.9,-0.013562234
24/06/2005,25.24,-0.009463793
23/06/2005,25.48,-0.00586971
22/06/2005,25.63,-0.003116481
21/06/2005,25.71,0.00428767
20/06/2005,25.6,0.006662772
17/06/2005,25.43,0.006707463
16/06/2005,25.26,0.002378122
15/06/2005,25.2,-0.010264599
14/06/2005,25.46,0.005513996
13/06/2005,25.32,0.013118852
10/06/2005,24.99,-0.003196167
09/06/2005,25.07,0.000798085
08/06/2005,25.05,-0.006763503
07/06/2005,25.22,-0.007898935
06/06/2005,25.42,0.007898935
03/06/2005,25.22,-0.011041122
02/06/2005,25.5,0.000784621
01/06/2005,25.48,0.004720701
31/05/2005,25.36,-0.006681102
27/05/2005,25.53,-0.00273812
26/05/2005,25.6,0
25/05/2005,25.6,-0.010105022
24/05/2005,25.86,-0.00115942
23/05/2005,25.89,0.006199167
20/05/2005,25.73,0.010941883
19/05/2005,25.45,0.002360347
18/05/2005,25.39,-0.005107063
17/05/2005,25.52,0.002353865
16/05/2005,25.46,0.006304197
13/05/2005,25.3,-0.003551
12/05/2005,25.39,-0.001574184
11/05/2005,25.43,-0.00549021
10/05/2005,25.57,-0.01436639
09/05/2005,25.94,-0.001540832
06/05/2005,25.98,-0.005374293
05/05/2005,26.12,-0.013688427
04/05/2005,26.48,0.001133573
03/05/2005,26.45,0.014087421
02/05/2005,26.08,0.003072199
29/04/2005,26,0.011605546
28/04/2005,25.7,-0.002331909
27/04/2005,25.76,0.00272109
26/04/2005,25.69,-0.006595562
25/04/2005,25.86,0.005817352
22/04/2005,25.71,-0.001554606
21/04/2005,25.75,0.00779731
20/04/2005,25.55,-0.003126224
19/04/2005,25.63,-0.001948938
18/04/2005,25.68,-0.010459131
15/04/2005,25.95,0.005022224
14/04/2005,25.82,0.001550388
13/04/2005,25.78,0.0180044
12/04/2005,25.32,0.009125237
11/04/2005,25.09,-0.007148561
08/04/2005,25.27,-0.013364979
07/04/2005,25.61,0.012969331
06/04/2005,25.28,-0.008272649
05/04/2005,25.49,0.007481823
04/04/2005,25.3,0.014331455
01/04/2005,24.94,-0.020635653
31/03/2005,25.46,-0.003137257
30/03/2005,25.54,0.018573938
29/03/2005,25.07,0.000798085
28/03/2005,25.05,0.001198322
24/03/2005,25.02,-0.011919092
23/03/2005,25.32,0.024386577
22/03/2005,24.71,0.020029282
21/03/2005,24.22,-0.008633147
18/03/2005,24.43,0.011113512
17/03/2005,24.16,-0.003718244
16/03/2005,24.25,-0.00903126
15/03/2005,24.47,-0.011377612
14/03/2005,24.75,0
11/03/2005,24.75,-0.004836769
10/03/2005,24.87,0.006049625
09/03/2005,24.72,-0.011263192
08/03/2005,25,0.00040008
07/03/2005,24.99,-0.00040008
04/03/2005,25,-0.002397125
03/03/2005,25.06,-0.003982482
02/03/2005,25.16,-0.005153629
01/03/2005,25.29,0.010333955
28/02/2005,25.03,0.004003208
25/02/2005,24.93,0.007650531
24/02/2005,24.74,-0.005240891
23/02/2005,24.87,0.020719815
22/02/2005,24.36,0
18/02/2005,24.36,0.018227514
17/02/2005,23.92,-0.003755481
16/02/2005,24.01,0.003337508
15/02/2005,23.93,-0.008322978
14/02/2005,24.13,0.001244039
11/02/2005,24.1,0.013787559
10/02/2005,23.77,0.003793471
09/02/2005,23.68,-0.01342302
08/02/2005,24,-0.00623055
07/02/2005,24.15,0.001243008
04/02/2005,24.12,0.01167653
03/02/2005,23.84,-0.006688988
02/02/2005,24,0.014267972
01/02/2005,23.66,0.009341894
31/01/2005,23.44,-0.000852879
28/01/2005,23.46,-0.026499973
27/01/2005,24.09,-0.000415024
26/01/2005,24.1,0.004574764
25/01/2005,23.99,0.002086377
24/01/2005,23.94,-0.009561495
21/01/2005,24.17,-0.01110894
20/01/2005,24.44,-0.003267977
19/01/2005,24.52,0.003677226
18/01/2005,24.43,0
14/01/2005,24.43,0.001228753
13/01/2005,24.4,-0.010599365
12/01/2005,24.66,0.002436055
11/01/2005,24.6,-0.015329062
10/01/2005,24.98,0.009654138
07/01/2005,24.74,-0.000404122
06/01/2005,24.75,-0.001614857
05/01/2005,24.79,-0.01441755
04/01/2005,25.15,-0.011071683
03/01/2005,25.43,-0.007443717
31/12/2004,25.62,-0.001170275
30/12/2004,25.65,0.00195122
29/12/2004,25.6,-0.001171189
28/12/2004,25.63,0.007833961
27/12/2004,25.43,-0.015607028
23/12/2004,25.83,0.01089929
