Date,Close,UNH
09/11/2005,57.36,-0.012301983
08/11/2005,58.07,-0.007377575
07/11/2005,58.5,0.008238976
04/11/2005,58.02,0.006050671
03/11/2005,57.67,-0.032414984
02/11/2005,59.57,0.009614648
01/11/2005,59,0.018992786
31/10/2005,57.89,0.020241487
28/10/2005,56.73,0.038086155
27/10/2005,54.61,0.011603409
26/10/2005,53.98,-0.03566608
25/10/2005,55.94,-0.02209937
24/10/2005,57.19,0.000874661
21/10/2005,57.14,0.000525164
20/10/2005,57.11,-0.018906122
19/10/2005,58.2,0.029467741
18/10/2005,56.51,0.001239487
17/10/2005,56.44,0.000177195
14/10/2005,56.43,0.040320024
13/10/2005,54.2,-0.015197583
12/10/2005,55.03,-0.002722078
11/10/2005,55.18,-0.012605966
10/10/2005,55.88,-0.008730568
07/10/2005,56.37,-0.000709346
06/10/2005,56.41,-0.000708843
05/10/2005,56.45,-0.010748055
04/10/2005,57.06,0.004919195
03/10/2005,56.78,0.010267394
30/09/2005,56.2,0.008577608
29/09/2005,55.72,0.006843175
28/09/2005,55.34,0.001446655
27/09/2005,55.26,-0.002530274
26/09/2005,55.4,0.007246409
23/09/2005,55,0.025224572
22/09/2005,53.63,0.019582625
21/09/2005,52.59,-0.000570288
20/09/2005,52.62,-0.016585378
19/09/2005,53.5,-0.01022789
16/09/2005,54.05,0.012098798
15/09/2005,53.4,0.008651549
14/09/2005,52.94,-0.001698594
13/09/2005,53.03,-0.023113797
12/09/2005,54.27,-0.004412583
09/09/2005,54.51,0.012553239
08/09/2005,53.83,0.007084295
07/09/2005,53.45,0.004876229
06/09/2005,53.19,0.012485974
02/09/2005,52.53,0.00917964
01/09/2005,52.05,0.010622987
31/08/2005,51.5,0.020004589
30/08/2005,50.48,-0.006319136
29/08/2005,50.8,0.006913608
26/08/2005,50.45,-0.003759031
25/08/2005,50.64,0.000197492
24/08/2005,50.63,-0.008457126
23/08/2005,51.06,-0.005858248
22/08/2005,51.36,0.003510829
19/08/2005,51.18,-0.002341921
18/08/2005,51.3,0.000780031
17/08/2005,51.26,0.003126224
16/08/2005,51.1,-0.017074532
15/08/2005,51.98,-0.002113963
12/08/2005,52.09,-0.005360917
11/08/2005,52.37,0.014618456
10/08/2005,51.61,-0.003288522
09/08/2005,51.78,0.011655144
08/08/2005,51.18,-0.017048069
05/08/2005,52.06,-0.017140012
04/08/2005,52.96,-0.003769322
03/08/2005,53.16,0.002448443
02/08/2005,53.03,0.007761516
01/08/2005,52.62,0.006099905
29/07/2005,52.3,-0.011784968
28/07/2005,52.92,0.028754137
27/07/2005,51.42,-0.011216517
26/07/2005,52,0.023347364
25/07/2005,50.8,0
22/07/2005,50.8,0.03281607
21/07/2005,49.16,-0.011930179
20/07/2005,49.75,-0.016545778
19/07/2005,50.58,-0.004536944
18/07/2005,50.81,-0.000196792
15/07/2005,50.82,0.011279431
14/07/2005,50.25,-0.022627626
13/07/2005,51.4,-0.007365802
12/07/2005,51.78,-0.012474972
11/07/2005,52.43,-0.011755918
08/07/2005,53.05,-0.008259855
07/07/2005,53.49,-0.000186933
06/07/2005,53.5,0.005059507
05/07/2005,53.23,0.00792158
01/07/2005,52.81,0.012768158
30/06/2005,52.14,-0.018997532
29/06/2005,53.14,0.008504256
28/06/2005,52.69,0.026345144
27/06/2005,51.32,0.000389788
24/06/2005,51.3,-0.007767029
23/06/2005,51.7,0.006403437
22/06/2005,51.37,-0.009686244
21/06/2005,51.87,0.005412733
20/06/2005,51.59,-0.005027079
17/06/2005,51.85,0.005996729
16/06/2005,51.54,-0.000581903
15/06/2005,51.57,-0.00174368
14/06/2005,51.66,0.009139587
13/06/2005,51.19,0.007844716
10/06/2005,50.79,-0.018724947
09/06/2005,51.75,0.011075601
08/06/2005,51.18,-0.010302356
07/06/2005,51.71,0.014021651
06/06/2005,50.99,0.007677959
03/06/2005,50.6,0.004357305
02/06/2005,50.38,0.023091077
01/06/2005,49.23,0.01329127
31/05/2005,48.58,-0.699405858
27/05/2005,97.77,0.006464545
26/05/2005,97.14,0.004746681
25/05/2005,96.68,-0.006495203
24/05/2005,97.31,-0.001027116
23/05/2005,97.41,0.009385866
20/05/2005,96.5,-0.001035733
19/05/2005,96.6,0.008316056
18/05/2005,95.8,-0.01625547
17/05/2005,97.37,0.005354765
16/05/2005,96.85,0.015399326
13/05/2005,95.37,-0.027611495
12/05/2005,98.04,0.00040808
11/05/2005,98,0.001429593
10/05/2005,97.86,-0.007431951
09/05/2005,98.59,0.001827412
06/05/2005,98.41,0.012371713
05/05/2005,97.2,-0.001028278
04/05/2005,97.3,0.006082179
03/05/2005,96.71,0.021214025
02/05/2005,94.68,0.001797136
29/04/2005,94.51,0.021605118
28/04/2005,92.49,-0.002160061
27/04/2005,92.69,0.028784477
26/04/2005,90.06,-0.007632358
25/04/2005,90.75,-0.005604102
22/04/2005,91.26,-0.012739026
21/04/2005,92.43,0.003033917
20/04/2005,92.15,-0.011330038
19/04/2005,93.2,0.022021826
18/04/2005,91.17,-0.022772617
15/04/2005,93.27,-0.006838364
14/04/2005,93.91,-0.021594561
13/04/2005,95.96,-0.012839273
12/04/2005,97.2,-0.000102875
11/04/2005,97.21,-0.012167217
08/04/2005,98.4,-0.006886801
07/04/2005,99.08,0.010552046
06/04/2005,98.04,0.001122621
05/04/2005,97.93,0.014709929
04/04/2005,96.5,0.00696722
01/04/2005,95.83,0.004706875
31/03/2005,95.38,-0.003453873
30/03/2005,95.71,0.027648602
29/03/2005,93.1,-0.0002148
28/03/2005,93.12,0.002903696
24/03/2005,92.85,0.005074783
23/03/2005,92.38,0.003578597
22/03/2005,92.05,0.004573179
21/03/2005,91.63,0.004155737
18/03/2005,91.25,0.001645188
17/03/2005,91.1,0.015041204
16/03/2005,89.74,-0.003781564
15/03/2005,90.08,-0.00432014
14/03/2005,90.47,0.002102352
11/03/2005,90.28,-0.012548321
10/03/2005,91.42,0.012880676
09/03/2005,90.25,-0.00110742
08/03/2005,90.35,-0.00936388
07/03/2005,91.2,-0.022658024
04/03/2005,93.29,0.017845063
03/03/2005,91.64,0.002075483
02/03/2005,91.45,0.006912849
01/03/2005,90.82,-0.003736679
28/02/2005,91.16,-0.002519859
25/02/2005,91.39,0.023134575
24/02/2005,89.3,0.010695289
23/02/2005,88.35,0.016548166
22/02/2005,86.9,-0.024439977
18/02/2005,89.05,0.000336946
17/02/2005,89.02,-0.009503118
16/02/2005,89.87,-0.003665245
15/02/2005,90.2,0.013955013
14/02/2005,88.95,0.013582552
11/02/2005,87.75,-0.003185803
10/02/2005,88.03,0.009702719
09/02/2005,87.18,-0.019199681
08/02/2005,88.87,-0.000674916
07/02/2005,88.93,-0.031435903
04/02/2005,91.77,0.013272832
03/02/2005,90.56,0.006202944
02/02/2005,90,-0.007527155
01/02/2005,90.68,0.019824683
31/01/2005,88.9,0.008472234
28/01/2005,88.15,-0.003510564
27/01/2005,88.46,0.007488972
26/01/2005,87.8,0.000569638
25/01/2005,87.75,-0.005681833
24/01/2005,88.25,-0.006775859
21/01/2005,88.85,0.025303379
20/01/2005,86.63,-0.018867405
19/01/2005,88.28,-0.005873069
18/01/2005,88.8,-0.008522142
14/01/2005,89.56,0.013036822
13/01/2005,88.4,0.003512951
12/01/2005,88.09,0.006605947
11/01/2005,87.51,-0.001027925
10/01/2005,87.6,0.004232689
07/01/2005,87.23,-0.007992735
06/01/2005,87.93,0.021844971
05/01/2005,86.03,0.00349325
04/01/2005,85.73,-0.010327913
03/01/2005,86.62,-0.01614693
31/12/2004,88.03,0.002046851
30/12/2004,87.85,0.005707778
29/12/2004,87.35,0.004244829
28/12/2004,86.98,0.015175501
27/12/2004,85.67,0.007851449
