Date,Close,SPG
16/02/2006,82.38,0.022837088
15/02/2006,80.52,-0.0101323
14/02/2006,81.34,0.010380716
13/02/2006,80.5,0.007356183
10/02/2006,79.91,-0.008969787
09/02/2006,80.63,-0.000867787
08/02/2006,80.7,-0.006176672
07/02/2006,81.2,-0.007850874
06/02/2006,81.84,0.00404041
03/02/2006,81.51,-0.017512305
02/02/2006,82.95,-0.006728369
01/02/2006,83.51,0.008055349
31/01/2006,82.84,-0.001929571
30/01/2006,83,-0.01233327
27/01/2006,84.03,0.029712331
26/01/2006,81.57,0.00417691
25/01/2006,81.23,-0.008458524
24/01/2006,81.92,0.003178875
23/01/2006,81.66,0.011206324
20/01/2006,80.75,-0.014873361
19/01/2006,81.96,0.01388314
18/01/2006,80.83,0.002849534
17/01/2006,80.6,0.000372278
13/01/2006,80.57,-0.016494712
12/01/2006,81.91,-0.004020718
11/01/2006,82.24,0.00194742
10/01/2006,82.08,0.010532859
09/01/2006,81.22,0.00803515
06/01/2006,80.57,0.01336935
05/01/2006,79.5,0.011003716
04/01/2006,78.63,0.002546799
03/01/2006,78.43,0.023217862
30/12/2005,76.63,-0.004557003
29/12/2005,76.98,-0.012393652
28/12/2005,77.94,-0.0084324
27/12/2005,78.6,0.003185731
23/12/2005,78.35,-0.000510399
22/12/2005,78.39,0.004987542
21/12/2005,78,0.013812909
20/12/2005,76.93,-0.005703191
19/12/2005,77.37,-0.019582119
16/12/2005,78.9,-0.006191188
15/12/2005,79.39,0.001765003
14/12/2005,79.25,0.007726937
13/12/2005,78.64,0.010739045
12/12/2005,77.8,-0.001926164
09/12/2005,77.95,0.010056815
08/12/2005,77.17,0.00285492
07/12/2005,76.95,-0.009055689
06/12/2005,77.65,0
05/12/2005,77.65,-0.008719122
02/12/2005,78.33,-0.004204096
01/12/2005,78.66,0.017311454
30/11/2005,77.31,-0.000905036
29/11/2005,77.38,0.006222473
28/11/2005,76.9,-0.014715639
25/11/2005,78.04,-0.000128131
23/11/2005,78.05,0.001795333
22/11/2005,77.91,0.009025332
21/11/2005,77.21,0.000129525
18/11/2005,77.2,0.012382042
17/11/2005,76.25,0.01121014
16/11/2005,75.4,0.008925657
15/11/2005,74.73,0.000401526
14/11/2005,74.7,-0.013298068
11/11/2005,75.7,0.019205712
10/11/2005,74.26,0.033131025
09/11/2005,71.84,0.014158784
08/11/2005,70.83,0.002261485
07/11/2005,70.67,0.003827892
04/11/2005,70.4,-0.003686379
03/11/2005,70.66,0.000991151
02/11/2005,70.59,0.007108361
01/11/2005,70.09,-0.021594234
31/10/2005,71.62,0.010809398
28/10/2005,70.85,0.045035753
27/10/2005,67.73,-0.007648221
26/10/2005,68.25,-0.014834478
25/10/2005,69.27,0.003615594
24/10/2005,69.02,0.016360283
21/10/2005,67.9,0.010511608
20/10/2005,67.19,-0.01139487
19/10/2005,67.96,0.01035359
18/10/2005,67.26,-0.010794929
17/10/2005,67.99,0.001030094
14/10/2005,67.92,0.01992631
13/10/2005,66.58,-0.006288387
12/10/2005,67,-0.01950993
11/10/2005,68.32,-0.0017549
10/10/2005,68.44,-0.013064491
07/10/2005,69.34,-0.015313358
06/10/2005,70.41,-0.003119685
05/10/2005,70.63,-0.024336865
04/10/2005,72.37,-0.02672279
03/10/2005,74.33,0.002829237
30/09/2005,74.12,0.004733257
29/09/2005,73.77,0.020819818
28/09/2005,72.25,-0.001659522
27/09/2005,72.37,0.003460451
26/09/2005,72.12,-0.002631034
23/09/2005,72.31,0.005686167
22/09/2005,71.9,0.004879759
21/09/2005,71.55,-0.028927637
20/09/2005,73.65,-0.008113635
19/09/2005,74.25,-0.011515928
16/09/2005,75.11,-0.011779635
15/09/2005,76,0.001975634
14/09/2005,75.85,-0.00525971
13/09/2005,76.25,-0.00939832
12/09/2005,76.97,-0.016109634
09/09/2005,78.22,0.002688346
08/09/2005,78.01,0.001411071
07/09/2005,77.9,-0.002820153
06/09/2005,78.12,0.018214028
02/09/2005,76.71,0.002741337
01/09/2005,76.5,0.005636772
31/08/2005,76.07,0.020049799
30/08/2005,74.56,0.003089532
29/08/2005,74.33,-0.003893929
26/08/2005,74.62,-0.015029877
25/08/2005,75.75,0.00092452
24/08/2005,75.68,0.000925375
23/08/2005,75.61,0.002383476
