Date,Close,LOW
12/07/2006,27.44,-0.038954362
11/07/2006,28.53,-0.005940958
10/07/2006,28.7,-0.009018445
07/07/2006,28.96,-0.044571861
06/07/2006,30.28,-0.004284073
05/07/2006,30.41,-0.000328785
03/07/2006,30.42,-0.690349055
30/06/2006,60.67,-0.018292197
29/06/2006,61.79,0.020437235
28/06/2006,60.54,-0.007569561
27/06/2006,61,-0.016421798
26/06/2006,62.01,0.018719518
23/06/2006,60.86,-0.004753718
22/06/2006,61.15,-0.010735302
21/06/2006,61.81,0.010081386
20/06/2006,61.19,-0.006353365
19/06/2006,61.58,-0.010660737
16/06/2006,62.24,-0.014198213
15/06/2006,63.13,0.013716323
14/06/2006,62.27,0.008223863
13/06/2006,61.76,0.007476063
12/06/2006,61.3,-0.015057356
09/06/2006,62.23,0.0017692
08/06/2006,62.12,0.018358082
07/06/2006,60.99,-0.008489847
06/06/2006,61.51,-0.009868235
05/06/2006,62.12,-0.021341788
02/06/2006,63.46,0
01/06/2006,63.46,0.018769439
31/05/2006,62.28,0.020930431
30/05/2006,60.99,-0.014002183
26/05/2006,61.85,-0.003067239
25/05/2006,62.04,0.022494836
24/05/2006,60.66,0.02082194
23/05/2006,59.41,-0.006877491
22/05/2006,59.82,-0.046063998
19/05/2006,62.64,0.018366877
18/05/2006,61.5,0.003746848
17/05/2006,61.27,-0.020036217
16/05/2006,62.51,-0.011610468
15/05/2006,63.24,-0.000474271
12/05/2006,63.27,-0.016303857
11/05/2006,64.31,-0.002329736
10/05/2006,64.46,-0.014935992
09/05/2006,65.43,0.007055244
08/05/2006,64.97,-0.005372643
05/05/2006,65.32,0.040299065
04/05/2006,62.74,0.006235531
03/05/2006,62.35,-0.005597776
02/05/2006,62.7,-0.01346555
01/05/2006,63.55,0.007898935
28/04/2006,63.05,-0.004746844
27/04/2006,63.35,0.007764875
26/04/2006,62.86,0.00430451
25/04/2006,62.59,-0.003827145
24/04/2006,62.83,-0.007136657
21/04/2006,63.28,-0.006615239
20/04/2006,63.7,-0.001568628
19/04/2006,63.8,-0.005159083
18/04/2006,64.13,0.009714899
17/04/2006,63.51,-0.012206724
13/04/2006,64.29,0.002180007
12/04/2006,64.15,-0.00853711
11/04/2006,64.7,-0.007238039
10/04/2006,65.17,-0.003370101
07/04/2006,65.39,-0.015177101
06/04/2006,66.39,-0.00465851
05/04/2006,66.7,0.01800215
04/04/2006,65.51,0.020511167
03/04/2006,64.18,-0.004042923
31/03/2006,64.44,-0.005107975
30/03/2006,64.77,-0.014104174
29/03/2006,65.69,0.000152242
28/03/2006,65.68,-0.003343976
27/03/2006,65.9,-0.003937609
24/03/2006,66.16,-0.006177975
23/03/2006,66.57,-0.010162993
22/03/2006,67.25,-0.005782506
21/03/2006,67.64,-0.005308181
20/03/2006,68,-0.009222052
17/03/2006,68.63,0.012167562
16/03/2006,67.8,0.005027365
15/03/2006,67.46,-0.000740905
14/03/2006,67.51,0.024896307
13/03/2006,65.85,0.00685717
10/03/2006,65.4,0
09/03/2006,65.4,-0.019232818
08/03/2006,66.67,0.011313191
07/03/2006,65.92,-0.011463172
06/03/2006,66.68,-0.010591581
03/03/2006,67.39,-0.012827305
02/03/2006,68.26,-0.000878606
01/03/2006,68.32,0.002051283
28/02/2006,68.18,-0.016293639
27/02/2006,69.3,0.056089467
24/02/2006,65.52,0.000763417
23/02/2006,65.47,-0.007911193
22/02/2006,65.99,0.006690005
21/02/2006,65.55,-0.010924096
