Date,Close,T
22/05/2006,25.24,-0.001583532
19/05/2006,25.28,0.021592202
18/05/2006,24.74,-0.014446479
17/05/2006,25.1,-0.026343179
16/05/2006,25.77,-0.000775795
15/05/2006,25.79,0.006613523
12/05/2006,25.62,-0.018945086
11/05/2006,26.11,-0.002295334
10/05/2006,26.17,-0.005335379
09/05/2006,26.31,0.006482387
08/05/2006,26.14,0.006524683
05/05/2006,25.97,0.001927154
04/05/2006,25.92,-0.002696977
03/05/2006,25.99,-0.006519678
02/05/2006,26.16,0
01/05/2006,26.16,-0.001909491
28/04/2006,26.21,-0.00646513
27/04/2006,26.38,0.008374621
26/04/2006,26.16,0.021639175
25/04/2006,25.6,0.00273812
24/04/2006,25.53,0.007075501
21/04/2006,25.35,0.000394555
20/04/2006,25.34,-0.016050452
19/04/2006,25.75,-0.007351552
18/04/2006,25.94,0.019856599
17/04/2006,25.43,-0.005881217
13/04/2006,25.58,-0.0015625
12/04/2006,25.62,-0.006225701
11/04/2006,25.78,-0.009650721
10/04/2006,26.03,-0.004981808
07/04/2006,26.16,-0.011024632
06/04/2006,26.45,-0.023908498
05/04/2006,27.09,-0.001106807
04/04/2006,27.12,0.006288166
03/04/2006,26.95,-0.003333954
31/03/2006,27.04,0.000739919
30/03/2006,27.02,-0.008843094
29/03/2006,27.26,0.008843094
28/03/2006,27.02,-0.010675603
27/03/2006,27.31,-0.002194588
24/03/2006,27.37,0.013610657
23/03/2006,27,0.002967361
22/03/2006,26.92,0.007457156
21/03/2006,26.72,-0.003735529
20/03/2006,26.82,-0.006688988
17/03/2006,27,-0.004065798
16/03/2006,27.11,-0.007350272
15/03/2006,27.31,-0.000366099
14/03/2006,27.32,0.007347572
13/03/2006,27.12,-0.004047844
10/03/2006,27.23,0.010336009
09/03/2006,26.95,0.005954614
08/03/2006,26.79,0.009752515
07/03/2006,26.53,-0.018301164
06/03/2006,27.02,-0.035269971
03/03/2006,27.99,-0.010307538
02/03/2006,28.28,0.0067412
01/03/2006,28.09,0.017960253
28/02/2006,27.59,-0.006502913
27/02/2006,27.77,0.007228076
24/02/2006,27.57,-0.013331129
23/02/2006,27.94,-0.011034104
22/02/2006,28.25,0.003546103
21/02/2006,28.15,-0.004607486
17/02/2006,28.28,-0.00599332
16/02/2006,28.45,0.004579892
15/02/2006,28.32,0.001059884
14/02/2006,28.29,0.022882657
13/02/2006,27.65,0.006167261
10/02/2006,27.48,0.012818341
09/02/2006,27.13,0
08/02/2006,27.13,0.007770622
07/02/2006,26.92,-0.004817501
06/02/2006,27.05,0.009658322
03/02/2006,26.79,0.010129518
02/02/2006,26.52,-0.001130582
01/02/2006,26.55,0.022858138
31/01/2006,25.95,-0.003846159
30/01/2006,26.05,0.006160974
27/01/2006,25.89,0.014786262
26/01/2006,25.51,0.011829791
25/01/2006,25.21,0.022058243
24/01/2006,24.66,0.008552282
23/01/2006,24.45,-0.010577804
20/01/2006,24.71,-0.007659783
19/01/2006,24.9,0.003218024
18/01/2006,24.82,-0.000805477
17/01/2006,24.84,-0.006020488
13/01/2006,24.99,0.001201201
12/01/2006,24.96,-0.004397369
11/01/2006,25.07,0.008009654
10/01/2006,24.87,-0.006013247
09/01/2006,25.02,0.003603608
06/01/2006,24.93,-0.000801925
05/01/2006,24.95,0.002407706
04/01/2006,24.89,0.007258096
03/01/2006,24.71,0.008943149
30/12/2005,24.49,-0.00529425
29/12/2005,24.62,0
28/12/2005,24.62,-0.000406091
27/12/2005,24.63,0
23/12/2005,24.63,0.002032108
22/12/2005,24.58,0.005302888
21/12/2005,24.45,-0.008146685
20/12/2005,24.65,-0.007275699
19/12/2005,24.83,-0.005221944
16/12/2005,24.96,0.004416791
15/12/2005,24.85,-0.000804505
14/12/2005,24.87,-0.006013247
13/12/2005,25.02,0.006415419
12/12/2005,24.86,-0.001607717
09/12/2005,24.9,0.002010051
08/12/2005,24.85,-0.009611608
07/12/2005,25.09,-0.004374634
06/12/2005,25.2,-0.003565066
05/12/2005,25.29,0.008737149
02/12/2005,25.07,-0.009132484
01/12/2005,25.3,0.015535066
30/11/2005,24.91,-0.005604498
29/11/2005,25.05,-0.001196888
28/11/2005,25.08,0.012437472
25/11/2005,24.77,0.003640044
23/11/2005,24.68,-0.003640044
22/11/2005,24.77,0.016280376
21/11/2005,24.37,-0.000410256
18/11/2005,24.38,0.008650929
17/11/2005,24.17,0.014586631
16/11/2005,23.82,-0.002934397
15/11/2005,23.89,-0.002508363
14/11/2005,23.95,0
11/11/2005,23.95,0.002508363
10/11/2005,23.89,0.012213249
09/11/2005,23.6,0
08/11/2005,23.6,0.008083431
07/11/2005,23.41,-0.010622577
04/11/2005,23.66,0.005934736
03/11/2005,23.52,-0.016445658
02/11/2005,23.91,0.00545189
01/11/2005,23.78,-0.002939326
31/10/2005,23.85,-0.001675744
28/10/2005,23.89,0.007984913
27/10/2005,23.7,0.002111933
26/10/2005,23.65,-0.001689903
25/10/2005,23.69,0.004230125
24/10/2005,23.59,0.025328677
21/10/2005,23,0.020202707
20/10/2005,22.54,0.005784221
19/10/2005,22.41,0.013929679
18/10/2005,22.1,-0.00451468
17/10/2005,22.2,0
14/10/2005,22.2,-0.00224972
13/10/2005,22.25,-0.002693
12/10/2005,22.31,-0.011143418
11/10/2005,22.56,-0.008826183
10/10/2005,22.76,0.000439464
07/10/2005,22.75,-0.014834478
06/10/2005,23.09,-0.009911738
05/10/2005,23.32,-0.027074412
04/10/2005,23.96,0
03/10/2005,23.96,-0.000417275
30/09/2005,23.97,0.010484474
29/09/2005,23.72,-0.007559885
28/09/2005,23.9,0.010938266
27/09/2005,23.64,-0.00842465
26/09/2005,23.84,0.002940561
23/09/2005,23.77,-0.00252101
22/09/2005,23.83,-0.004605409
21/09/2005,23.94,-0.00583092
20/09/2005,24.08,0.00083091
19/09/2005,24.06,-0.007040824
16/09/2005,24.23,0.013294753
15/09/2005,23.91,0.009243763
14/09/2005,23.69,-0.004212306
13/09/2005,23.79,-0.00126024
12/09/2005,23.82,-0.009609433
09/09/2005,24.05,0.001664586
08/09/2005,24.01,-0.00291121
07/09/2005,24.08,-0.006622541
06/09/2005,24.24,0.015381721
02/09/2005,23.87,-0.006264376
01/09/2005,24.02,-0.002494804
31/08/2005,24.08,0.01127596
30/08/2005,23.81,-0.000839631
29/08/2005,23.83,0.005048391
26/08/2005,23.71,-0.007144388
25/08/2005,23.88,-0.001255493
24/08/2005,23.91,-0.012055852
23/08/2005,24.2,0.007049583
22/08/2005,24.03,-0.004567166
19/08/2005,24.14,0.003735219
18/08/2005,24.05,-0.006630774
17/08/2005,24.21,-0.002063133
16/08/2005,24.26,-0.008210227
15/08/2005,24.46,0
12/08/2005,24.46,-0.011382237
11/08/2005,24.74,0.003644466
10/08/2005,24.65,0.004472461
09/08/2005,24.54,0.002856562
08/08/2005,24.47,-0.005704987
05/08/2005,24.61,-0.005268503
04/08/2005,24.74,-0.009253737
03/08/2005,24.97,0.012492607
02/08/2005,24.66,0.00773462
01/08/2005,24.47,0.000817662
29/07/2005,24.45,-0.011386866
28/07/2005,24.73,0.017129293
27/07/2005,24.31,0.011168679
26/07/2005,24.04,0.008773819
25/07/2005,23.83,0.004626717
22/07/2005,23.72,0.000421674
21/07/2005,23.71,-0.003788681
20/07/2005,23.8,0.000420256
19/07/2005,23.79,-0.002099518
18/07/2005,23.84,-0.01167653
15/07/2005,24.12,0.000829531
14/07/2005,24.1,0.008751879
13/07/2005,23.89,0.000418673
12/07/2005,23.88,0.003775964
11/07/2005,23.79,0.009290607
08/07/2005,23.57,0.008949559
07/07/2005,23.36,-0.010645193
06/07/2005,23.61,-0.020541489
05/07/2005,24.1,0.007078939
01/07/2005,23.93,0.007550371
30/06/2005,23.75,-0.00796817
29/06/2005,23.94,0.010075652
28/06/2005,23.7,0.005500331
27/06/2005,23.57,0.002974296
24/06/2005,23.5,-0.006785437
23/06/2005,23.66,-0.005059033
22/06/2005,23.78,-0.003777549
21/06/2005,23.87,-0.008343811
20/06/2005,24.07,0.002079435
17/06/2005,24.02,0.002918493
16/06/2005,23.95,-0.002502086
15/06/2005,24.01,0.004591951
14/06/2005,23.9,-0.000418323
13/06/2005,23.91,0.01177969
10/06/2005,23.63,0.00935381
09/06/2005,23.41,-0.00553782
08/06/2005,23.54,0.004257137
07/06/2005,23.44,0.005990604
06/06/2005,23.3,-0.001715266
03/06/2005,23.34,-0.003421731
02/06/2005,23.42,0.005995735
01/06/2005,23.28,-0.004286333
31/05/2005,23.38,-0.012327467
27/05/2005,23.67,0.000845309
26/05/2005,23.65,0.004237294
25/05/2005,23.55,-0.002544531
24/05/2005,23.61,-0.003804697
23/05/2005,23.7,0.002957957
20/05/2005,23.63,-0.004222979
19/05/2005,23.73,0.00210926
18/05/2005,23.68,0.008056011
17/05/2005,23.49,0.005977815
16/05/2005,23.35,0.011630542
13/05/2005,23.08,-0.00733869
12/05/2005,23.25,-0.002148229
11/05/2005,23.3,-0.006417134
10/05/2005,23.45,-0.0055284
09/05/2005,23.58,-0.001694916
06/05/2005,23.62,-0.002536999
05/05/2005,23.68,-0.005054771
04/05/2005,23.8,0
03/05/2005,23.8,0.000840689
02/05/2005,23.78,-0.000840689
29/04/2005,23.8,0.011834458
28/04/2005,23.52,0.003407158
27/04/2005,23.44,0.012017312
26/04/2005,23.16,-0.006884709
25/04/2005,23.32,0.005159083
22/04/2005,23.2,0.000862441
21/04/2005,23.18,0.009536266
20/04/2005,22.96,-0.010398707
19/04/2005,23.2,-0.000430942
18/04/2005,23.21,0.009089004
15/04/2005,23,-0.027868899
14/04/2005,23.65,-0.007582176
13/04/2005,23.83,-0.00251467
12/04/2005,23.89,0.00251467
11/04/2005,23.83,0.003362761
08/04/2005,23.75,-0.003782312
07/04/2005,23.84,-0.002931939
06/04/2005,23.91,-0.012055852
05/04/2005,24.2,0.012055852
04/04/2005,23.91,0.010510923
01/04/2005,23.66,-0.00126716
31/03/2005,23.69,-0.00042203
30/03/2005,23.7,0.015734962
29/03/2005,23.33,-0.006834713
28/03/2005,23.49,0.008121438
24/03/2005,23.3,-0.004282662
23/03/2005,23.4,0.015504187
22/03/2005,23.04,-0.007351384
21/03/2005,23.21,-0.006013764
18/03/2005,23.35,-0.002139038
17/03/2005,23.4,-0.000854336
16/03/2005,23.42,-0.0101955
15/03/2005,23.66,-0.018010958
14/03/2005,24.09,0.003742986
11/03/2005,24,-0.004987542
10/03/2005,24.12,0.000829531
09/03/2005,24.1,-0.002900354
08/03/2005,24.17,-0.010290274
07/03/2005,24.42,-0.002862402
04/03/2005,24.49,0.005322428
03/03/2005,24.36,0.001643386
02/03/2005,24.32,0
01/03/2005,24.32,0.010748347
28/02/2005,24.06,-0.00621506
25/02/2005,24.21,0.002067398
24/02/2005,24.16,0.000828157
23/02/2005,24.14,0.004567166
22/02/2005,24.03,-0.006222795
18/02/2005,24.18,-0.002890772
17/02/2005,24.25,-0.01066458
16/02/2005,24.51,-0.000407914
15/02/2005,24.52,0.006136243
14/02/2005,24.37,0.004523964
11/02/2005,24.26,0.006617063
10/02/2005,24.1,-0.011551284
09/02/2005,24.38,-0.00938974
08/02/2005,24.61,0.005704987
07/02/2005,24.47,-0.005298565
04/02/2005,24.6,-0.000812678
03/02/2005,24.62,0.009385909
02/02/2005,24.39,0.019458283
01/02/2005,23.92,0.006711435
31/01/2005,23.76,0.005909684
28/01/2005,23.62,-0.002114613
27/01/2005,23.67,-0.037724681
26/01/2005,24.58,0.005302888
25/01/2005,24.45,-0.003674223
24/01/2005,24.54,-0.001628665
21/01/2005,24.58,0.004485227
20/01/2005,24.47,-0.012992469
19/01/2005,24.79,-0.003623922
18/01/2005,24.88,0.019071383
14/01/2005,24.41,-0.000819001
13/01/2005,24.43,-0.015434912
12/01/2005,24.81,0.006469897
11/01/2005,24.65,-0.010090903
10/01/2005,24.9,-0.007202912
07/01/2005,25.08,-0.002787181
06/01/2005,25.15,-0.011464842
05/01/2005,25.44,0.004728141
04/01/2005,25.32,-0.010607053
03/01/2005,25.59,-0.007009374
31/12/2004,25.77,0.000388123
30/12/2004,25.76,-0.004647568
29/12/2004,25.88,-0.006547299
28/12/2004,26.05,0.003846159
27/12/2004,25.95,-0.003078109
23/12/2004,26.03,0.003078109
22/12/2004,25.95,0.001928641
21/12/2004,25.9,0.003480955
20/12/2004,25.81,0.004271022
17/12/2004,25.7,0
16/12/2004,25.7,0.000778513
15/12/2004,25.68,-0.010459131
14/12/2004,25.95,0.007348708
13/12/2004,25.76,0.017623327
10/12/2004,25.31,0.01152407
09/12/2004,25.02,-0.009546612
08/12/2004,25.26,-0.00592068
07/12/2004,25.41,-0.003927735
06/12/2004,25.51,-0.011691482
03/12/2004,25.81,-0.011173301
02/12/2004,26.1,0.012336317
01/12/2004,25.78,0.023946188
30/11/2004,25.17,-0.007125921
29/11/2004,25.35,-0.005115101
26/11/2004,25.48,0.004720701
24/11/2004,25.36,-0.003935464
23/11/2004,25.46,-0.002353865
22/11/2004,25.52,-0.014394335
19/11/2004,25.89,-0.008461589
18/11/2004,26.11,-0.002677378
17/11/2004,26.18,0.001911681
16/11/2004,26.13,-0.009522068
15/11/2004,26.38,-0.010933191
12/11/2004,26.67,0.017779927
11/11/2004,26.2,0.008817385
10/11/2004,25.97,-0.006907165
09/11/2004,26.15,-0.005339448
08/11/2004,26.29,0.00152265
05/11/2004,26.25,0.004964685
04/11/2004,26.12,0.016210313
03/11/2004,25.7,0.007028533
02/11/2004,25.52,-0.005860536
01/11/2004,25.67,0.016100878
29/10/2004,25.26,-0.003556613
28/10/2004,25.35,0.015504187
27/10/2004,24.96,0.008449054
26/10/2004,24.75,-0.009650256
25/10/2004,24.99,-0.009954293
22/10/2004,25.24,-0.017282441
21/10/2004,25.68,-0.02992168
20/10/2004,26.46,-0.009029407
19/10/2004,26.7,-0.007834399
18/10/2004,26.91,0.008583744
15/10/2004,26.68,0.012445946
