Date,Close,HAL
14/03/2006,69.56,0.013314234
13/03/2006,68.64,0.024182836
10/03/2006,67,0.014280588
09/03/2006,66.05,-0.013235266
08/03/2006,66.93,0.007950241
07/03/2006,66.4,-0.03172046
06/03/2006,68.54,-0.037513346
03/03/2006,71.16,-0.007420405
02/03/2006,71.69,0.03289677
01/03/2006,69.37,0.019946792
28/02/2006,68,-0.014598799
27/02/2006,69,-0.031667173
24/02/2006,71.22,0.008177122
23/02/2006,70.64,-0.001838626
22/02/2006,70.77,-0.019589265
21/02/2006,72.17,0.029101653
17/02/2006,70.1,-0.016131664
16/02/2006,71.24,0.037616162
15/02/2006,68.61,-0.028733481
14/02/2006,70.61,-0.024343676
13/02/2006,72.35,-0.013045156
10/02/2006,73.3,0.011387926
09/02/2006,72.47,-0.028297358
08/02/2006,74.55,0.02128461
07/02/2006,72.98,-0.059447136
06/02/2006,77.45,0.000645786
03/02/2006,77.4,-0.004125844
02/02/2006,77.72,-0.015702116
01/02/2006,78.95,-0.008450577
31/01/2006,79.62,-0.015453947
30/01/2006,80.86,0.02415788
27/01/2006,78.93,0.049075268
26/01/2006,75.15,0.012183028
25/01/2006,74.24,-0.022772141
24/01/2006,75.95,-0.013860055
23/01/2006,77.01,0.019802627
20/01/2006,75.5,0.050944802
19/01/2006,71.75,0.033300987
18/01/2006,69.4,-0.008608375
17/01/2006,70,0.006449324
13/01/2006,69.55,0.008374291
12/01/2006,68.97,-0.016108503
11/01/2006,70.09,0.021487596
10/01/2006,68.6,0.028987537
09/01/2006,66.64,0.008892967
06/01/2006,66.05,0.022352431
05/01/2006,64.59,-0.023411673
04/01/2006,66.12,0.011866867
03/01/2006,65.34,0.053115391
30/12/2005,61.96,0.008427927
29/12/2005,61.44,-0.016145007
28/12/2005,62.44,0.014193787
27/12/2005,61.56,-0.036524274
23/12/2005,63.85,-0.004999229
22/12/2005,64.17,-0.002334813
21/12/2005,64.32,0.012988212
20/12/2005,63.49,0.013957403
19/12/2005,62.61,-0.017573475
16/12/2005,63.72,-0.033639956
15/12/2005,65.9,-0.009664829
14/12/2005,66.54,0.009058033
13/12/2005,65.94,-0.015350189
12/12/2005,66.96,0.012624153
09/12/2005,66.12,-0.008883594
08/12/2005,66.71,0.029357953
07/12/2005,64.78,-0.001542496
06/12/2005,64.88,-0.004920059
05/12/2005,65.2,-0.009616193
02/12/2005,65.83,0.008083625
01/12/2005,65.3,0.025592711
30/11/2005,63.65,0.019673806
29/11/2005,62.41,-0.010519702
28/11/2005,63.07,-0.030449694
25/11/2005,65.02,-0.008118295
23/11/2005,65.55,0.003821174
22/11/2005,65.3,0.038718542
21/11/2005,62.82,0.023352378
18/11/2005,61.37,0.010812687
17/11/2005,60.71,0.020300198
16/11/2005,59.49,0.037856709
15/11/2005,57.28,0.000349223
14/11/2005,57.26,0.021179754
11/11/2005,56.06,0.001070855
10/11/2005,56,-0.041964199
09/11/2005,58.4,-0.010391031
08/11/2005,59.01,-0.002369669
07/11/2005,59.15,-0.032598928
04/11/2005,61.11,-0.056776516
03/11/2005,64.68,0.027111274
02/11/2005,62.95,0.047329754
01/11/2005,60.04,0.015780082
31/10/2005,59.1,0.025187659
28/10/2005,57.63,0.044893549
27/10/2005,55.1,-0.053876163
26/10/2005,58.15,-0.021268347
25/10/2005,59.4,-0.02805396
24/10/2005,61.09,0.051043479
21/10/2005,58.05,0.007434978
20/10/2005,57.62,-0.031938502
19/10/2005,59.49,0.016781477
18/10/2005,58.5,-0.046753089
17/10/2005,61.3,0.000489516
14/10/2005,61.27,0.029650205
13/10/2005,59.48,-0.027689741
12/10/2005,61.15,-0.010249825
11/10/2005,61.78,0.013854023
10/10/2005,60.93,-0.02879526
07/10/2005,62.71,0.031424678
06/10/2005,60.77,-0.023901634
05/10/2005,62.24,-0.057595693
04/10/2005,65.93,-0.044352839
03/10/2005,68.92,0.005820738
30/09/2005,68.52,-0.012761194
29/09/2005,69.4,0.000576535
28/09/2005,69.36,0.018186287
27/09/2005,68.11,0.013599618
26/09/2005,67.19,0.032983323
23/09/2005,65.01,-0.002918365
22/09/2005,65.2,-0.015975996
21/09/2005,66.25,0.004841892
20/09/2005,65.93,-0.012061054
19/09/2005,66.73,0.026267357
16/09/2005,65,0.010516645
15/09/2005,64.32,0.015195718
14/09/2005,63.35,0.010313459
13/09/2005,62.7,-0.014252023
12/09/2005,63.6,-0.038555277
09/09/2005,66.1,0.024968748
08/09/2005,64.47,0.004196789
07/09/2005,64.2,-0.009610987
06/09/2005,64.82,0.039492271
02/09/2005,62.31,-0.013549263
01/09/2005,63.16,0.018536804
31/08/2005,62,0.035460051
30/08/2005,59.84,0.034685558
29/08/2005,57.8,0.009386476
26/08/2005,57.26,-0.007134808
25/08/2005,57.67,-0.015314762
24/08/2005,58.56,0.027176056
23/08/2005,56.99,0.000351
22/08/2005,56.97,0.00881529
19/08/2005,56.47,0.018408169
18/08/2005,55.44,-0.006472515
17/08/2005,55.8,-0.022329476
16/08/2005,57.06,-0.020640747
15/08/2005,58.25,-0.009737841
12/08/2005,58.82,-0.01685812
11/08/2005,59.82,0.012616872
10/08/2005,59.07,0.012263823
09/08/2005,58.35,-0.004445972
08/08/2005,58.61,0.003247034
05/08/2005,58.42,-0.013094312
04/08/2005,59.19,0.007631683
03/08/2005,58.74,0.001703868
02/08/2005,58.64,0.033113886
01/08/2005,56.73,0.012059022
29/07/2005,56.05,-0.003739654
28/07/2005,56.26,-0.001598437
27/07/2005,56.35,0.010166858
26/07/2005,55.78,0.016630897
25/07/2005,54.86,0.029035789
22/07/2005,53.29,0.090069666
21/07/2005,48.7,-0.003484681
20/07/2005,48.87,-0.00754259
19/07/2005,49.24,0.0589759
18/07/2005,46.42,-0.005585407
15/07/2005,46.68,-0.008320048
14/07/2005,47.07,-0.028483601
13/07/2005,48.43,-0.012108922
12/07/2005,49.02,0.004088313
11/07/2005,48.82,0.009467039
08/07/2005,48.36,-0.013147272
07/07/2005,49,0.00593595
06/07/2005,48.71,-0.018912613
05/07/2005,49.64,0.031514783
01/07/2005,48.1,0.005838215
30/06/2005,47.82,-0.002297651
29/06/2005,47.93,0.001043732
28/06/2005,47.88,-0.023122417
27/06/2005,49,0.018122407
24/06/2005,48.12,-0.00103853
23/06/2005,48.17,0.016114192
22/06/2005,47.4,0.026508607
21/06/2005,46.16,-0.003244298
20/06/2005,46.31,-0.001725998
17/06/2005,46.39,0.010400961
16/06/2005,45.91,0.013375926
15/06/2005,45.3,0.002209946
14/06/2005,45.2,0.008442618
13/06/2005,44.82,0.000446329
10/06/2005,44.8,0.00425009
09/06/2005,44.61,0.032349062
08/06/2005,43.19,-0.000694364
07/06/2005,43.22,-0.014699392
06/06/2005,43.86,0.010312914
03/06/2005,43.41,0.008559913
02/06/2005,43.04,-0.005329638
01/06/2005,43.27,0.012324304
31/05/2005,42.74,-0.010705245
27/05/2005,43.2,0.012578782
26/05/2005,42.66,-0.000937207
25/05/2005,42.7,0.009411834
24/05/2005,42.3,0.007832009
23/05/2005,41.97,0.005734783
20/05/2005,41.73,0.010357795
19/05/2005,41.3,0.012670735
18/05/2005,40.78,-0.017742597
17/05/2005,41.51,0.01970627
16/05/2005,40.7,-0.004901971
13/05/2005,40.9,0.005885255
12/05/2005,40.66,-0.046844159
11/05/2005,42.61,0.0103799
