Date,Close,MON
28/09/2005,59.65,-0.0070164
27/09/2005,60.07,0.051056756
26/09/2005,57.08,-0.049724089
23/09/2005,59.99,0.01005202
22/09/2005,59.39,-0.006879799
21/09/2005,59.8,-0.023304914
20/09/2005,61.21,-0.019414944
19/09/2005,62.41,-0.017786716
16/09/2005,63.53,-0.001572822
15/09/2005,63.63,-0.006422831
14/09/2005,64.04,-0.002651074
13/09/2005,64.21,-0.013919185
12/09/2005,65.11,-0.013273519
09/09/2005,65.98,0.000606428
08/09/2005,65.94,-0.004086271
07/09/2005,66.21,0.032075181
06/09/2005,64.12,0.017621601
02/09/2005,63,-0.00348598
01/09/2005,63.22,-0.009759246
31/08/2005,63.84,0.016106459
30/08/2005,62.82,-0.013911068
29/08/2005,63.7,-0.003447739
26/08/2005,63.92,0.012277818
25/08/2005,63.14,0.010988247
24/08/2005,62.45,-0.015255341
23/08/2005,63.41,-0.021529693
22/08/2005,64.79,-0.002774354
19/08/2005,64.97,0.01676277
18/08/2005,63.89,-0.001563967
17/08/2005,63.99,0.004228336
16/08/2005,63.72,-0.016807118
15/08/2005,64.8,-0.001696092
12/08/2005,64.91,-0.004150978
11/08/2005,65.18,0.000767401
10/08/2005,65.13,-0.013117943
09/08/2005,65.99,-0.006344432
08/08/2005,66.41,-0.01316399
05/08/2005,67.29,0.011208367
04/08/2005,66.54,-0.005096698
03/08/2005,66.88,0.023142529
02/08/2005,65.35,-0.006710411
01/08/2005,65.79,-0.023731964
29/07/2005,67.37,0.006552518
28/07/2005,66.93,0.030491554
27/07/2005,64.92,0.020385052
26/07/2005,63.61,-0.01776301
25/07/2005,64.75,-0.028771297
22/07/2005,66.64,0.006775604
21/07/2005,66.19,-0.009173686
20/07/2005,66.8,0.025624933
19/07/2005,65.11,0.02740324
18/07/2005,63.35,0.002370606
15/07/2005,63.2,-0.001106982
14/07/2005,63.27,-0.006302211
13/07/2005,63.67,-0.007510597
12/07/2005,64.15,0.012075737
11/07/2005,63.38,0.008397419
08/07/2005,62.85,0.026603746
07/07/2005,61.2,0.002781643
06/07/2005,61.03,-0.000818934
05/07/2005,61.08,-0.021060231
01/07/2005,62.38,-0.007824391
30/06/2005,62.87,-0.002065624
29/06/2005,63,-0.074017265
28/06/2005,67.84,0.028103494
27/06/2005,65.96,-0.00272521
24/06/2005,66.14,-0.005879266
23/06/2005,66.53,-0.019499018
22/06/2005,67.84,0.019950044
21/06/2005,66.5,0.0211238
20/06/2005,65.11,-0.037529836
17/06/2005,67.6,0.021683092
16/06/2005,66.15,-0.001208642
15/06/2005,66.23,0.020285909
14/06/2005,64.9,-0.001539646
13/06/2005,65,0.019261235
10/06/2005,63.76,0.009929942
09/06/2005,63.13,0.020322325
08/06/2005,61.86,0.003725002
07/06/2005,61.63,0.04700691
06/06/2005,58.8,-0.002038737
03/06/2005,58.92,-0.004909855
02/06/2005,59.21,0.016689761
01/06/2005,58.23,0.021349418
31/05/2005,57,-0.02289382
27/05/2005,58.32,0.005846964
26/05/2005,57.98,0.026742833
25/05/2005,56.45,-0.024325287
24/05/2005,57.84,-0.002762433
23/05/2005,58,0
