Date,Close,COST
08/04/2005,46.18,-0.015470872
07/04/2005,46.9,0.013307773
06/04/2005,46.28,-0.001727116
05/04/2005,46.36,0.026225279
04/04/2005,45.16,0.030806258
01/04/2005,43.79,-0.008866717
31/03/2005,44.18,-0.018168045
30/03/2005,44.99,0.012300278
29/03/2005,44.44,-0.000224997
28/03/2005,44.45,0.019307812
24/03/2005,43.6,-0.002748513
23/03/2005,43.72,0.006655217
22/03/2005,43.43,0.004615748
21/03/2005,43.23,-0.010813403
18/03/2005,43.7,-0.010244825
17/03/2005,44.15,-0.01126138
16/03/2005,44.65,-0.014894129
15/03/2005,45.32,-0.007474205
14/03/2005,45.66,0.015894374
11/03/2005,44.94,0.004236822
10/03/2005,44.75,-0.019035546
09/03/2005,45.61,-0.009817904
08/03/2005,46.06,0.033557233
07/03/2005,44.54,-0.004927222
04/03/2005,44.76,-0.000893256
03/03/2005,44.8,-0.004898696
02/03/2005,45.02,-0.036851439
01/03/2005,46.71,0.002572349
28/02/2005,46.59,0.000429369
25/02/2005,46.57,0.000644399
24/02/2005,46.54,0.019308551
23/02/2005,45.65,0.005491502
22/02/2005,45.4,-0.008771986
18/02/2005,45.8,-0.006528859
17/02/2005,46.1,-0.01805724
16/02/2005,46.94,-0.001277411
15/02/2005,47,0.010480258
14/02/2005,46.51,0.001506186
11/02/2005,46.44,0.012567879
10/02/2005,45.86,0.007661195
09/02/2005,45.51,-0.00809721
08/02/2005,45.88,-0.004783658
07/02/2005,46.1,-0.001733854
04/02/2005,46.18,-0.004105894
03/02/2005,46.37,-0.017105399
02/02/2005,47.17,0.004461922
01/02/2005,46.96,-0.006579669
31/01/2005,47.27,-0.000423012
28/01/2005,47.29,0.001269573
27/01/2005,47.23,-0.002748707
26/01/2005,47.36,0.005929708
25/01/2005,47.08,0.014117882
24/01/2005,46.42,-0.001936942
21/01/2005,46.51,-0.027149069
20/01/2005,47.79,-0.011856613
19/01/2005,48.36,-0.016000341
18/01/2005,49.14,0.017863117
14/01/2005,48.27,0.011040629
13/01/2005,47.74,0.00440853
12/01/2005,47.53,0.004428052
11/01/2005,47.32,-0.005479466
10/01/2005,47.58,0.001893342
07/01/2005,47.49,-0.008596342
06/01/2005,47.9,0.014297973
05/01/2005,47.22,0.003819228
04/01/2005,47.04,-0.018117201
03/01/2005,47.9,-0.0105909
31/12/2004,48.41,-0.000825934
30/12/2004,48.45,-0.005352009
29/12/2004,48.71,0.012602171
28/12/2004,48.1,0.013394926
27/12/2004,47.46,-0.00084246
