Date,Close,QCOM
07/02/2006,45.73,-0.004363961
06/02/2006,45.93,-0.003260518
03/02/2006,46.08,-0.017212129
02/02/2006,46.88,-0.022150468
01/02/2006,47.93,-0.000625717
31/01/2006,47.96,-0.012638726
30/01/2006,48.57,0.011388466
27/01/2006,48.02,0.01088788
26/01/2006,47.5,-0.001682794
25/01/2006,47.58,-0.010245777
24/01/2006,48.07,0.024214258
23/01/2006,46.92,-0.000852152
20/01/2006,46.96,-0.035766648
19/01/2006,48.67,0.019083757
18/01/2006,47.75,-0.007718824
17/01/2006,48.12,-0.010748347
13/01/2006,48.64,-0.00737406
12/01/2006,49,0.004089985
11/01/2006,48.8,0.029530114
10/01/2006,47.38,-0.004002112
09/01/2006,47.57,0.00442432
06/01/2006,47.36,0.046459689
05/01/2006,45.21,-0.004854378
04/01/2006,45.43,0.031983046
03/01/2006,44,0.021130782
30/12/2005,43.08,-0.010621204
29/12/2005,43.54,-0.002523226
28/12/2005,43.65,0.000229121
27/12/2005,43.64,-0.017040058
23/12/2005,44.39,0
22/12/2005,44.39,0.009051883
21/12/2005,43.99,-0.002270664
20/12/2005,44.09,0.009113756
19/12/2005,43.69,-0.028431518
16/12/2005,44.95,-0.017422428
15/12/2005,45.74,-0.010655749
14/12/2005,46.23,0.008471866
13/12/2005,45.84,0.014059986
12/12/2005,45.2,0.016732125
09/12/2005,44.45,0.005413954
08/12/2005,44.21,-0.017711482
07/12/2005,45,0.005794534
06/12/2005,44.74,0.005603511
05/12/2005,44.49,-0.015832642
02/12/2005,45.2,-0.00881063
01/12/2005,45.6,0.002854949
30/11/2005,45.47,-0.001538293
29/11/2005,45.54,-0.010919523
28/11/2005,46.04,-0.00303622
25/11/2005,46.18,0.00368804
23/11/2005,46.01,0.001740266
22/11/2005,45.93,-0.003260518
21/11/2005,46.08,0.003260518
18/11/2005,45.93,0.008747049
17/11/2005,45.53,0.012820688
16/11/2005,44.95,0.000222494
15/11/2005,44.94,-0.013043183
14/11/2005,45.53,0.002418913
11/11/2005,45.42,-0.005270104
10/11/2005,45.66,0.021920506
09/11/2005,44.67,-0.013784122
08/11/2005,45.29,0.014455939
07/11/2005,44.64,-0.003577821
04/11/2005,44.8,0.017564063
03/11/2005,44.02,0.086309463
02/11/2005,40.38,0.022287138
01/11/2005,39.49,-0.006813906
31/10/2005,39.76,-0.032416546
28/10/2005,41.07,-0.047084303
27/10/2005,43.05,-0.040961358
26/10/2005,44.85,-0.006888151
25/10/2005,45.16,-0.011886559
24/10/2005,45.7,0.015435808
21/10/2005,45,0.037355787
20/10/2005,43.35,-0.015337373
19/10/2005,44.02,0.036317163
18/10/2005,42.45,0.006143687
17/10/2005,42.19,0.006181665
14/10/2005,41.93,0.005500432
13/10/2005,41.7,-0.015467292
12/10/2005,42.35,-0.025872554
11/10/2005,43.46,-0.005049357
10/10/2005,43.68,-0.005479466
07/10/2005,43.92,-0.00522313
06/10/2005,44.15,-0.022397353
05/10/2005,45.15,-0.010136711
04/10/2005,45.61,0.012354007
03/10/2005,45.05,0.006681539
30/09/2005,44.75,-0.005348798
29/09/2005,44.99,0.01072636
28/09/2005,44.51,0.003601174
27/09/2005,44.35,-0.001126761
26/09/2005,44.4,-0.008075414
23/09/2005,44.76,0.01712525
22/09/2005,44,0.006155268
21/09/2005,43.73,0.007114201
20/09/2005,43.42,0.01648708
19/09/2005,42.71,-0.014181337
16/09/2005,43.32,0.025010068
15/09/2005,42.25,0.004269456
14/09/2005,42.07,-0.018370747
13/09/2005,42.85,0.00702579
12/09/2005,42.55,-0.006091865
09/09/2005,42.81,0.025311819
08/09/2005,41.74,0.027691835
07/09/2005,40.6,0.001232286
06/09/2005,40.55,0.014656827
02/09/2005,39.96,-0.0010005
01/09/2005,40,0.007276409
31/08/2005,39.71,-0.00377027
30/08/2005,39.86,-0.002755858
29/08/2005,39.97,0.003006767
26/08/2005,39.85,-0.005255925
25/08/2005,40.06,0.011044289
24/08/2005,39.62,-0.016769258
23/08/2005,40.29,-0.006432481
22/08/2005,40.55,0.00842006
19/08/2005,40.21,0.0069878
18/08/2005,39.93,-0.004747042
17/08/2005,40.12,-0.003235041
16/08/2005,40.25,-0.029619103
15/08/2005,41.46,0.016292154
12/08/2005,40.79,0.007628928
11/08/2005,40.48,0.031876209
10/08/2005,39.21,0.011285065
09/08/2005,38.77,-0.011029995
08/08/2005,39.2,0.001020929
05/08/2005,39.16,-0.010162689
04/08/2005,39.56,-0.009309414
03/08/2005,39.93,0.007036973
02/08/2005,39.65,0.016529302
01/08/2005,39,-0.012232568
29/07/2005,39.48,-0.007570059
28/07/2005,39.78,-0.009258167
27/07/2005,40.15,0.015309623
26/07/2005,39.54,0.006342784
25/07/2005,39.29,-0.000254485
22/07/2005,39.3,0.007406495
21/07/2005,39.01,0.077802205
20/07/2005,36.09,0.008067925
