Date,Close,CAT
26/06/2006,72.48,0.004701986
23/06/2006,72.14,-0.00193879
22/06/2006,72.28,-0.002625217
21/06/2006,72.47,0.020633661
20/06/2006,70.99,0.014758321
19/06/2006,69.95,-0.008540977
16/06/2006,70.55,-0.004243288
15/06/2006,70.85,0.048733708
14/06/2006,67.48,0.017188974
13/06/2006,66.33,0.000150773
12/06/2006,66.32,-0.017932339
09/06/2006,67.52,0.009374371
08/06/2006,66.89,0.002245006
07/06/2006,66.74,-0.025737259
06/06/2006,68.48,-0.012335981
05/06/2006,69.33,-0.048975595
02/06/2006,72.81,-0.006570866
01/06/2006,73.29,0.004649899
31/05/2006,72.95,0.010888399
30/05/2006,72.16,-0.030838847
26/05/2006,74.42,0.006200316
25/05/2006,73.96,0.00501526
24/05/2006,73.59,-0.001764986
23/05/2006,73.72,0.011597101
22/05/2006,72.87,0.001235839
19/05/2006,72.78,-0.024967376
18/05/2006,74.62,-0.01713986
17/05/2006,75.91,-0.018662858
16/05/2006,77.34,-0.001679478
15/05/2006,77.47,-0.004379193
12/05/2006,77.81,-0.02299536
11/05/2006,79.62,-0.016813398
10/05/2006,80.97,-0.002097342
09/05/2006,81.14,0.015400205
08/05/2006,79.9,-0.001000751
05/05/2006,79.98,0.014736711
04/05/2006,78.81,0.009049836
03/05/2006,78.1,0.007970218
02/05/2006,77.48,0.024166809
01/05/2006,75.63,-0.001453393
28/04/2006,75.74,0.009018629
27/04/2006,75.06,-0.011787435
26/04/2006,75.95,0.013520885
25/04/2006,74.93,-0.032174005
24/04/2006,77.38,-0.00631242
21/04/2006,77.87,-0.001283368
20/04/2006,77.97,-0.012743896
19/04/2006,78.97,0.000760071
18/04/2006,78.91,0.03167103
17/04/2006,76.45,-0.006388965
13/04/2006,76.94,-0.011629541
12/04/2006,77.84,0.015275378
11/04/2006,76.66,0.015909875
10/04/2006,75.45,0.007049308
07/04/2006,74.92,-0.009696563
06/04/2006,75.65,-0.001980852
05/04/2006,75.8,0.006618158
04/04/2006,75.3,0.024194729
03/04/2006,73.5,0.023261664
31/03/2006,71.81,-0.008182557
30/03/2006,72.4,-0.017389361
29/03/2006,73.67,-0.016157616
28/03/2006,74.87,-0.006788712
27/03/2006,75.38,-0.001590668
24/03/2006,75.5,-0.010015898
23/03/2006,76.26,0.000655867
22/03/2006,76.21,0.025247156
21/03/2006,74.31,-0.020512174
20/03/2006,75.85,-0.00499738
17/03/2006,76.23,0.017601195
16/03/2006,74.9,0.008177537
15/03/2006,74.29,0.032143915
14/03/2006,71.94,0.013152561
13/03/2006,71,0.000704473
10/03/2006,70.95,-0.006322466
09/03/2006,71.4,-0.01390843
08/03/2006,72.4,-0.008800937
07/03/2006,73.04,-0.002461371
06/03/2006,73.22,-0.018805939
03/03/2006,74.61,0.003625382
02/03/2006,74.34,-0.000672359
01/03/2006,74.39,0.017766793
28/02/2006,73.08,-0.005730675
27/02/2006,73.5,0.010944022
24/02/2006,72.7,0.004825931
23/02/2006,72.35,-0.009765568
22/02/2006,73.06,0.00645385
21/02/2006,72.59,0.007466849
17/02/2006,72.05,0.001249913
16/02/2006,71.96,0.005015335
15/02/2006,71.6,0.019461903
14/02/2006,70.22,0.023049133
13/02/2006,68.62,-0.001892699
10/02/2006,68.75,0.004373185
09/02/2006,68.45,-0.005245531
08/02/2006,68.81,0.024271251
07/02/2006,67.16,-0.022671367
06/02/2006,68.7,0.008331554
03/02/2006,68.13,-0.00380897
02/02/2006,68.39,-0.012352115
01/02/2006,69.24,0.019542696
31/01/2006,67.9,0.013194173
30/01/2006,67.01,-0.007730082
27/01/2006,67.53,0.035572703
26/01/2006,65.17,0.04873646
25/01/2006,62.07,0.011667609
24/01/2006,61.35,0.005065784
23/01/2006,61.04,0.004268599
20/01/2006,60.78,-0.028065756
19/01/2006,62.51,0.010291134
18/01/2006,61.87,-0.017464195
17/01/2006,62.96,0.010056753
13/01/2006,62.33,0.001927092
12/01/2006,62.21,0.014246639
11/01/2006,61.33,0.000489277
10/01/2006,61.3,-0.00407001
09/01/2006,61.55,0.018033276
06/01/2006,60.45,0.019713301
05/01/2006,59.27,0
04/01/2006,59.27,0.0251145
03/01/2006,57.8,0.000519166
30/12/2005,57.77,-0.006384285
29/12/2005,58.14,0.005173317
28/12/2005,57.84,-0.00086408
27/12/2005,57.89,-0.010653022
23/12/2005,58.51,0.001025992
22/12/2005,58.45,0.023717895
21/12/2005,57.08,0.005974363
20/12/2005,56.74,-0.001584926
19/12/2005,56.83,-0.048262135
16/12/2005,59.64,0.01571642
15/12/2005,58.71,-0.000681083
14/12/2005,58.75,-0.003737687
13/12/2005,58.97,0.016068722
12/12/2005,58.03,-0.001033414
09/12/2005,58.09,0.012995072
08/12/2005,57.34,-0.007644235
07/12/2005,57.78,-0.01749916
06/12/2005,58.8,0.008025314
05/12/2005,58.33,-0.008195368
02/12/2005,58.81,-0.003225535
01/12/2005,59,0.020894749
30/11/2005,57.78,0.011838578
29/11/2005,57.1,-0.006110888
28/11/2005,57.45,-0.008665565
25/11/2005,57.95,-0.00103484
23/11/2005,58.01,-0.012845942
22/11/2005,58.76,0.018030883
21/11/2005,57.71,0.007478946
18/11/2005,57.28,-0.00331155
17/11/2005,57.47,0.012959901
16/11/2005,56.73,0.014738791
15/11/2005,55.9,0.008443417
14/11/2005,55.43,0.010154212
11/11/2005,54.87,0.003285874
10/11/2005,54.69,0.010846692
09/11/2005,54.1,-0.002768807
08/11/2005,54.25,0
07/11/2005,54.25,0.012987196
04/11/2005,53.55,0.001308045
03/11/2005,53.48,-0.003919012
02/11/2005,53.69,0.018231874
01/11/2005,52.72,0.002468903
31/10/2005,52.59,0.029328747
28/10/2005,51.07,0.023176238
27/10/2005,49.9,-0.012941943
26/10/2005,50.55,0.005156695
25/10/2005,50.29,-0.000397614
24/10/2005,50.31,0.028017554
21/10/2005,48.92,-0.099353137
20/10/2005,54.03,-0.025581516
19/10/2005,55.43,0.026877932
18/10/2005,53.96,-0.01963546
17/10/2005,55.03,0.005283787
14/10/2005,54.74,0.013610657
13/10/2005,54,-0.013975954
12/10/2005,54.76,-0.014503517
11/10/2005,55.56,-0.000179969
10/10/2005,55.57,-0.018718792
07/10/2005,56.62,0.025580502
06/10/2005,55.19,-0.018490788
05/10/2005,56.22,-0.02737013
04/10/2005,57.78,-0.021064226
03/10/2005,59.01,0.004415768
30/09/2005,58.75,0.013020571
29/09/2005,57.99,0.007616447
28/09/2005,57.55,-0.020126249
27/09/2005,58.72,0.00649242
26/09/2005,58.34,-0.009892627
23/09/2005,58.92,0.015737581
22/09/2005,58,0.015463778
21/09/2005,57.11,0.005266866
20/09/2005,56.81,-0.002812447
19/09/2005,56.97,-0.01307892
16/09/2005,57.72,-0.00034644
15/09/2005,57.74,-0.009651919
14/09/2005,58.3,-0.018692133
13/09/2005,59.4,0.001853569
12/09/2005,59.29,0.007278915
09/09/2005,58.86,0.009045202
08/09/2005,58.33,-0.012606641
07/09/2005,59.07,0.009525502
06/09/2005,58.51,0.004453587
02/09/2005,58.25,0.022746011
01/09/2005,56.94,0.025795258
31/08/2005,55.49,0.031301173
30/08/2005,53.78,0.001488649
29/08/2005,53.7,0.003918281
26/08/2005,53.49,0.001683975
25/08/2005,53.4,0.003564397
24/08/2005,53.21,-0.027434529
23/08/2005,54.69,-0.002191782
22/08/2005,54.81,-0.000182432
19/08/2005,54.82,0.030936986
18/08/2005,53.15,-0.005815606
