Date,Close,DD
28/06/2005,44.94,0.00938974
27/06/2005,44.52,-0.003587448
24/06/2005,44.68,-0.016646706
23/06/2005,45.43,-0.025427861
22/06/2005,46.6,-0.002143624
21/06/2005,46.7,-0.00192534
20/06/2005,46.79,-0.003200686
17/06/2005,46.94,-0.004887907
16/06/2005,47.17,0.007234074
15/06/2005,46.83,-0.002133107
14/06/2005,46.93,0.001492697
13/06/2005,46.86,-0.008288221
10/06/2005,47.25,0.019231362
09/06/2005,46.35,0.000863372
08/06/2005,46.31,-0.008600354
07/06/2005,46.71,-0.000214064
06/06/2005,46.72,0.013359389
03/06/2005,46.1,-0.009928853
02/06/2005,46.56,-0.01068158
01/06/2005,47.06,0.01175604
31/05/2005,46.51,-0.007710469
27/05/2005,46.87,-0.003407884
26/05/2005,47.03,0.006613357
25/05/2005,46.72,-0.007675944
24/05/2005,47.08,-0.005718537
23/05/2005,47.35,0.00805772
20/05/2005,46.97,-0.013533723
19/05/2005,47.61,-0.008991174
18/05/2005,48.04,0.020185715
17/05/2005,47.08,0.011536125
16/05/2005,46.54,0.006466934
13/05/2005,46.24,-0.007111333
12/05/2005,46.57,-0.018298383
11/05/2005,47.43,-0.003367715
10/05/2005,47.59,-0.014187595
09/05/2005,48.27,0.004568114
06/05/2005,48.05,-0.003324333
05/05/2005,48.21,-0.0084685
04/05/2005,48.62,0.018265348
03/05/2005,47.74,0.011587615
02/05/2005,47.19,0.001696713
29/04/2005,47.11,0.02471384
28/04/2005,45.96,-0.01103549
27/04/2005,46.47,-0.011978753
26/04/2005,47.03,-0.032426228
25/04/2005,48.58,0.009929746
22/04/2005,48.1,-0.007043742
21/04/2005,48.44,0.024873265
20/04/2005,47.25,-0.018453029
19/04/2005,48.13,0.019511791
18/04/2005,47.2,0.013866889
15/04/2005,46.55,-0.017250987
14/04/2005,47.36,-0.02769568
13/04/2005,48.69,-0.027548836
12/04/2005,50.05,-0.006571765
11/04/2005,50.38,-0.00633164
08/04/2005,50.7,-0.016432295
07/04/2005,51.54,0.011513446
06/04/2005,50.95,0.003539131
05/04/2005,50.77,0.006719393
04/04/2005,50.43,-0.007900495
01/04/2005,50.83,-0.008033746
31/03/2005,51.24,0.002344667
30/03/2005,51.12,0.01636956
29/03/2005,50.29,-0.018714227
28/03/2005,51.24,0.005087078
24/03/2005,50.98,-0.004501427
23/03/2005,51.21,-0.010296351
22/03/2005,51.74,0.006982185
21/03/2005,51.38,-0.014683417
18/03/2005,52.14,0.010798408
17/03/2005,51.58,-0.002903884
16/03/2005,51.73,-0.026703856
15/03/2005,53.13,-0.015130577
14/03/2005,53.94,0.008751569
11/03/2005,53.47,-0.010603764
10/03/2005,54.04,-0.007925578
09/03/2005,54.47,0.012934401
08/03/2005,53.77,-0.003342001
07/03/2005,53.95,-0.011060021
04/03/2005,54.55,0.026940784
03/03/2005,53.1,-0.004322096
02/03/2005,53.33,-0.010260327
01/03/2005,53.88,0.01082302
28/02/2005,53.3,-0.0123067
25/02/2005,53.96,0.007813993
24/02/2005,53.54,0.004305107
23/02/2005,53.31,0.009234024
22/02/2005,52.82,-0.021167785
18/02/2005,53.95,0.030870134
17/02/2005,52.31,-0.002672777
16/02/2005,52.45,0.013435903
15/02/2005,51.75,0.010489607
14/02/2005,51.21,0.002150328
11/02/2005,51.1,0.009240211
10/02/2005,50.63,0.019143157
09/02/2005,49.67,0.002015317
08/02/2005,49.57,0.005461731
07/02/2005,49.3,0.012039733
04/02/2005,48.71,0.012602171
03/02/2005,48.1,-0.001246624
02/02/2005,48.16,0.006457683
01/02/2005,47.85,0.006079046
31/01/2005,47.56,0.006962788
28/01/2005,47.23,0.005520184
27/01/2005,46.97,0.010486987
26/01/2005,46.48,-0.002149152
25/01/2005,46.58,0.0123125
24/01/2005,46.01,-0.01509951
21/01/2005,46.71,-0.011071009
20/01/2005,47.23,-0.003170915
19/01/2005,47.38,-0.002318964
18/01/2005,47.49,0.008883307
14/01/2005,47.07,0.004258043
13/01/2005,46.87,-0.007227923
12/01/2005,47.21,0.000423729
11/01/2005,47.19,-0.005283749
10/01/2005,47.44,0.001476638
07/01/2005,47.37,-0.00084406
06/01/2005,47.41,-0.000210904
05/01/2005,47.42,-0.01340615
04/01/2005,48.06,-0.021816054
03/01/2005,49.12,0.001426098
31/12/2004,49.05,0.002040817
30/12/2004,48.95,-0.002040817
29/12/2004,49.05,-0.002036661
28/12/2004,49.15,0.004486141
