Date,Close,SO
11/08/2005,34.31,0.008194368
10/08/2005,34.03,-0.00381288
09/08/2005,34.16,0.009707386
08/08/2005,33.83,-0.011462286
05/08/2005,34.22,-0.018816592
04/08/2005,34.87,-0.006859129
03/08/2005,35.11,0.002281153
02/08/2005,35.03,0.010907112
01/08/2005,34.65,-0.009764581
29/07/2005,34.99,-0.004277776
28/07/2005,35.14,-0.00595831
27/07/2005,35.35,0.00425231
26/07/2005,35.2,-0.000284051
25/07/2005,35.21,-0.003685334
22/07/2005,35.34,0.013101868
21/07/2005,34.88,-0.014798221
20/07/2005,35.4,0.000847817
19/07/2005,35.37,0.001981039
18/07/2005,35.3,-0.007619622
15/07/2005,35.57,0.003097285
14/07/2005,35.46,-0.004501977
13/07/2005,35.62,-0.001122335
12/07/2005,35.66,-0.007264631
11/07/2005,35.92,0.008667746
08/07/2005,35.61,0.018994193
07/07/2005,34.94,0.009778623
06/07/2005,34.6,-0.016055391
05/07/2005,35.16,0.002277905
01/07/2005,35.08,0.011756408
30/06/2005,34.67,-0.003167749
29/06/2005,34.78,-0.003730812
28/06/2005,34.91,0.007187037
27/06/2005,34.66,0.012776016
24/06/2005,34.22,-0.008728598
23/06/2005,34.52,-0.000868684
22/06/2005,34.55,0.007553784
21/06/2005,34.29,0.006143065
20/06/2005,34.08,-0.005267791
17/06/2005,34.26,0.002337815
16/06/2005,34.18,0.00117096
15/06/2005,34.14,-0.009329514
14/06/2005,34.46,0.002033407
13/06/2005,34.39,-0.001743173
10/06/2005,34.45,-0.001160429
09/06/2005,34.49,-0.001738123
08/06/2005,34.55,0.002608319
07/06/2005,34.46,0.002033407
06/06/2005,34.39,-0.001162453
03/06/2005,34.43,-0.00174115
02/06/2005,34.49,0.002322207
01/06/2005,34.41,0.013458366
31/05/2005,33.95,-0.005580863
27/05/2005,34.14,0.007349732
26/05/2005,33.89,0.003547151
25/05/2005,33.77,-0.003252035
24/05/2005,33.88,-0.006765727
23/05/2005,34.11,-0.006137678
20/05/2005,34.32,-0.000291333
19/05/2005,34.33,-0.000582411
18/05/2005,34.35,-0.003487362
17/05/2005,34.47,0.016379424
16/05/2005,33.91,0.006805767
13/05/2005,33.68,0.012849422
12/05/2005,33.25,0.006941329
11/05/2005,33.02,-0.00060551
10/05/2005,33.04,-0.004830927
09/05/2005,33.2,0
06/05/2005,33.2,0.002714524
05/05/2005,33.11,-0.004219416
04/05/2005,33.25,0.006033201
03/05/2005,33.05,-0.003624287
02/05/2005,33.17,0.006654592
29/04/2005,32.95,0.015907341
28/04/2005,32.43,-0.019240172
27/04/2005,33.06,0.012479237
26/04/2005,32.65,-0.019412196
25/04/2005,33.29,0.00874949
22/04/2005,33,0.003947174
21/04/2005,32.87,0.008861785
20/04/2005,32.58,0.002458514
19/04/2005,32.5,0.022402928
18/04/2005,31.78,-0.00533502
15/04/2005,31.95,-0.008415197
14/04/2005,32.22,-0.008652712
13/04/2005,32.5,-0.008578484
12/04/2005,32.78,0.014441793
11/04/2005,32.31,0.011204599
08/04/2005,31.95,-0.005929179
07/04/2005,32.14,0.004053006
06/04/2005,32.01,-0.00467509
05/04/2005,32.16,0.006864302
04/04/2005,31.94,-0.000313038
01/04/2005,31.95,0.00376294
31/03/2005,31.83,0.006303204
30/03/2005,31.63,0.012086661
29/03/2005,31.25,-0.006061591
28/03/2005,31.44,-0.008551121
24/03/2005,31.71,0.011417821
23/03/2005,31.35,-0.004773279
22/03/2005,31.5,-0.012618464
21/03/2005,31.9,-0.005938445
18/03/2005,32.09,-0.002489886
17/03/2005,32.17,0.012511893
16/03/2005,31.77,-0.009710335
15/03/2005,32.08,-0.010542733
14/03/2005,32.42,0.019309227
11/03/2005,31.8,-0.009078165
10/03/2005,32.09,0.011597058
09/03/2005,31.72,-0.022444832
08/03/2005,32.44,-0.003385139
07/03/2005,32.55,-0.00153492
04/03/2005,32.6,0.014210928
03/03/2005,32.14,-0.007748373
02/03/2005,32.39,0
01/03/2005,32.39,0.008370844
28/02/2005,32.12,-0.010837697
25/02/2005,32.47,0.018337732
24/02/2005,31.88,0.001255493
23/02/2005,31.84,0.00756624
22/02/2005,31.6,-0.027159466
18/02/2005,32.47,-0.015281471
17/02/2005,32.97,-0.00544466
16/02/2005,33.15,-0.004814936
15/02/2005,33.31,-0.002398802
14/02/2005,33.39,0.006309169
11/02/2005,33.18,-0.010194991
10/02/2005,33.52,0.004185357
09/02/2005,33.38,-0.00716421
08/02/2005,33.62,-0.002079929
07/02/2005,33.69,-0.002075612
04/02/2005,33.76,0.008029783
03/02/2005,33.49,-0.013641967
02/02/2005,33.95,-0.003821848
01/02/2005,34.08,0.009137868
31/01/2005,33.77,0.008027396
28/01/2005,33.5,0.000597193
27/01/2005,33.48,0.00869962
26/01/2005,33.19,0.014567784
25/01/2005,32.71,-0.018777051
24/01/2005,33.33,0.013289232
21/01/2005,32.89,-0.000303998
20/01/2005,32.9,-0.002428659
19/01/2005,32.98,-0.006648559
18/01/2005,33.2,0.007862151
14/01/2005,32.94,0.003954378
13/01/2005,32.81,-0.003043216
12/01/2005,32.91,-0.002730999
11/01/2005,33,-0.001211387
10/01/2005,33.04,0.007900375
07/01/2005,32.78,0.004586463
06/01/2005,32.63,-0.006415174
05/01/2005,32.84,-0.006071664
04/01/2005,33.04,-0.000605144
03/01/2005,33.06,-0.013818183
31/12/2004,33.52,-0.011862535
30/12/2004,33.92,0.009478744
29/12/2004,33.6,-0.001189768
28/12/2004,33.64,0.006561312
27/12/2004,33.42,-0.010418311
23/12/2004,33.77,-0.001183782
22/12/2004,33.81,0.004743561
