Date,Close,F
15/11/2006,9,0.022472856
14/11/2006,8.8,-0.007923075
13/11/2006,8.87,0.033240883
10/11/2006,8.58,0.002333723
09/11/2006,8.56,-0.008144315
08/11/2006,8.63,-0.011520865
07/11/2006,8.73,0.008050647
06/11/2006,8.66,0.032866808
03/11/2006,8.38,-0.021252276
02/11/2006,8.56,0.004683849
01/11/2006,8.52,0.028573372
31/10/2006,8.28,0.003629768
30/10/2006,8.25,-0.004836769
27/10/2006,8.29,-0.022660481
26/10/2006,8.48,-0.001178551
25/10/2006,8.49,0.022633486
24/10/2006,8.3,0.049392755
23/10/2006,7.9,-0.013828002
20/10/2006,8.01,-0.002493767
19/10/2006,8.03,-0.002487563
18/10/2006,8.05,0.002487563
17/10/2006,8.03,-0.006207345
16/10/2006,8.08,-0.011077036
13/10/2006,8.17,-0.007317106
12/10/2006,8.23,-0.004848494
11/10/2006,8.27,0.009720611
10/10/2006,8.19,0
09/10/2006,8.19,-0.014545711
06/10/2006,8.31,-0.002403847
05/10/2006,8.33,-0.027236734
04/10/2006,8.56,0.039314175
03/10/2006,8.23,0.012225091
02/10/2006,8.13,0.004932192
29/09/2006,8.09,-0.008615438
28/09/2006,8.16,0.019802627
27/09/2006,8,-0.049979932
26/09/2006,8.41,0.031403547
25/09/2006,8.15,0.018576386
22/09/2006,8,0.030459207
21/09/2006,7.76,0.001289491
20/09/2006,7.75,0.01168086
19/09/2006,7.66,-0.020672571
18/09/2006,7.82,-0.025253867
15/09/2006,8.02,-0.125236486
14/09/2006,9.09,-0.010941028
13/09/2006,9.19,0.014246816
12/09/2006,9.06,0.039397329
11/09/2006,8.71,-0.006865016
08/09/2006,8.77,0.021902893
07/09/2006,8.58,0.003502631
06/09/2006,8.55,0.018890762
05/09/2006,8.39,0.014406011
01/09/2006,8.27,-0.012019375
31/08/2006,8.37,0.012019375
30/08/2006,8.27,0.001209922
29/08/2006,8.26,0.025752496
28/08/2006,8.05,0.00623055
25/08/2006,8,0.030459207
24/08/2006,7.76,0
23/08/2006,7.76,0.044803277
22/08/2006,7.42,-0.006715942
21/08/2006,7.47,-0.068546543
18/08/2006,8,-0.021027367
17/08/2006,8.17,-0.010955679
16/08/2006,8.26,0.042033382
15/08/2006,7.92,0.011428696
14/08/2006,7.83,0.060544804
11/08/2006,7.37,-0.002710029
10/08/2006,7.39,0.008152219
09/08/2006,7.33,-0.00544219
08/08/2006,7.37,0.027512052
07/08/2006,7.17,0.00559442
04/08/2006,7.13,0.038603793
03/08/2006,6.86,-0.014472033
02/08/2006,6.96,0.056144729
01/08/2006,6.58,-0.013585115
31/07/2006,6.67,-0.032451225
28/07/2006,6.89,0.008746411
27/07/2006,6.83,0.011782169
26/07/2006,6.75,0.023989156
25/07/2006,6.59,0.035524971
24/07/2006,6.36,0.012658397
21/07/2006,6.28,0.014434894
20/07/2006,6.19,-0.022365149
19/07/2006,6.33,-0.017228304
18/07/2006,6.44,0.004669269
17/07/2006,6.41,0.004691174
14/07/2006,6.38,-0.027822506
13/07/2006,6.56,-0.047628049
12/07/2006,6.88,0.01169604
11/07/2006,6.8,-0.014598799
10/07/2006,6.9,0.024946268
07/07/2006,6.73,0.021021795
06/07/2006,6.59,-0.003030305
05/07/2006,6.61,-0.015015297
03/07/2006,6.71,-0.032260862
30/06/2006,6.93,0.079561823
29/06/2006,6.4,0.006269613
28/06/2006,6.36,-0.027908788
27/06/2006,6.54,-0.001527884
26/06/2006,6.55,0.004590674
23/06/2006,6.52,0.013899838
22/06/2006,6.43,0
21/06/2006,6.43,0.004676548
20/06/2006,6.4,-0.051761935
19/06/2006,6.74,0.007446051
16/06/2006,6.69,-0.013363228
15/06/2006,6.78,0.025393448
14/06/2006,6.61,-0.010534334
13/06/2006,6.68,-0.013383099
12/06/2006,6.77,0.001478197
09/06/2006,6.76,0.014903406
08/06/2006,6.66,-0.019331457
07/06/2006,6.79,-0.01607047
06/06/2006,6.9,-0.007220248
05/06/2006,6.95,-0.021353124
02/06/2006,7.1,-0.018144252
01/06/2006,7.23,0.009729055
31/05/2006,7.16,0.025461064
30/05/2006,6.98,-0.046194357
26/05/2006,7.31,0.022130917
25/05/2006,7.15,0.031252544
24/05/2006,6.93,0.011611161
23/05/2006,6.85,-0.007272759
22/05/2006,6.9,-0.018665294
19/05/2006,7.03,0.018665294
18/05/2006,6.9,-0.001448226
17/05/2006,6.91,-0.01579358
16/05/2006,7.02,-0.015548016
15/05/2006,7.13,0.002808991
12/05/2006,7.11,-0.001405482
11/05/2006,7.12,0.008462674
10/05/2006,7.06,-0.015460603
09/05/2006,7.17,0.02829043
08/05/2006,6.97,0.005755412
05/05/2006,6.93,0.01453514
04/05/2006,6.83,0.007347572
03/05/2006,6.78,-0.018992536
02/05/2006,6.91,0
01/05/2006,6.91,-0.005772022
28/04/2006,6.95,-0.035339366
27/04/2006,7.2,-0.006920443
26/04/2006,7.25,0.037952552
25/04/2006,6.98,0.002869442
24/04/2006,6.96,-0.050430854
21/04/2006,7.32,-0.082561601
20/04/2006,7.95,0.045023681
19/04/2006,7.6,0.017253248
18/04/2006,7.47,0.018919483
17/04/2006,7.33,-0.002724797
13/04/2006,7.35,0.009569451
12/04/2006,7.28,0.015225208
11/04/2006,7.17,-0.047660483
10/04/2006,7.52,-0.010582109
07/04/2006,7.6,-0.006557401
06/04/2006,7.65,0.01051258
05/04/2006,7.57,-0.01442648
04/04/2006,7.68,-0.011650617
03/04/2006,7.77,-0.024158835
31/03/2006,7.96,-0.024815169
30/03/2006,8.16,-0.012180419
29/03/2006,8.26,0.015863664
28/03/2006,8.13,0.008647367
27/03/2006,8.06,-0.003715175
24/03/2006,8.09,0.001236859
23/03/2006,8.08,-0.008626055
22/03/2006,8.15,0.012345836
21/03/2006,8.05,0.015019056
20/03/2006,7.93,0.015248072
17/03/2006,7.81,-0.015248072
16/03/2006,7.93,0.010139504
15/03/2006,7.85,0.015404669
14/03/2006,7.73,-0.016677744
13/03/2006,7.86,0.002547772
10/03/2006,7.84,0.011545991
09/03/2006,7.75,0.02614528
08/03/2006,7.55,-0.013158085
07/03/2006,7.65,-0.005215136
06/03/2006,7.69,0.015727716
03/03/2006,7.57,-0.011818916
02/03/2006,7.66,-0.037159945
