Date,Close,L
10/08/2011,34.54,-0.054097697
09/08/2011,36.46,0.030634531
08/08/2011,35.36,-0.060890756
05/08/2011,37.58,0.00186443
04/08/2011,37.51,-0.021625315
03/08/2011,38.33,0.002612332
02/08/2011,38.23,-0.022757641
01/08/2011,39.11,-0.019245973
29/07/2011,39.87,-0.004005012
28/07/2011,40.03,-0.00224579
27/07/2011,40.12,-0.007202316
26/07/2011,40.41,-0.005183277
25/07/2011,40.62,-0.006869507
22/07/2011,40.9,-0.003904349
21/07/2011,41.06,0.014473453
20/07/2011,40.47,-0.003453383
19/07/2011,40.61,0.012388662
18/07/2011,40.11,-0.016320837
15/07/2011,40.77,-0.000980633
14/07/2011,40.81,-0.011450972
13/07/2011,41.28,-0.000968523
12/07/2011,41.32,0.001453137
11/07/2011,41.26,-0.026311013
08/07/2011,42.36,-0.00635371
07/07/2011,42.63,0.011323546
06/07/2011,42.15,0.004994659
05/07/2011,41.94,-0.004282662
01/07/2011,42.12,0.000712504
30/06/2011,42.09,-0.001187226
29/06/2011,42.14,0.009777114
28/06/2011,41.73,0.012539349
27/06/2011,41.21,0.010243992
24/06/2011,40.79,-0.013635468
23/06/2011,41.35,-0.001449976
22/06/2011,41.41,0.000241517
21/06/2011,41.4,0.013618888
20/06/2011,40.84,0.006879634
17/06/2011,40.56,0.007920833
16/06/2011,40.24,-0.001489943
15/06/2011,40.3,-0.017952038
14/06/2011,41.03,0.007829744
13/06/2011,40.71,0.00024567
10/06/2011,40.7,-0.011481743
09/06/2011,41.17,0.008537678
08/06/2011,40.82,-0.001468789
07/06/2011,40.88,-0.001466634
06/06/2011,40.94,-0.008997021
03/06/2011,41.31,-0.005070637
02/06/2011,41.52,0.006524126
01/06/2011,41.25,-0.018494583
31/05/2011,42.02,0.004292876
27/05/2011,41.84,-0.003578675
26/05/2011,41.99,0.007170203
25/05/2011,41.69,0.002882539
24/05/2011,41.57,0
23/05/2011,41.57,-0.004081148
20/05/2011,41.74,-0.008112667
19/05/2011,42.08,0.003332543
18/05/2011,41.94,0.007659205
17/05/2011,41.62,0.002405582
16/05/2011,41.52,-0.00312613
13/05/2011,41.65,-0.006700193
12/05/2011,41.93,0.008863395
11/05/2011,41.56,-0.014570902
10/05/2011,42.17,0.008573522
09/05/2011,41.81,0.002154915
06/05/2011,41.72,0.003361348
05/05/2011,41.58,-0.01622173
04/05/2011,42.26,-0.005192365
03/05/2011,42.48,-0.01286417
02/05/2011,43.03,-0.028183788
29/04/2011,44.26,0.004528993
28/04/2011,44.06,0.01763068
27/04/2011,43.29,0.00161831
26/04/2011,43.22,0.00208454
25/04/2011,43.13,-0.003471824
21/04/2011,43.28,0.010451843
20/04/2011,42.83,0.016716104
19/04/2011,42.12,0.000237445
18/04/2011,42.11,-0.008748135
15/04/2011,42.48,0.006376217
14/04/2011,42.21,-0.004019393
13/04/2011,42.38,-0.00306279
12/04/2011,42.51,-0.011925781
11/04/2011,43.02,0.000465008
08/04/2011,43,-0.00787588
07/04/2011,43.34,-0.007585371
06/04/2011,43.67,0.006201926
05/04/2011,43.4,-0.006201926
