Date,Close,DOV
13/01/2012,60.22,0.004994184
12/01/2012,59.92,0.014625797
11/01/2012,59.05,-0.002199104
10/01/2012,59.18,0.029494593
09/01/2012,57.46,-0.003474639
06/01/2012,57.66,-0.017535261
05/01/2012,58.68,0.008729195
04/01/2012,58.17,-0.015691947
03/01/2012,59.09,0.017756997
30/12/2011,58.05,-0.006353589
29/12/2011,58.42,0.013962133
28/12/2011,57.61,-0.022484428
27/12/2011,58.92,0.003059666
23/12/2011,58.74,0.019771984
22/12/2011,57.59,0.00191188
21/12/2011,57.48,-0.007280323
20/12/2011,57.9,0.048298057
19/12/2011,55.17,-0.017429244
16/12/2011,56.14,0.003211421
15/12/2011,55.96,0.015487434
14/12/2011,55.1,-0.007773699
13/12/2011,55.53,-0.005387944
12/12/2011,55.83,-0.024242539
09/12/2011,57.2,0.026035297
08/12/2011,55.73,-0.043710337
07/12/2011,58.22,0.011053653
06/12/2011,57.58,0.001216439
05/12/2011,57.51,0.028752311
02/12/2011,55.88,0.020246534
01/12/2011,54.76,-0.003827581
30/11/2011,54.97,0.036495668
29/11/2011,53,0.018855906
28/11/2011,52.01,0.034226476
25/11/2011,50.26,-0.002781643
23/11/2011,50.4,-0.028749413
22/11/2011,51.87,0.011829867
21/11/2011,51.26,-0.035454513
18/11/2011,53.11,-0.006007152
17/11/2011,53.43,-0.032590567
16/11/2011,55.2,-0.021151532
15/11/2011,56.38,0.007477336
14/11/2011,55.96,-0.005524384
11/11/2011,56.27,0.04395913
10/11/2011,53.85,0.00074308
09/11/2011,53.81,-0.045412816
08/11/2011,56.31,0.003914596
07/11/2011,56.09,-0.014162035
04/11/2011,56.89,-0.004034739
03/11/2011,57.12,0.037821133
02/11/2011,55,0.015575212
01/11/2011,54.15,-0.025165442
31/10/2011,55.53,-0.055005108
28/10/2011,58.67,0.012347953
27/10/2011,57.95,0.040498492
26/10/2011,55.65,0.017949897
25/10/2011,54.66,0.016974577
24/10/2011,53.74,0.019352412
21/10/2011,52.71,-0.015810606
20/10/2011,53.55,0.014104606
19/10/2011,52.8,-0.02930134
18/10/2011,54.37,0.048615451
17/10/2011,51.79,-0.038633852
14/10/2011,53.83,0.015539019
13/10/2011,53,-0.020542272
12/10/2011,54.1,0.024133619
11/10/2011,52.81,0.005887397
10/10/2011,52.5,0.047990484
07/10/2011,50.04,-0.011919092
06/10/2011,50.64,0.03292148
05/10/2011,49,0.031511728
04/10/2011,47.48,0.061678252
03/10/2011,44.64,-0.042970223
30/09/2011,46.6,-0.024378526
29/09/2011,47.75,0.018601255
28/09/2011,46.87,-0.040147562
27/09/2011,48.79,0.007612422
26/09/2011,48.42,0.045203049
23/09/2011,46.28,0.004547923
22/09/2011,46.07,-0.06735634
21/09/2011,49.28,-0.030378035
20/09/2011,50.8,-0.019879821
19/09/2011,51.82,-0.009984722
16/09/2011,52.34,-0.01083146
15/09/2011,52.91,0.014276439
14/09/2011,52.16,0.018576386
13/09/2011,51.2,0.019724505
12/09/2011,50.2,-0.028862316
09/09/2011,51.67,-0.025225874
08/09/2011,52.99,-0.017583693
07/09/2011,53.93,0.001113173
06/09/2011,53.87,-0.021123019
02/09/2011,55.02,-0.027605266
01/09/2011,56.56,-0.016830692
31/08/2011,57.52,0.004879759
30/08/2011,57.24,0.016913722
29/08/2011,56.28,0.034158919
26/08/2011,54.39,0.028911834
25/08/2011,52.84,-0.033863701
24/08/2011,54.66,0.021450527
23/08/2011,53.5,0.046680242
