Date,Close,FITB
28/11/2011,11.36,0.034934139
25/11/2011,10.97,0.002738477
23/11/2011,10.94,-0.036791947
22/11/2011,11.35,-0.014866911
21/11/2011,11.52,-0.031613055
18/11/2011,11.89,0.00675108
17/11/2011,11.81,-0.014291962
16/11/2011,11.98,0.001670844
15/11/2011,11.96,0.00755354
14/11/2011,11.87,-0.025781054
11/11/2011,12.18,0.014055626
10/11/2011,12.01,0.023589973
09/11/2011,11.73,-0.062778661
08/11/2011,12.49,0.019402387
07/11/2011,12.25,0.019786301
04/11/2011,12.01,0
03/11/2011,12.01,0.015100958
02/11/2011,11.83,0.037902901
01/11/2011,11.39,-0.053003859
31/10/2011,12.01,-0.024672304
28/10/2011,12.31,-0.014516384
27/10/2011,12.49,0.040021674
26/10/2011,12,0.026172874
25/10/2011,11.69,-0.027005861
24/10/2011,12.01,0.029575455
21/10/2011,11.66,0.002576214
20/10/2011,11.63,0.087089548
19/10/2011,10.66,-0.050307818
18/10/2011,11.21,0.054067221
17/10/2011,10.62,-0.065597282
14/10/2011,11.34,0.00974753
13/10/2011,11.23,-0.024627454
12/10/2011,11.51,0.053536423
11/10/2011,10.91,-0.005484474
10/10/2011,10.97,0.036198848
07/10/2011,10.58,-0.048880177
06/10/2011,11.11,0.044165411
05/10/2011,10.63,-0.000940292
04/10/2011,10.64,0.082238098
03/10/2011,9.8,-0.030153038
30/09/2011,10.1,-0.035023035
29/09/2011,10.46,0.036013624
28/09/2011,10.09,-0.035057144
27/09/2011,10.45,-0.006676229
26/09/2011,10.52,0.066822496
23/09/2011,9.84,0.024692613
22/09/2011,9.6,-0.017553368
21/09/2011,9.77,-0.060564412
20/09/2011,10.38,-0.008633147
19/09/2011,10.47,-0.01892204
16/09/2011,10.67,-0.002807676
15/09/2011,10.7,0.017916557
14/09/2011,10.51,0.015340665
13/09/2011,10.35,0.041426042
12/09/2011,9.93,0.012158204
09/09/2011,9.81,-0.03111139
08/09/2011,10.12,-0.032088315
07/09/2011,10.45,0.069334693
06/09/2011,9.75,0.01342302
02/09/2011,9.62,-0.056580746
01/09/2011,10.18,-0.042314005
31/08/2011,10.62,0.015180557
30/08/2011,10.46,-0.004768726
29/08/2011,10.51,0.04475455
26/08/2011,10.05,0.031331517
25/08/2011,9.74,-0.036294306
24/08/2011,10.1,0.034243023
23/08/2011,9.76,0.053668849
22/08/2011,9.25,-0.003237995
19/08/2011,9.28,-0.033901552
18/08/2011,9.6,-0.065514607
17/08/2011,10.25,0.015732871
16/08/2011,10.09,-0.005928871
15/08/2011,10.15,0.060932551
12/08/2011,9.55,-0.031945014
11/08/2011,9.86,0.04565108
10/08/2011,9.42,-0.113290771
09/08/2011,10.55,0.05554277
08/08/2011,9.98,-0.120673532
05/08/2011,11.26,-0.008841791
04/08/2011,11.36,-0.06558331
03/08/2011,12.13,0.01830334
02/08/2011,11.91,-0.049948982
01/08/2011,12.52,-0.01032985
29/07/2011,12.65,-0.001579779
28/07/2011,12.67,-0.002364999
27/07/2011,12.7,-0.017174505
26/07/2011,12.92,-0.006172859
25/07/2011,13,0.014723242
22/07/2011,12.81,0.003910838
21/07/2011,12.76,0.034279961
20/07/2011,12.33,0.010599365
19/07/2011,12.2,0.017362983
18/07/2011,11.99,-0.004991691
15/07/2011,12.05,0.002492731
14/07/2011,12.02,-0.012401978
13/07/2011,12.17,0.012401978
12/07/2011,12.02,-0.012401978
11/07/2011,12.17,-0.031543254
08/07/2011,12.56,-0.02671015
07/07/2011,12.9,0.019570096
06/07/2011,12.65,-0.02034499
05/07/2011,12.91,-0.004636793
01/07/2011,12.97,0.017107727
30/06/2011,12.75,0.003142186
29/06/2011,12.71,0.023081009
28/06/2011,12.42,0.011336154
27/06/2011,12.28,0.00817666
24/06/2011,12.18,0.007416598
23/06/2011,12.09,-0.026123935
22/06/2011,12.41,-0.020734395
21/06/2011,12.67,0.009516329
20/06/2011,12.55,0
17/06/2011,12.55,0.021748743
16/06/2011,12.28,-0.003252035
15/06/2011,12.32,-0.012101802
14/06/2011,12.47,0.015353837
13/06/2011,12.28,0.002445986
10/06/2011,12.25,-0.00650938
09/06/2011,12.33,0.003249394
08/06/2011,12.29,-0.000813339
07/06/2011,12.3,0.013093477
06/06/2011,12.14,-0.02038391
03/06/2011,12.39,0.001615509
02/06/2011,12.37,0.002428168
01/06/2011,12.34,-0.056708105
31/05/2011,13.06,0.010003931
27/05/2011,12.93,0.01558878
26/05/2011,12.73,0.009471263
25/05/2011,12.61,0.010362787
24/05/2011,12.48,0.007237667
23/05/2011,12.39,-0.026285862
20/05/2011,12.72,-0.0217738
19/05/2011,13,0.007722046
18/05/2011,12.9,0.008563696
17/05/2011,12.79,0.025337856
16/05/2011,12.47,-0.001602564
13/05/2011,12.49,-0.017460761
12/05/2011,12.71,-0.008617366
11/05/2011,12.82,-0.01240326
10/05/2011,12.98,0.01396454
09/05/2011,12.8,-0.01473466
06/05/2011,12.99,0.013173379
05/05/2011,12.82,-0.025415307
04/05/2011,13.15,-0.018832948
03/05/2011,13.4,0.026466573
02/05/2011,13.05,-0.016717715
29/04/2011,13.27,-0.011985162
28/04/2011,13.43,0.008224345
27/04/2011,13.32,0.021245109
26/04/2011,13.04,0.009245058
25/04/2011,12.92,-0.018405428
21/04/2011,13.16,-0.012084739
20/04/2011,13.32,-0.002998503
19/04/2011,13.36,-0.012644274
18/04/2011,13.53,-0.01975915
15/04/2011,13.8,0.010929071
14/04/2011,13.65,0.003669729
13/04/2011,13.6,-0.004402061
12/04/2011,13.66,-0.005111366
11/04/2011,13.73,0.002187387
08/04/2011,13.7,-0.012332401
07/04/2011,13.87,-0.014316637
06/04/2011,14.07,0.012875714
05/04/2011,13.89,-0.005743017
04/04/2011,13.97,-0.001430615
01/04/2011,13.99,0.007173632
31/03/2011,13.89,0.005776189
30/03/2011,13.81,-0.00865182
29/03/2011,13.93,0.010826522
28/03/2011,13.78,-0.005066967
25/03/2011,13.85,0.005066967
24/03/2011,13.78,-0.001450327
23/03/2011,13.8,-0.00361664
22/03/2011,13.85,-0.012199649
21/03/2011,14.02,-0.000713013
18/03/2011,14.03,0.015804927
17/03/2011,13.81,0.03013826
16/03/2011,13.4,-0.012606767
15/03/2011,13.57,-0.024027366
14/03/2011,13.9,0.000719683
11/03/2011,13.89,0.014503517
10/03/2011,13.69,-0.013062595
09/03/2011,13.87,0.012332401
08/03/2011,13.7,0.00732604
07/03/2011,13.6,-0.021819047
04/03/2011,13.9,-0.013576486
03/03/2011,14.09,0.015737092
02/03/2011,13.87,-0.005751274
01/03/2011,13.95,-0.04554202
28/02/2011,14.6,0
25/02/2011,14.6,0.020761991
24/02/2011,14.3,-0.010434877
23/02/2011,14.45,-0.003454235
22/02/2011,14.5,-0.033234663
18/02/2011,14.99,-0.006648961
17/02/2011,15.09,-0.019035691
16/02/2011,15.38,-0.004541039
15/02/2011,15.45,-0.003875974
14/02/2011,15.51,0.003228934
11/02/2011,15.46,0.018277271
10/02/2011,15.18,0.007272759
09/02/2011,15.07,-0.021011935
08/02/2011,15.39,0.00195122
07/02/2011,15.36,-0.00195122
04/02/2011,15.39,-0.000649562
