Date,Close,XYL
15/03/2012,28.73,0.012962171
14/03/2012,28.36,-0.002113421
13/03/2012,28.42,0.031816804
12/03/2012,27.53,0.010222798
09/03/2012,27.25,0.023390708
08/03/2012,26.62,0.015521796
07/03/2012,26.21,0.013830416
06/03/2012,25.85,-0.014211877
05/03/2012,26.22,-0.014388737
02/03/2012,26.6,-0.003377748
01/03/2012,26.69,0.026961952
29/02/2012,25.98,-0.032566301
28/02/2012,26.84,-0.019188781
27/02/2012,27.36,0.003661666
24/02/2012,27.26,-0.018895911
23/02/2012,27.78,0.009040018
22/02/2012,27.53,-0.010478867
21/02/2012,27.82,0.008301798
17/02/2012,27.59,0.016076342
16/02/2012,27.15,0.00554018
15/02/2012,27,0.002967361
14/02/2012,26.92,-0.004077856
13/02/2012,27.03,-0.001478743
10/02/2012,27.07,-0.002214023
09/02/2012,27.13,-0.009537857
08/02/2012,27.39,0.006225986
07/02/2012,27.22,0.016296657
06/02/2012,26.78,-0.00929202
03/02/2012,27.03,0.01415821
02/02/2012,26.65,-0.006358727
01/02/2012,26.82,0.034518883
31/01/2012,25.91,-0.000385877
30/01/2012,25.92,0.004252858
27/01/2012,25.81,-0.005024165
26/01/2012,25.94,-0.025125037
25/01/2012,26.6,0.017444508
24/01/2012,26.14,0.015032081
23/01/2012,25.75,-0.023413083
20/01/2012,26.36,-0.009815103
19/01/2012,26.62,-0.013803614
18/01/2012,26.99,0.051702887
17/01/2012,25.63,0
13/01/2012,25.63,-0.002727452
12/01/2012,25.7,-0.01391058
11/01/2012,26.06,0.018590776
10/01/2012,25.58,0.012192875
09/01/2012,25.27,0.003965112
06/01/2012,25.17,-0.016939542
05/01/2012,25.6,-0.014349674
04/01/2012,25.97,0.032481823
03/01/2012,25.14,-0.021641608
30/12/2011,25.69,-0.010069798
29/12/2011,25.95,0.01514298
28/12/2011,25.56,0.020154802
27/12/2011,25.05,0.005604498
23/12/2011,24.91,0.00321673
22/12/2011,24.83,-0.003618094
21/12/2011,24.92,0.024782906
20/12/2011,24.31,0.002471171
19/12/2011,24.25,-0.017171313
16/12/2011,24.67,0.030873001
15/12/2011,23.92,0.021551648
14/12/2011,23.41,-0.018620936
13/12/2011,23.85,-0.002930712
12/12/2011,23.92,-0.01781692
09/12/2011,24.35,0.019490561
08/12/2011,23.88,-0.028484898
07/12/2011,24.57,-0.010526413
06/12/2011,24.83,-0.010416761
05/12/2011,25.09,0.034052743
02/12/2011,24.25,-0.000824402
01/12/2011,24.27,0.015362561
30/11/2011,23.9,0.026713482
29/11/2011,23.27,-0.009409821
28/11/2011,23.49,0.021080583
25/11/2011,23,-0.029136594
23/11/2011,23.68,0.002113719
22/11/2011,23.63,0.00042328
21/11/2011,23.62,-0.013039091
18/11/2011,23.93,0.003348685
17/11/2011,23.85,-0.011257155
16/11/2011,24.12,0.005404295
15/11/2011,23.99,0.002504175
14/11/2011,23.93,0.005867578
11/11/2011,23.79,0.005902209
10/11/2011,23.65,-0.010096846
09/11/2011,23.89,-0.043012979
08/11/2011,24.94,0.013726497
07/11/2011,24.6,-0.023700647
04/11/2011,25.19,-0.04653806
03/11/2011,26.39,-0.008677662
02/11/2011,26.62,-0.025590123
01/11/2011,27.31,0.021092364
31/10/2011,26.74,0.035011186
28/10/2011,25.82,0.007776089
27/10/2011,25.62,0.023697791
26/10/2011,25.02,-0.028759122
25/10/2011,25.75,-0.000776398
24/10/2011,25.77,0.008965174
21/10/2011,25.54,0.031420362
20/10/2011,24.75,0
19/10/2011,24.75,-0.019604549
18/10/2011,25.24,0.003174606
17/10/2011,25.16,-0.007523298
14/10/2011,25.35,0.044362113
13/10/2011,24.25,
