Date,Close,TYC
22/03/2011,44.42,-0.011415905
21/03/2011,44.93,0.023191403
18/03/2011,43.9,-0.000910747
17/03/2011,43.94,0.015365513
16/03/2011,43.27,-0.019000228
15/03/2011,44.1,-0.009254101
14/03/2011,44.51,-0.011615051
11/03/2011,45.03,0.016795826
10/03/2011,44.28,-0.018127385
09/03/2011,45.09,-0.003321159
08/03/2011,45.24,0.003321159
07/03/2011,45.09,-0.003763148
04/03/2011,45.26,-0.020556158
03/03/2011,46.2,0.03010224
02/03/2011,44.83,0.005816571
01/03/2011,44.57,-0.017128658
28/02/2011,45.34,0.013321689
25/02/2011,44.74,0.000894454
24/02/2011,44.7,0.001119194
23/02/2011,44.65,-0.033259315
22/02/2011,46.16,-0.025030722
18/02/2011,47.33,0.011474839
17/02/2011,46.79,0.019204388
16/02/2011,45.9,0.013158085
15/02/2011,45.3,0.001546449
14/02/2011,45.23,-0.023165372
11/02/2011,46.29,-0.000431965
10/02/2011,46.31,0.000215959
09/02/2011,46.3,-0.010100011
08/02/2011,46.77,0.007942513
