Date,Close,DO
01/06/2011,71.93,-0.023902237
31/05/2011,73.67,0.011193128
27/05/2011,72.85,-0.000686106
26/05/2011,72.9,-0.004243385
25/05/2011,73.21,0.014307577
24/05/2011,72.17,0.0166263
23/05/2011,70.98,-0.012182465
20/05/2011,71.85,-0.002918493
19/05/2011,72.06,-0.009529801
18/05/2011,72.75,0.029290797
17/05/2011,70.65,0.004681856
16/05/2011,70.32,-0.00595493
13/05/2011,70.74,0.00595493
12/05/2011,70.32,0.005132603
11/05/2011,69.96,-0.023729927
10/05/2011,71.64,0.004196397
09/05/2011,71.34,0.022253062
06/05/2011,69.77,-0.001575367
05/05/2011,69.88,-0.011948933
04/05/2011,70.72,-0.005640173
03/05/2011,71.12,-0.036312404
02/05/2011,73.75,-0.028340354
29/04/2011,75.87,0.005418635
28/04/2011,75.46,-0.010808066
27/04/2011,76.28,-0.019987687
26/04/2011,77.82,0.003346637
25/04/2011,77.56,-0.005656996
21/04/2011,78,0.020726131
20/04/2011,76.4,0.014369768
19/04/2011,75.31,0.006795043
18/04/2011,74.8,-0.002536886
15/04/2011,74.99,-0.00929128
14/04/2011,75.69,-0.003560835
13/04/2011,75.96,-0.001578532
12/04/2011,76.08,-0.034492859
11/04/2011,78.75,0.00330705
08/04/2011,78.49,-0.001273237
07/04/2011,78.59,-0.004190216
06/04/2011,78.92,-0.015340424
05/04/2011,80.14,0.008395513
04/04/2011,79.47,0.018286224
01/04/2011,78.03,0.004238111
31/03/2011,77.7,-0.012660825
30/03/2011,78.69,0.001017165
29/03/2011,78.61,0.01164366
28/03/2011,77.7,-0.011007407
25/03/2011,78.56,0.002931993
24/03/2011,78.33,0.010652735
23/03/2011,77.5,-0.008224153
22/03/2011,78.14,-0.001917791
21/03/2011,78.29,0.032189671
18/03/2011,75.81,0.018908686
17/03/2011,74.39,0.046641647
16/03/2011,71,-0.044084273
15/03/2011,74.2,-0.002154013
14/03/2011,74.36,0.003367687
11/03/2011,74.11,0.023758627
10/03/2011,72.37,-0.047756579
09/03/2011,75.91,0.000527079
08/03/2011,75.87,-0.01257384
07/03/2011,76.83,-0.024429088
04/03/2011,78.73,0.003690276
03/03/2011,78.44,-0.006607394
02/03/2011,78.96,0.025135973
01/03/2011,77,-0.015847784
28/02/2011,78.23,0.008085779
25/02/2011,77.6,0.0166324
24/02/2011,76.32,0.003807028
23/02/2011,76.03,0.019792105
22/02/2011,74.54,-0.014384904
18/02/2011,75.62,-0.004617727
17/02/2011,75.97,0.028573372
16/02/2011,73.83,0.019835135
15/02/2011,72.38,-0.00976154
14/02/2011,73.09,0.044482858
11/02/2011,69.91,-0.004851608
10/02/2011,70.25,0.012317543
09/02/2011,69.39,-0.034420224
08/02/2011,71.82,-0.00416841
07/02/2011,72.12,0.006259148
04/02/2011,71.67,-0.017016389
03/02/2011,72.9,0.007573186
02/02/2011,72.35,0.015320634
01/02/2011,71.25,-0.006435389
31/01/2011,71.71,0.021424357
28/01/2011,70.19,-0.025460268
27/01/2011,72,-0.026858288
26/01/2011,73.96,0.02242369
25/01/2011,72.32,-0.000829302
24/01/2011,72.38,-0.013585115
21/01/2011,73.37,-0.015149755
20/01/2011,74.49,0.007410935
19/01/2011,73.94,-0.014367484
18/01/2011,75.01,0.001467547
14/01/2011,74.9,0.037545215
13/01/2011,72.14,0.006815521
12/01/2011,71.65,0.019021355
11/01/2011,70.3,0.013894086
10/01/2011,69.33,-0.017727412
07/01/2011,70.57,0.047593488
06/01/2011,67.29,-0.012552775
05/01/2011,68.14,0.051185164
04/01/2011,64.74,-0.014567458
03/01/2011,65.69,-0.017803729
31/12/2010,66.87,0.014156863
30/12/2010,65.93,-0.001818458
29/12/2010,66.05,0.027785961
28/12/2010,64.24,0.001401979
27/12/2010,64.15,-0.013470824
23/12/2010,65.02,0.00169322
22/12/2010,64.91,0.011310059
21/12/2010,64.18,0.001871492
20/12/2010,64.06,0.000937061
17/12/2010,64,0.003757049
16/12/2010,63.76,0.005819914
15/12/2010,63.39,-0.022616577
14/12/2010,64.84,-0.011652999
13/12/2010,65.6,0.001678237
10/12/2010,65.49,0.004131289
09/12/2010,65.22,-0.002297267
08/12/2010,65.37,0.009684189
07/12/2010,64.74,-0.015024045
06/12/2010,65.72,-0.007730239
03/12/2010,66.23,-0.007820765
02/12/2010,66.75,0.012664122
01/12/2010,65.91,0.017602046
30/11/2010,64.76,-0.020631893
29/11/2010,66.11,0.013247244
26/11/2010,65.24,-0.007482665
24/11/2010,65.73,-0.001823986
23/11/2010,65.85,-0.025192515
22/11/2010,67.53,-0.020519553
19/11/2010,68.93,0.00859625
18/11/2010,68.34,0.004105578
