Date,Close,FOXA
28/03/2011,17.09,0.004104374
25/03/2011,17.02,0.004711434
24/03/2011,16.94,0.009489988
23/03/2011,16.78,0.003582093
22/03/2011,16.72,-0.011299555
21/03/2011,16.91,0.034901256
18/03/2011,16.33,0.002452484
17/03/2011,16.29,0.004923087
16/03/2011,16.21,-0.012871768
15/03/2011,16.42,-0.024662904
14/03/2011,16.83,-0.013573534
11/03/2011,17.06,0.015953071
10/03/2011,16.79,-0.018294992
09/03/2011,17.1,-0.0104713
08/03/2011,17.28,0.004059153
07/03/2011,17.21,-0.022408292
04/03/2011,17.6,-0.002270149
03/03/2011,17.64,0.016000341
02/03/2011,17.36,0.018605188
01/03/2011,17.04,-0.019181059
28/02/2011,17.37,0.002882677
25/02/2011,17.32,0.032866808
24/02/2011,16.76,0.012004946
23/02/2011,16.56,-0.010810916
22/02/2011,16.74,-0.056328387
18/02/2011,17.71,0.015936592
17/02/2011,17.43,0.006330956
16/02/2011,17.32,0.012198815
15/02/2011,17.11,0.011166734
14/02/2011,16.92,-0.027973852
11/02/2011,17.4,0.037475111
10/02/2011,16.76,-0.008910068
09/02/2011,16.91,0
08/02/2011,16.91,0.019105059
07/02/2011,16.59,-0.017329385
04/02/2011,16.88,-0.004728141
03/02/2011,16.96,0.058268908
02/02/2011,16,0.025959039
01/02/2011,15.59,0.037247037
31/01/2011,15.02,-0.003986716
28/01/2011,15.08,-0.03326032
27/01/2011,15.59,0.003212338
26/01/2011,15.54,-0.007053572
25/01/2011,15.65,-0.007638484
24/01/2011,15.77,0.028950237
21/01/2011,15.32,0.044036468
20/01/2011,14.66,0.029770284
