Date,Close,GMCR
29/01/2013,43.28,-0.044733006
28/01/2013,45.26,-0.02293428
25/01/2013,46.31,0.056180828
24/01/2013,43.78,0.063655707
23/01/2013,41.08,-0.001216397
22/01/2013,41.13,0.012969716
18/01/2013,40.6,-0.006872879
17/01/2013,40.88,0.040689502
16/01/2013,39.25,-0.002798628
15/01/2013,39.36,0.000508259
14/01/2013,39.34,-0.046924334
11/01/2013,41.23,0.03957974
10/01/2013,39.63,-0.004280505
09/01/2013,39.8,-0.008257272
08/01/2013,40.13,-0.003730884
07/01/2013,40.28,-0.043717501
04/01/2013,42.08,-0.018599712
03/01/2013,42.87,-0.014358746
02/01/2013,43.49,0.050700472
31/12/2012,41.34,0.02423916
28/12/2012,40.35,-0.025689486
27/12/2012,41.4,-0.006740517
26/12/2012,41.68,-0.004548183
24/12/2012,41.87,0.018318179
21/12/2012,41.11,-0.035368083
20/12/2012,42.59,0.018005698
19/12/2012,41.83,0.020285651
18/12/2012,40.99,0.051562973
17/12/2012,38.93,-0.035082462
14/12/2012,40.32,0.00671895
13/12/2012,40.05,-0.010679351
12/12/2012,40.48,0.026027495
11/12/2012,39.44,0.02282443
10/12/2012,38.55,0.01832512
07/12/2012,37.85,0.001851118
06/12/2012,37.78,-0.085929974
05/12/2012,41.17,0.009518071
04/12/2012,40.78,0.075618147
03/12/2012,37.81,0.030614636
30/11/2012,36.67,0.008214723
29/11/2012,36.37,-0.013382693
28/11/2012,36.86,0.241556748
27/11/2012,28.95,0.011813897
26/11/2012,28.61,0.016919685
23/11/2012,28.13,0.012880321
21/11/2012,27.77,-0.00359454
20/11/2012,27.87,0.019565842
19/11/2012,27.33,0.107273146
16/11/2012,24.55,0.045841359
15/11/2012,23.45,-0.020680205
14/11/2012,23.94,-0.023938411
13/11/2012,24.52,-0.012563488
12/11/2012,24.83,0.041946939
09/11/2012,23.81,-0.01044505
08/11/2012,24.06,-0.027870656
07/11/2012,24.74,-0.021592202
06/11/2012,25.28,0.005155673
05/11/2012,25.15,-0.020465098
02/11/2012,25.67,-0.025765701
01/11/2012,26.34,0.085562851
31/10/2012,24.18,-0.007416598
26/10/2012,24.36,-0.002050442
25/10/2012,24.41,0.00740135
24/10/2012,24.23,0.018746644
23/10/2012,23.78,-0.010458158
22/10/2012,24.03,0.004170148
19/10/2012,23.93,-0.036919698
18/10/2012,24.83,0.048266741
17/10/2012,23.66,0.060994513
16/10/2012,22.26,0.010386185
15/10/2012,22.03,0.001362707
12/10/2012,22,-0.012198028
11/10/2012,22.27,0.00856826
10/10/2012,22.08,-0.033403239
09/10/2012,22.83,0.012783952
08/10/2012,22.54,0.018357355
05/10/2012,22.13,-0.065582937
04/10/2012,23.63,0.010208511
03/10/2012,23.39,-0.025328496
02/10/2012,23.99,0.028754624
01/10/2012,23.31,-0.018278936
28/09/2012,23.74,-0.0416641
27/09/2012,24.75,0.050974366
26/09/2012,23.52,-0.015190165
25/09/2012,23.88,-0.079656085
24/09/2012,25.86,-0.034210862
21/09/2012,26.76,-0.0395656
20/09/2012,27.84,-0.101365477
19/09/2012,30.81,0.027976154
18/09/2012,29.96,-0.029273592
17/09/2012,30.85,-0.007749474
14/09/2012,31.09,-0.011512759
13/09/2012,31.45,0.018614145
12/09/2012,30.87,-0.040938606
11/09/2012,32.16,0.057597492
10/09/2012,30.36,0.087011377
07/09/2012,27.83,0.124181471
06/09/2012,24.58,0.030987813
05/09/2012,23.83,-0.006691786
04/09/2012,23.99,-0.013250711
31/08/2012,24.31,0.008261096
30/08/2012,24.11,-0.03424713
29/08/2012,24.95,-0.006790519
28/08/2012,25.12,0.001194981
27/08/2012,25.09,-0.02129418
24/08/2012,25.63,0.01612621
23/08/2012,25.22,-0.011433202
22/08/2012,25.51,-0.012466075
21/08/2012,25.83,0.05941552
20/08/2012,24.34,-0.024752735
17/08/2012,24.95,0.003211564
16/08/2012,24.87,0.031035566
15/08/2012,24.11,0.053675575
14/08/2012,22.85,-0.06849676
13/08/2012,24.47,0.001635992
10/08/2012,24.43,0
09/08/2012,24.43,-0.007747235
08/08/2012,24.62,0.05510576
07/08/2012,23.3,0.081796749
06/08/2012,21.47,-0.007424628
03/08/2012,21.63,-0.046520016
02/08/2012,22.66,0.23524204
01/08/2012,17.91,-0.019353659
31/07/2012,18.26,0.003291281
30/07/2012,18.2,0.008830079
27/07/2012,18.04,0.005558658
26/07/2012,17.94,0.002232144
25/07/2012,17.9,0.019177125
24/07/2012,17.56,0.003994299
23/07/2012,17.49,-0.004563613
20/07/2012,17.57,-0.009629075
19/07/2012,17.74,-0.013438052
18/07/2012,17.98,0.005018132
17/07/2012,17.89,0.003920475
16/07/2012,17.82,-0.100297214
13/07/2012,19.7,-0.076678993
12/07/2012,21.27,-0.020475355
11/07/2012,21.71,-0.010994156
10/07/2012,21.95,-0.069083984
09/07/2012,23.52,-0.040821995
06/07/2012,24.5,0.040396915
05/07/2012,23.53,0.045650178
03/07/2012,22.48,0.049235103
