Date,Close,FE
08/08/2011,39.19,-0.053892618
05/08/2011,41.36,0.00145173
04/08/2011,41.3,-0.051208545
03/08/2011,43.47,-0.014842149
02/08/2011,44.12,-0.015964364
01/08/2011,44.83,0.004023251
29/07/2011,44.65,-0.005583487
28/07/2011,44.9,-0.005109419
27/07/2011,45.13,-0.004862963
26/07/2011,45.35,0.000220531
25/07/2011,45.34,0.021851483
22/07/2011,44.36,-0.003824957
21/07/2011,44.53,0.025012673
20/07/2011,43.43,0.007859495
19/07/2011,43.09,0.004885435
18/07/2011,42.88,-0.009285118
15/07/2011,43.28,-0.002307871
14/07/2011,43.38,-0.00803586
13/07/2011,43.73,-0.003879955
12/07/2011,43.9,-0.004091845
11/07/2011,44.08,-0.012624153
08/07/2011,44.64,-0.000447928
07/07/2011,44.66,0.010806048
06/07/2011,44.18,0.002039199
05/07/2011,44.09,-0.012173279
01/07/2011,44.63,0.010813352
30/06/2011,44.15,0.004540303
29/06/2011,43.95,0.010751562
28/06/2011,43.48,0.005303829
27/06/2011,43.25,0.004635003
24/06/2011,43.05,-0.005790404
23/06/2011,43.3,-0.013761685
22/06/2011,43.9,-0.007036688
21/06/2011,44.21,0.001131606
20/06/2011,44.16,0.009556387
17/06/2011,43.74,0.007573186
16/06/2011,43.41,0.009024705
15/06/2011,43.02,-0.017968694
14/06/2011,43.8,0.019597169
13/06/2011,42.95,-0.006035302
10/06/2011,43.21,-0.012419663
09/06/2011,43.75,0.00918491
08/06/2011,43.35,-0.000230654
07/06/2011,43.36,0.000692121
06/06/2011,43.33,-0.007816132
03/06/2011,43.67,-0.001372998
02/06/2011,43.73,-0.006155268
01/06/2011,44,-0.013992555
31/05/2011,44.62,0.00606948
27/05/2011,44.35,0.001353791
26/05/2011,44.29,-0.006302069
25/05/2011,44.57,0.002921022
24/05/2011,44.44,0.01040498
23/05/2011,43.98,-0.017579898
20/05/2011,44.76,-0.000893256
19/05/2011,44.8,-0.001561281
18/05/2011,44.87,-0.014821641
17/05/2011,45.54,0.023551411
16/05/2011,44.48,0.044829941
13/05/2011,42.53,-0.023929589
12/05/2011,43.56,0.022050331
11/05/2011,42.61,-0.004916316
10/05/2011,42.82,0.029386001
