Date,Close,EQR
06/03/2012,58.28,-0.00598753
05/03/2012,58.63,0.016682819
02/03/2012,57.66,0.004345188
01/03/2012,57.41,0.009098925
29/02/2012,56.89,-0.002457866
28/02/2012,57.03,-0.011853024
27/02/2012,57.71,-0.00604649
24/02/2012,58.06,0.007954391
23/02/2012,57.6,0.012051495
22/02/2012,56.91,-0.011009286
21/02/2012,57.54,-0.016717322
17/02/2012,58.51,0.004968741
16/02/2012,58.22,0.008625204
15/02/2012,57.72,-0.000865876
14/02/2012,57.77,-0.019541246
13/02/2012,58.91,0.005446822
10/02/2012,58.59,-0.00119403
09/02/2012,58.66,-0.014218249
08/02/2012,59.5,-0.002014776
07/02/2012,59.62,-0.002512775
06/02/2012,59.77,-0.00799871
03/02/2012,60.25,0.009170552
02/02/2012,59.7,-0.00534582
01/02/2012,60.02,0.007861544
31/01/2012,59.55,0.00420699
30/01/2012,59.3,-0.005549497
27/01/2012,59.63,0.006393023
26/01/2012,59.25,0.019083898
25/01/2012,58.13,0.026672897
24/01/2012,56.6,0.002476562
23/01/2012,56.46,0.012296332
20/01/2012,55.77,0.004672906
19/01/2012,55.51,-0.006822289
18/01/2012,55.89,0.005562049
17/01/2012,55.58,0.010490239
13/01/2012,55,0.017053682
12/01/2012,54.07,-0.01796236
11/01/2012,55.05,-0.002539914
10/01/2012,55.19,0.003448592
09/01/2012,55,-0.012467412
06/01/2012,55.69,-0.011781643
05/01/2012,56.35,0.003555559
04/01/2012,56.15,-0.007982304
03/01/2012,56.6,-0.00756846
30/12/2011,57.03,-0.001751928
29/12/2011,57.13,0.007378811
28/12/2011,56.71,-0.016439685
27/12/2011,57.65,0.003127174
23/12/2011,57.47,-0.001391063
22/12/2011,57.55,0.017705783
21/12/2011,56.54,-0.009680618
20/12/2011,57.09,0.029327615
19/12/2011,55.44,-0.007368171
16/12/2011,55.85,0.008812214
15/12/2011,55.36,0.011628038
14/12/2011,54.72,0.018630069
13/12/2011,53.71,0.000372439
12/12/2011,53.69,-0.013137389
09/12/2011,54.4,0.015935116
08/12/2011,53.54,-0.016118922
07/12/2011,54.41,0.01574544
06/12/2011,53.56,-0.002796683
05/12/2011,53.71,-0.010003789
02/12/2011,54.25,0.002214432
01/12/2011,54.13,-0.019393217
30/11/2011,55.19,0.042378439
29/11/2011,52.9,-0.003585248
28/11/2011,53.09,0.008702287
25/11/2011,52.63,0.001330925
23/11/2011,52.56,-0.023503949
22/11/2011,53.81,-0.003709891
21/11/2011,54.01,-0.012694495
18/11/2011,54.7,0.00623512
17/11/2011,54.36,-0.041263398
16/11/2011,56.65,-0.036399166
15/11/2011,58.75,0.016994658
14/11/2011,57.76,-0.021749295
11/11/2011,59.03,0.029919701
10/11/2011,57.29,0.008941937
09/11/2011,56.78,-0.044436448
08/11/2011,59.36,0.008119124
07/11/2011,58.88,0.006987672
04/11/2011,58.47,-0.008006175
03/11/2011,58.94,0.012806459
02/11/2011,58.19,0.036221263
01/11/2011,56.12,-0.044606698
31/10/2011,58.68,-0.0011922
28/10/2011,58.75,-0.02038652
27/10/2011,59.96,0.050450982
26/10/2011,57.01,0.011112205
25/10/2011,56.38,-0.013564905
24/10/2011,57.15,0.00790518
21/10/2011,56.7,0.037740328
20/10/2011,54.6,0.00091617
19/10/2011,54.55,-0.011845241
18/10/2011,55.2,0.034088976
17/10/2011,53.35,-0.036260529
14/10/2011,55.32,0.031398889
13/10/2011,53.61,-0.006322074
12/10/2011,53.95,0.019465335
11/10/2011,52.91,-0.031807759
10/10/2011,54.62,0.049348724
07/10/2011,51.99,-0.028069357
06/10/2011,53.47,0.033662967
05/10/2011,51.7,-0.010007782
04/10/2011,52.22,0.050265783
03/10/2011,49.66,-0.043540808
30/09/2011,51.87,-0.032621895
29/09/2011,53.59,0.016367593
28/09/2011,52.72,-0.013190317
27/09/2011,53.42,0.001498689
26/09/2011,53.34,0.003944778
23/09/2011,53.13,0.034466364
22/09/2011,51.33,-0.019294444
21/09/2011,52.33,-0.061871582
20/09/2011,55.67,-0.01868548
19/09/2011,56.72,-0.018861893
16/09/2011,57.8,-0.014598799
15/09/2011,58.65,-0.002384197
14/09/2011,58.79,-0.017201099
13/09/2011,59.81,-0.004171191
12/09/2011,60.06,0.004171191
09/09/2011,59.81,-0.030624718
08/09/2011,61.67,0.004550634
07/09/2011,61.39,0.032447806
06/09/2011,59.43,-0.004700361
02/09/2011,59.71,-0.013639599
01/09/2011,60.53,-0.010681229
31/08/2011,61.18,0.011342277
30/08/2011,60.49,0.005470382
29/08/2011,60.16,0.025420105
26/08/2011,58.65,0.01235219
25/08/2011,57.93,-0.018810404
24/08/2011,59.03,0.019155708
23/08/2011,57.91,0.023941729
22/08/2011,56.54,0.000884721
19/08/2011,56.49,-0.018416727
18/08/2011,57.54,-0.051154251
17/08/2011,60.56,-0.008549871
16/08/2011,61.08,0.004923693
15/08/2011,60.78,0.028876245
12/08/2011,59.05,0.00441277
11/08/2011,58.79,0.048441526
10/08/2011,56.01,-0.02224668
09/08/2011,57.27,0.097495209
08/08/2011,51.95,-0.068980039
05/08/2011,55.66,-0.027292142
04/08/2011,57.2,-0.043280508
03/08/2011,59.73,-0.004676808
02/08/2011,60.01,-0.023061473
01/08/2011,61.41,-0.006654248
29/07/2011,61.82,0.001618909
28/07/2011,61.72,-0.012398516
27/07/2011,62.49,-0.01619083
26/07/2011,63.51,0.00711072
25/07/2011,63.06,-0.009783887
22/07/2011,63.68,0.009625321
21/07/2011,63.07,0.006841169
20/07/2011,62.64,0.007692346
19/07/2011,62.16,0.010674531
18/07/2011,61.5,-0.004056801
15/07/2011,61.75,0.01205619
14/07/2011,61.01,-0.00832454
13/07/2011,61.52,-0.012920076
12/07/2011,62.32,0.004664263
11/07/2011,62.03,-0.012814527
08/07/2011,62.83,0.000159172
07/07/2011,62.82,0.010240089
06/07/2011,62.18,0.009046911
05/07/2011,61.62,0.004391322
01/07/2011,61.35,0.022250609
30/06/2011,60,0
29/06/2011,60,0.009040745
28/06/2011,59.46,0.012693747
27/06/2011,58.71,0.005979346
24/06/2011,58.36,-0.001712036
23/06/2011,58.46,-0.019145015
22/06/2011,59.59,-0.005355661
21/06/2011,59.91,0.004516946
20/06/2011,59.64,0.009434032
17/06/2011,59.08,0.003221161
16/06/2011,58.89,-0.003221161
15/06/2011,59.08,-0.008259634
14/06/2011,59.57,0.005048816
13/06/2011,59.27,0.001012829
10/06/2011,59.21,-0.022213857
09/06/2011,60.54,-0.007241638
