Date,Close,AN
13/10/2010,23.07,0.009144414
12/10/2010,22.86,-0.003493453
11/10/2010,22.94,-0.014282866
08/10/2010,23.27,-0.003432007
07/10/2010,23.35,0.006444705
06/10/2010,23.2,-0.016670615
05/10/2010,23.59,0.003397031
04/10/2010,23.51,-0.003397031
01/10/2010,23.59,0.014517761
30/09/2010,23.25,0.00733869
29/09/2010,23.08,-0.006047535
28/09/2010,23.22,-0.000430571
27/09/2010,23.23,-0.020030501
24/09/2010,23.7,0.029980832
23/09/2010,23,-0.005203828
22/09/2010,23.12,-0.006037103
21/09/2010,23.26,-0.018317871
20/09/2010,23.69,0.014884391
17/09/2010,23.34,0.00343348
16/09/2010,23.26,-0.01323957
15/09/2010,23.57,0.001273615
14/09/2010,23.54,0.001700681
13/09/2010,23.5,0.006403437
10/09/2010,23.35,-0.004273511
09/09/2010,23.45,-0.019007964
08/09/2010,23.9,-0.00083647
07/09/2010,23.92,-0.02558951
03/09/2010,24.54,0.027263151
02/09/2010,23.88,0.028458068
01/09/2010,23.21,0.028404794
31/08/2010,22.56,-0.000886132
30/08/2010,22.58,-0.028810373
27/08/2010,23.24,0.01125066
26/08/2010,22.98,-0.022376149
25/08/2010,23.5,0.000425622
24/08/2010,23.49,0.011130252
23/08/2010,23.23,-0.008145811
20/08/2010,23.42,0
19/08/2010,23.42,-0.016935206
18/08/2010,23.82,0.019072415
17/08/2010,23.37,0.024692613
16/08/2010,22.8,0.005277057
13/08/2010,22.68,-0.018781945
12/08/2010,23.11,-0.006469723
11/08/2010,23.26,-0.03215167
10/08/2010,24.02,-0.033970936
09/08/2010,24.85,0.017045867
06/08/2010,24.43,-0.004899969
05/08/2010,24.55,0.000814996
04/08/2010,24.53,0.033999958
03/08/2010,23.71,-0.038474239
02/08/2010,24.64,0.008559253
30/07/2010,24.43,0.004101728
29/07/2010,24.33,0.017413375
28/07/2010,23.91,-0.014119836
