Date,Close,MTB
17/02/2011,89.99,-0.000111117
16/02/2011,90,0.006241661
15/02/2011,89.44,0.002574868
14/02/2011,89.21,-0.007259763
11/02/2011,89.86,0.01966687
10/02/2011,88.11,-0.007462721
09/02/2011,88.77,-0.003935021
08/02/2011,89.12,0.012760605
07/02/2011,87.99,0.005698671
04/02/2011,87.49,0.009070617
03/02/2011,86.7,-0.000230654
02/02/2011,86.72,-0.006322223
01/02/2011,87.27,0.009209228
31/01/2011,86.47,0.001388728
28/01/2011,86.35,-0.006579351
27/01/2011,86.92,0.009711059
26/01/2011,86.08,-0.010401111
25/01/2011,86.98,0.007037814
24/01/2011,86.37,-0.004620547
21/01/2011,86.77,0.012058117
20/01/2011,85.73,-0.008825978
19/01/2011,86.49,0.003358623
18/01/2011,86.2,-0.00208599
14/01/2011,86.38,0.001390176
13/01/2011,86.26,-0.012671521
12/01/2011,87.36,0.007352974
11/01/2011,86.72,0.007175126
10/01/2011,86.1,-0.008327598
07/01/2011,86.82,-0.008258822
06/01/2011,87.54,-0.005581834
05/01/2011,88.03,0.011769547
04/01/2011,87,-0.010291686
03/01/2011,87.9,0.009717138
31/12/2010,87.05,0.007147828
30/12/2010,86.43,-0.010931586
29/12/2010,87.38,0.006890243
28/12/2010,86.78,0.008215262
27/12/2010,86.07,0.010746512
23/12/2010,85.15,-0.011791626
22/12/2010,86.16,0.004886572
21/12/2010,85.74,0.016226106
20/12/2010,84.36,0.019269341
17/12/2010,82.75,0.00314694
16/12/2010,82.49,0.004373716
15/12/2010,82.13,-0.020845384
14/12/2010,83.86,-0.017377351
13/12/2010,85.33,0.00363957
10/12/2010,85.02,0.021158521
09/12/2010,83.24,0.023090101
08/12/2010,81.34,0.023258309
07/12/2010,79.47,-0.002136887
06/12/2010,79.64,-0.015202785
03/12/2010,80.86,0.00272446
02/12/2010,80.64,0.02689618
01/12/2010,78.5,0.019812818
30/11/2010,76.96,-0.000389737
29/11/2010,76.99,0.007038611
26/11/2010,76.45,-0.011315722
24/11/2010,77.32,0.00271968
23/11/2010,77.11,0.003247389
22/11/2010,76.86,-0.012155846
19/11/2010,77.8,0.000257102
18/11/2010,77.78,-0.022375711
17/11/2010,79.54,-0.002762086
16/11/2010,79.76,-0.019000882
15/11/2010,81.29,0.003820797
12/11/2010,80.98,-0.013613996
11/11/2010,82.09,-0.002068756
10/11/2010,82.26,0.023866307
09/11/2010,80.32,-0.023379926
