Date,Close,TSCO
08/07/2011,71.71,-0.007640518
07/07/2011,72.26,0.008058957
06/07/2011,71.68,0.002094827
05/07/2011,71.53,0.053112367
01/07/2011,67.83,0.014104606
30/06/2011,66.88,0.000448665
29/06/2011,66.85,0.001497006
28/06/2011,66.75,0.010693678
27/06/2011,66.04,0.017258924
24/06/2011,64.91,-0.019678768
23/06/2011,66.2,0.017831761
22/06/2011,65.03,0.002155173
21/06/2011,64.89,0.022283742
20/06/2011,63.46,0.040520013
17/06/2011,60.94,0.002299985
16/06/2011,60.8,0.003294896
15/06/2011,60.6,-0.010995434
14/06/2011,61.27,0.029314014
13/06/2011,59.5,0.012344792
10/06/2011,58.77,-0.030003089
09/06/2011,60.56,0.013465418
08/06/2011,59.75,-0.009826043
07/06/2011,60.34,0.023475256
06/06/2011,58.94,-0.013983886
03/06/2011,59.77,-0.039207843
02/06/2011,62.16,0.010186845
01/06/2011,61.53,-0.026146329
31/05/2011,63.16,0.011785453
27/05/2011,62.42,0.00901197
26/05/2011,61.86,0.022726393
25/05/2011,60.47,0.007802812
24/05/2011,60,-0.008794548
23/05/2011,60.53,0.02611027
20/05/2011,58.97,-0.024622297
19/05/2011,60.44,0.00348057
18/05/2011,60.23,0.024368906
17/05/2011,58.78,-0.027352993
16/05/2011,60.41,-0.024203962
13/05/2011,61.89,-0.016346518
12/05/2011,62.91,0.027067868
11/05/2011,61.23,-0.006349228
10/05/2011,61.62,0.01768219
09/05/2011,60.54,0.012298643
06/05/2011,59.8,0.011605546
05/05/2011,59.11,0.007983057
04/05/2011,58.64,-0.014727308
03/05/2011,59.51,-0.001175582
02/05/2011,59.58,-0.037715462
29/04/2011,61.87,0.007625574
28/04/2011,61.4,-0.003089685
27/04/2011,61.59,0.008151333
26/04/2011,61.09,0.007393445
25/04/2011,60.64,-0.004606787
21/04/2011,60.92,-0.033096894
20/04/2011,62.97,0.020698693
19/04/2011,61.68,0.002434869
18/04/2011,61.53,-0.035758
15/04/2011,63.77,-0.001879994
14/04/2011,63.89,0.014186871
13/04/2011,62.99,0.006530245
12/04/2011,62.58,-0.006688988
11/04/2011,63,0.002542913
08/04/2011,62.84,0.010397598
07/04/2011,62.19,0.01115704
06/04/2011,61.5,-0.005189762
05/04/2011,61.82,0.009916362
04/04/2011,61.21,0.002453588
01/04/2011,61.06,0.019848485
31/03/2011,59.86,0.009399196
30/03/2011,59.3,0.019755411
29/03/2011,58.14,0.022613592
28/03/2011,56.84,0.001937132
25/03/2011,56.73,0.014559916
24/03/2011,55.91,0.0193234
23/03/2011,54.84,0.000912159
22/03/2011,54.79,-0.003097952
21/03/2011,54.96,0.017806804
18/03/2011,53.99,0.010613637
17/03/2011,53.42,0.001873712
16/03/2011,53.32,-0.000749906
15/03/2011,53.36,-0.009141002
14/03/2011,53.85,-0.015295608
11/03/2011,54.68,0.006421451
10/03/2011,54.33,-0.011892922
09/03/2011,54.98,0.013735222
08/03/2011,54.23,0.011498643
07/03/2011,53.61,-0.006322074
04/03/2011,53.95,0.016069105
03/03/2011,53.09,0.023247998
02/03/2011,51.87,0.024591403
01/03/2011,50.61,-0.028439782
28/02/2011,52.07,0.003848379
25/02/2011,51.87,0.024393833
24/02/2011,50.62,0.006540505
23/02/2011,50.29,-0.023581364
22/02/2011,51.49,-0.031730491
18/02/2011,53.15,0.004336766
17/02/2011,52.92,-0.000944376
16/02/2011,52.97,0.002646504
15/02/2011,52.83,-0.008669485
14/02/2011,53.29,-0.007478068
11/02/2011,53.69,0.009920531
10/02/2011,53.16,0.004713877
09/02/2011,52.91,-0.008281621
08/02/2011,53.35,0.017204319
07/02/2011,52.44,0.000190712
04/02/2011,52.43,0.008042939
03/02/2011,52.01,0.022359248
