Date,Close,CTAS
06/12/2012,42.31,0.008068387
05/12/2012,41.97,0.00286328
04/12/2012,41.85,0.009845199
03/12/2012,41.44,0
30/11/2012,41.44,0.010430659
29/11/2012,41.01,0.007833577
28/11/2012,40.69,0.002953485
27/11/2012,40.57,-0.004426962
26/11/2012,40.75,-0.00269575
23/11/2012,40.86,0.009590631
21/11/2012,40.47,-0.0022214
20/11/2012,40.56,0.012154435
19/11/2012,40.07,0.01003269
16/11/2012,39.67,0.006829418
15/11/2012,39.4,-0.011858345
14/11/2012,39.87,-0.016418279
13/11/2012,40.53,-0.00049334
12/11/2012,40.55,-0.002463055
09/11/2012,40.65,-0.004173321
08/11/2012,40.82,-0.009266099
07/11/2012,41.2,-0.014458083
06/11/2012,41.8,0.005998818
05/11/2012,41.55,-0.005998818
02/11/2012,41.8,-0.014252023
01/11/2012,42.4,0.014012817
31/10/2012,41.81,0.008165271
26/10/2012,41.47,0.002414294
25/10/2012,41.37,0.002662473
24/10/2012,41.26,-0.005558927
23/10/2012,41.49,-0.012217184
22/10/2012,42,0.002861232
19/10/2012,41.88,-0.011868167
18/10/2012,42.38,0.000708132
17/10/2012,42.35,0.004259353
16/10/2012,42.17,0.004039449
15/10/2012,42,0.003338901
12/10/2012,41.86,0.001434377
11/10/2012,41.8,-0.004058738
10/10/2012,41.97,-0.012784265
09/10/2012,42.51,0.008030275
08/10/2012,42.17,-0.000711153
05/10/2012,42.2,-0.001184133
04/10/2012,42.25,0.001184133
03/10/2012,42.2,0.001897534
02/10/2012,42.12,0.010261395
01/10/2012,41.69,0.006256036
28/09/2012,41.43,-0.003854498
27/09/2012,41.59,0.010392843
26/09/2012,41.16,-0.005330761
25/09/2012,41.38,0.000967118
24/09/2012,41.34,0.016831718
21/09/2012,40.65,-0.013196672
20/09/2012,41.19,-0.001697999
19/09/2012,41.26,-0.005317876
18/09/2012,41.48,0.006287808
17/09/2012,41.22,-0.012057055
14/09/2012,41.72,-0.011913412
13/09/2012,42.22,0.008563325
12/09/2012,41.86,0.012500163
11/09/2012,41.34,0.002179441
10/09/2012,41.25,-0.003871285
07/09/2012,41.41,-0.001930037
06/09/2012,41.49,0.023903577
05/09/2012,40.51,0.005942082
04/09/2012,40.27,-0.003717937
31/08/2012,40.42,0.002973243
30/08/2012,40.3,-0.007662873
29/08/2012,40.61,0.00370051
28/08/2012,40.46,-0.009348162
27/08/2012,40.84,-0.000489596
24/08/2012,40.86,0.006629859
23/08/2012,40.59,-0.006629859
22/08/2012,40.86,-0.005126339
21/08/2012,41.07,-0.007036302
20/08/2012,41.36,-0.001208167
17/08/2012,41.41,0.005084141
16/08/2012,41.2,-0.004601049
15/08/2012,41.39,0.015828895
14/08/2012,40.74,-0.001226543
13/08/2012,40.79,-0.003426337
10/08/2012,40.93,0.00465288
09/08/2012,40.74,-0.002451582
08/08/2012,40.84,0.004417185
07/08/2012,40.66,-0.002701709
06/08/2012,40.77,0.002947681
03/08/2012,40.65,0.018121385
02/08/2012,39.92,0.007038742
01/08/2012,39.64,0.000252302
31/07/2012,39.63,0.004298907
30/07/2012,39.46,0.004317467
27/07/2012,39.29,0.019532875
26/07/2012,38.53,0.024699101
25/07/2012,37.59,0.001863933
24/07/2012,37.52,-0.001331735
23/07/2012,37.57,-0.002392664
20/07/2012,37.66,-0.010039714
19/07/2012,38.04,0.003423308
18/07/2012,37.91,-0.00237123
17/07/2012,38,-0.036433431
16/07/2012,39.41,-0.01160457
13/07/2012,39.87,0.022318958
12/07/2012,38.99,-0.00741028
11/07/2012,39.28,0.000254615
10/07/2012,39.27,0.002549721
09/07/2012,39.17,0.002812222
