Date,Close,AVP
05/07/2012,16.65,0.042951387
03/07/2012,15.95,0.012618464
02/07/2012,15.75,-0.02878797
29/06/2012,16.21,0.048019332
28/06/2012,15.45,0.014341836
27/06/2012,15.23,0.005926919
26/06/2012,15.14,0.002645504
25/06/2012,15.1,-0.02614528
22/06/2012,15.5,-0.001933613
21/06/2012,15.53,-0.037907255
20/06/2012,16.13,0.02702018
19/06/2012,15.7,0.004468568
18/06/2012,15.63,-0.010184684
15/06/2012,15.79,0.009545093
14/06/2012,15.64,0.002560821
13/06/2012,15.6,-0.012739026
12/06/2012,15.8,-0.003790276
11/06/2012,15.86,-0.001889764
08/06/2012,15.89,-0.022402928
07/06/2012,16.25,-0.003685508
06/06/2012,16.31,0.027347882
05/06/2012,15.87,0.010769822
04/06/2012,15.7,0.001912656
01/06/2012,15.67,-0.054638045
31/05/2012,16.55,0.02261019
30/05/2012,16.18,-0.034622347
29/05/2012,16.75,0.009598154
25/05/2012,16.59,-0.007805503
24/05/2012,16.72,0.007805503
23/05/2012,16.59,-0.012578782
22/05/2012,16.8,0.001787311
21/05/2012,16.77,-0.010676258
18/05/2012,16.95,-0.046117682
17/05/2012,17.75,-0.051067917
16/05/2012,18.68,-0.001604707
15/05/2012,18.71,-0.113557719
14/05/2012,20.96,0.037428427
11/05/2012,20.19,-0.034083143
10/05/2012,20.89,-0.033422739
09/05/2012,21.6,0.088527678
08/05/2012,19.77,-0.015060526
07/05/2012,20.07,-0.024607541
04/05/2012,20.57,-0.020688734
03/05/2012,21,0.05330032
02/05/2012,19.91,0.002011062
01/05/2012,19.87,-0.083482258
30/04/2012,21.6,0.001389854
27/04/2012,21.57,-0.010606509
26/04/2012,21.8,-0.001833181
25/04/2012,21.84,0.009199697
24/04/2012,21.64,-0.002307871
23/04/2012,21.69,-0.014191129
20/04/2012,22,-0.008599284
19/04/2012,22.19,0.015440815
18/04/2012,21.85,-0.031534144
17/04/2012,22.55,-0.021062648
16/04/2012,23.03,-0.021053409
13/04/2012,23.52,0.019318051
12/04/2012,23.07,0.015727716
11/04/2012,22.71,0.021812572
10/04/2012,22.22,-0.020931515
09/04/2012,22.69,-0.031666059
05/04/2012,23.42,0.029025213
04/04/2012,22.75,0.024923408
03/04/2012,22.19,-0.022723188
02/04/2012,22.7,0.159155843
30/03/2012,19.36,0.009341012
29/03/2012,19.18,-0.004681413
28/03/2012,19.27,-0.006723584
27/03/2012,19.4,0.011926509
26/03/2012,19.17,0.004181919
23/03/2012,19.09,0.013182369
22/03/2012,18.84,0.007458745
21/03/2012,18.7,-0.008519753
20/03/2012,18.86,-0.00528822
19/03/2012,18.96,0.000527565
16/03/2012,18.95,-0.004738098
15/03/2012,19.04,0.011621895
14/03/2012,18.82,0.001595321
13/03/2012,18.79,0.024240347
12/03/2012,18.34,-0.012462909
09/03/2012,18.57,0.017382295
08/03/2012,18.25,0.007700808
07/03/2012,18.11,-0.003857817
06/03/2012,18.18,-0.023914183
05/03/2012,18.62,-0.001609874
02/03/2012,18.65,-0.008542497
01/03/2012,18.81,0.006400022
29/02/2012,18.69,-0.004803852
28/02/2012,18.78,-0.00053234
27/02/2012,18.79,-0.00689475
24/02/2012,18.92,-0.010515344
23/02/2012,19.12,-0.002089865
22/02/2012,19.16,0
21/02/2012,19.16,-0.001564537
17/02/2012,19.19,-0.022669698
16/02/2012,19.63,0.052822736
15/02/2012,18.62,0.045037815
14/02/2012,17.8,0.015284758
13/02/2012,17.53,-0.01920963
10/02/2012,17.87,-0.015547232
09/02/2012,18.15,0.002206289
08/02/2012,18.11,-0.004957322
07/02/2012,18.2,-0.014184635
06/02/2012,18.46,-0.003245
03/02/2012,18.52,0.004329011
02/02/2012,18.44,0.010905233
01/02/2012,18.24,0.026105342
31/01/2012,17.77,-0.011748387
30/01/2012,17.98,-0.020914356
27/01/2012,18.36,-0.005431844
26/01/2012,18.46,0.002712234
25/01/2012,18.41,0.005446637
24/01/2012,18.31,-0.009241708
23/01/2012,18.48,-0.005396667
20/01/2012,18.58,0.019565842
19/01/2012,18.22,0.021076765
18/01/2012,17.84,0.000560695
17/01/2012,17.83,0.017539346
13/01/2012,17.52,-0.020339684
12/01/2012,17.88,-0.000559128
11/01/2012,17.89,0.001118568
10/01/2012,17.87,0.016361437
09/01/2012,17.58,0.002277905
06/01/2012,17.54,0.003998863
05/01/2012,17.47,0.00344037
04/01/2012,17.41,-0.017084698
03/01/2012,17.71,0.013644328
30/12/2011,17.47,0.001718706
29/12/2011,17.44,0.015602744
28/12/2011,17.17,-0.011580905
27/12/2011,17.37,-0.00631279
23/12/2011,17.48,0.021978907
22/12/2011,17.1,-0.004085211
21/12/2011,17.17,0.015850053
20/12/2011,16.9,0.025773078
19/12/2011,16.47,-0.015065063
16/12/2011,16.72,-0.000597907
15/12/2011,16.73,-0.013654115
14/12/2011,16.96,0.049556968
13/12/2011,16.14,-0.023876249
12/12/2011,16.53,-0.003020238
09/12/2011,16.58,-0.013181737
08/12/2011,16.8,-0.029327615
07/12/2011,17.3,0.015730007
06/12/2011,17.03,0.001763151
05/12/2011,17,0.019602647
02/12/2011,16.67,-0.004190368
01/12/2011,16.74,-0.015412279
30/11/2011,17,0.025016194
29/11/2011,16.58,0.007871672
28/11/2011,16.45,0.022127516
25/11/2011,16.09,-0.01664137
23/11/2011,16.36,-0.013960773
22/11/2011,16.59,-0.006009633
21/11/2011,16.69,-0.008947271
18/11/2011,16.84,-0.013565528
17/11/2011,17.07,-0.026591162
16/11/2011,17.53,-0.004553224
15/11/2011,17.61,-0.013536586
14/11/2011,17.85,-0.02106508
11/11/2011,18.23,0.005500564
10/11/2011,18.13,-0.025593556
09/11/2011,18.6,-0.021277398
08/11/2011,19,0.014846508
07/11/2011,18.72,0.010741242
04/11/2011,18.52,0.013043663
03/11/2011,18.28,0.024364439
02/11/2011,17.84,0.010140932
01/11/2011,17.66,-0.034505371
31/10/2011,18.28,-0.031765793
28/10/2011,18.87,0.003184716
27/10/2011,18.81,-0.201540261
26/10/2011,23.01,-0.002170611
25/10/2011,23.06,-0.033684702
24/10/2011,23.85,0.017340253
