Date,Close,DAL
09/12/2011,8.5,0.038374013
08/12/2011,8.18,-0.04540804
07/12/2011,8.56,0.010569681
06/12/2011,8.47,-0.01639381
05/12/2011,8.61,0.023502844
02/12/2011,8.41,-0.012994867
01/12/2011,8.52,0.048086187
30/11/2011,8.12,0.04020642
29/11/2011,7.8,0.048597875
28/11/2011,7.43,0.042618133
25/11/2011,7.12,0
23/11/2011,7.12,-0.022223137
22/11/2011,7.28,0.009661911
21/11/2011,7.21,-0.020590981
18/11/2011,7.36,0.010929071
17/11/2011,7.28,-0.040382337
16/11/2011,7.58,-0.053928342
15/11/2011,8,-0.007472015
14/11/2011,8.06,0.013741628
11/11/2011,7.95,0.042395559
10/11/2011,7.62,-0.048665172
09/11/2011,8,-0.024692613
08/11/2011,8.2,-0.013325455
07/11/2011,8.31,-0.00480193
04/11/2011,8.35,0.006006024
03/11/2011,8.3,0.006042314
02/11/2011,8.25,-0.009650256
01/11/2011,8.33,-0.022552885
31/10/2011,8.52,0.001174398
28/10/2011,8.51,-0.01516064
27/10/2011,8.64,0.009302393
26/10/2011,8.56,0.014117882
25/10/2011,8.44,-0.053068968
24/10/2011,8.9,0.027336554
21/10/2011,8.66,-0.004608303
20/10/2011,8.7,0.023256862
19/10/2011,8.5,-0.024405627
18/10/2011,8.71,0.036240085
17/10/2011,8.4,-0.020036027
14/10/2011,8.57,-0.012753796
13/10/2011,8.68,0.0304117
12/10/2011,8.42,0.025256905
11/10/2011,8.21,0.019680832
10/10/2011,8.05,0.031548358
07/10/2011,7.8,0.002567396
06/10/2011,7.78,0.046030479
05/10/2011,7.43,0.019022313
04/10/2011,7.29,0.091886691
03/10/2011,6.65,-0.120286166
30/09/2011,7.5,-0.058268908
29/09/2011,7.95,-0.019925939
28/09/2011,8.11,-0.003692312
27/09/2011,8.14,-0.019465335
26/09/2011,8.3,0.015786606
23/09/2011,8.17,0.074955709
22/09/2011,7.58,-0.053928342
21/09/2011,8,-0.045212343
20/09/2011,8.37,0.007194276
19/09/2011,8.31,-0.010772097
16/09/2011,8.4,-0.007117468
15/09/2011,8.46,0.008308653
14/09/2011,8.39,0.048849761
13/09/2011,7.99,0.079417121
12/09/2011,7.38,0.027474256
09/09/2011,7.18,-0.017943891
08/09/2011,7.31,-0.021651725
07/09/2011,7.47,0.046583765
06/09/2011,7.13,-0.019445057
02/09/2011,7.27,-0.020422766
01/09/2011,7.42,-0.014715985
31/08/2011,7.53,-0.01056813
30/08/2011,7.61,0.014560151
29/08/2011,7.5,0.051995295
26/08/2011,7.12,0.041583052
25/08/2011,6.83,-0.059676795
24/08/2011,7.25,-0.00137836
23/08/2011,7.26,0.005524876
22/08/2011,7.22,0.001386002
19/08/2011,7.21,-0.024658784
18/08/2011,7.39,-0.053995999
17/08/2011,7.8,0.01811175
16/08/2011,7.66,0.045401656
15/08/2011,7.32,0.048995103
12/08/2011,6.97,0
11/08/2011,6.97,0.042497237
10/08/2011,6.68,-0.05815592
09/08/2011,7.08,0.067178538
