Date,Close,KO
18/01/2011,63.48,0.005528803
14/01/2011,63.13,-0.004267769
13/01/2011,63.4,0.005694416
12/01/2011,63.04,0.0055675
11/01/2011,62.69,-0.005884709
10/01/2011,63.06,0.002222576
07/01/2011,62.92,-0.001746725
06/01/2011,63.03,-0.00727161
05/01/2011,63.49,-0.005967354
04/01/2011,63.87,-0.020916403
03/01/2011,65.22,-0.008397637
31/12/2010,65.77,0.004113665
30/12/2010,65.5,0.00076365
29/12/2010,65.45,0.001376042
28/12/2010,65.36,0.004446837
27/12/2010,65.07,-0.007807158
23/12/2010,65.58,-0.000152474
22/12/2010,65.59,0.001525786
21/12/2010,65.49,0.002752295
20/12/2010,65.31,-0.005953762
17/12/2010,65.7,0.005494519
16/12/2010,65.34,0.009225158
15/12/2010,64.74,0.013059887
14/12/2010,63.9,-0.014757549
13/12/2010,64.85,0.003088806
10/12/2010,64.65,-0.002780354
09/12/2010,64.83,0.006810118
08/12/2010,64.39,0.003890147
07/12/2010,64.14,0.002341373
06/12/2010,63.99,-0.007938403
03/12/2010,64.5,-0.0061824
02/12/2010,64.9,0.003086422
01/12/2010,64.7,0.023931697
30/11/2010,63.17,-0.003476615
29/11/2010,63.39,-0.011294238
26/11/2010,64.11,-0.00776884
24/11/2010,64.61,0.015441311
23/11/2010,63.62,-0.010165073
22/11/2010,64.27,-0.000777665
19/11/2010,64.32,0.007490672
18/11/2010,63.84,0.020893448
17/11/2010,62.52,0.00706263
16/11/2010,62.08,-0.014075728
15/11/2010,62.96,0.000635526
12/11/2010,62.92,0.001909005
11/11/2010,62.8,0.003988837
10/11/2010,62.55,-0.001437815
09/11/2010,62.64,0.0028777
08/11/2010,62.46,-0.001919386
05/11/2010,62.58,0.002079502
04/11/2010,62.45,0.008038628
03/11/2010,61.95,0.001453841
02/11/2010,61.86,0.002427775
01/11/2010,61.71,0.006339938
29/10/2010,61.32,0.001795479
28/10/2010,61.21,0.000326797
27/10/2010,61.19,-0.000816793
26/10/2010,61.24,0.003762786
25/10/2010,61.01,-0.00978641
22/10/2010,61.61,0.002274944
21/10/2010,61.47,0.005219389
20/10/2010,61.15,0.013334628
19/10/2010,60.34,0.005650672
18/10/2010,60,0.0010005
15/10/2010,59.94,0.000500626
14/10/2010,59.91,-0.000500626
13/10/2010,59.94,0.005688488
12/10/2010,59.6,0.000671366
11/10/2010,59.56,0.002521645
08/10/2010,59.41,-0.000504838
07/10/2010,59.44,-0.006038261
06/10/2010,59.8,0.002343882
05/10/2010,59.66,0.013160305
04/10/2010,58.88,-0.004067802
01/10/2010,59.12,0.0102007
30/09/2010,58.52,-0.004092775
29/09/2010,58.76,-0.005769573
28/09/2010,59.1,0.008496228
27/09/2010,58.6,-0.000341239
24/09/2010,58.62,0.01287682
23/09/2010,57.87,-0.00620157
22/09/2010,58.23,0.00206292
21/09/2010,58.11,0.002412131
20/09/2010,57.97,0.007097753
17/09/2010,57.56,0.000869036
16/09/2010,57.51,0.001566171
15/09/2010,57.42,-0.002956267
14/09/2010,57.59,-0.007611177
13/09/2010,58.03,-0.008408458
10/09/2010,58.52,0.003938024
09/09/2010,58.29,0.00792288
08/09/2010,57.83,0.003464407
07/09/2010,57.63,0.001215383
03/09/2010,57.56,0.003132071
02/09/2010,57.38,0.001220682
01/09/2010,57.31,0.025268594
31/08/2010,55.88,0.005923018
30/08/2010,55.55,-0.010921244
27/08/2010,56.16,0.017966707
26/08/2010,55.16,-0.004161019
25/08/2010,55.39,-0.004862684
24/08/2010,55.66,0.001078555
23/08/2010,55.6,0.005410293
20/08/2010,55.3,0.000361729
19/08/2010,55.28,-0.010079279
18/08/2010,55.84,-0.005001797
17/08/2010,56.12,0.004285721
16/08/2010,55.88,0.002687933
13/08/2010,55.73,0.000718004
12/08/2010,55.69,-0.006265124
11/08/2010,56.04,-0.016634608
10/08/2010,56.98,-0.002278904
09/08/2010,57.11,0.006323576
06/08/2010,56.75,0.006718554
05/08/2010,56.37,-0.0031881
04/08/2010,56.55,0.003010717
03/08/2010,56.38,-0.000531962
02/08/2010,56.41,0.02331526
30/07/2010,55.11,0.002179837
29/07/2010,54.99,0.002002367
28/07/2010,54.88,-0.00309288
27/07/2010,55.05,0.002000183
26/07/2010,54.94,0.003464312
23/07/2010,54.75,0.008990061
22/07/2010,54.26,0.003322875
21/07/2010,54.08,0.015654438
20/07/2010,53.24,0.018387401
19/07/2010,52.27,-0.001911316
16/07/2010,52.37,-0.009123804
15/07/2010,52.85,0.000567805
14/07/2010,52.82,0.001895017
13/07/2010,52.72,0.005134555
