Date,Close,SNI
19/04/2011,49.11,-0.006697133
18/04/2011,49.44,-0.010062472
15/04/2011,49.94,0.005421156
14/04/2011,49.67,-0.002413032
13/04/2011,49.79,0.008066186
12/04/2011,49.39,-0.01527054
11/04/2011,50.15,-0.007944431
08/04/2011,50.55,0.001187649
07/04/2011,50.49,-0.010442416
06/04/2011,51.02,0.001961939
05/04/2011,50.92,0.000982415
04/04/2011,50.87,0.007300023
01/04/2011,50.5,0.008151949
31/03/2011,50.09,0.004000805
30/03/2011,49.89,0.020247705
29/03/2011,48.89,-0.001839175
28/03/2011,48.98,-0.029570695
25/03/2011,50.45,-0.004153898
24/03/2011,50.66,0.002767347
23/03/2011,50.52,-0.003162058
22/03/2011,50.68,0.007526278
21/03/2011,50.3,0.030889707
18/03/2011,48.77,-0.011822396
17/03/2011,49.35,0.012232568
16/03/2011,48.75,-0.000615195
15/03/2011,48.78,-0.001229256
14/03/2011,48.84,-0.022472856
11/03/2011,49.95,-0.00120048
10/03/2011,50.01,-0.015279591
09/03/2011,50.78,-0.006868833
08/03/2011,51.13,0.007262766
07/03/2011,50.76,-0.017187923
04/03/2011,51.64,-0.024295791
03/03/2011,52.91,0.023328018
02/03/2011,51.69,0.016187579
01/03/2011,50.86,-0.021012446
28/02/2011,51.94,-0.000192511
25/02/2011,51.95,0.009865638
24/02/2011,51.44,-0.002524028
23/02/2011,51.57,-0.025274177
22/02/2011,52.89,-0.008847117
18/02/2011,53.36,0.003567074
17/02/2011,53.17,-0.003567074
16/02/2011,53.36,0.014345282
15/02/2011,52.6,0.002855785
14/02/2011,52.45,0.012856361
11/02/2011,51.78,0.037584355
10/02/2011,49.87,-0.00997614
09/02/2011,50.37,0.018029335
08/02/2011,49.47,0.009954374
07/02/2011,48.98,0.008817857
04/02/2011,48.55,0.001236604
03/02/2011,48.49,0.029509309
02/02/2011,47.08,0.004897274
01/02/2011,46.85,0.007498696
31/01/2011,46.5,0.011028331
28/01/2011,45.99,-0.008013037
27/01/2011,46.36,-0.001508784
26/01/2011,46.43,0.000861883
25/01/2011,46.39,-0.015189082
24/01/2011,47.1,0.000212337
21/01/2011,47.09,-0.015174158
20/01/2011,47.81,0.004822318
19/01/2011,47.58,-0.010869672
18/01/2011,48.1,0.00730311
14/01/2011,47.75,0.001467044
13/01/2011,47.68,-0.003141035
12/01/2011,47.83,0.00230246
11/01/2011,47.72,0.003358525
10/01/2011,47.56,-0.017714332
07/01/2011,48.41,-0.00226968
06/01/2011,48.52,-0.034238126
05/01/2011,50.21,-0.030016967
04/01/2011,51.74,-0.001737955
03/01/2011,51.83,0.0015447
31/12/2010,51.75,-0.004242197
30/12/2010,51.97,-0.003840988
29/12/2010,52.17,0.003263898
28/12/2010,52,-0.009569451
27/12/2010,52.5,-0.003232864
23/12/2010,52.67,-0.002465157
22/12/2010,52.8,0.004555817
21/12/2010,52.56,0.009558475
20/12/2010,52.06,-0.000384098
17/12/2010,52.08,0.01606538
16/12/2010,51.25,-0.002727983
15/12/2010,51.39,-0.011030591
14/12/2010,51.96,0.004823005
13/12/2010,51.71,-0.010005856
10/12/2010,52.23,-0.002485899
09/12/2010,52.36,-0.003241494
08/12/2010,52.53,-0.002091852
07/12/2010,52.64,0.011079387
06/12/2010,52.06,-0.001535509
03/12/2010,52.14,0.008087855
02/12/2010,51.72,0.007374378
01/12/2010,51.34,0.007625416
30/11/2010,50.95,-0.011513446
29/11/2010,51.54,-0.01826447
26/11/2010,52.49,-0.005320172
24/11/2010,52.77,0.018166672
23/11/2010,51.82,-0.021005164
22/11/2010,52.92,-0.007717685
19/11/2010,53.33,0.01492424
18/11/2010,52.54,0.016117003
17/11/2010,51.7,0.013828246
16/11/2010,50.99,-0.01072867
15/11/2010,51.54,-0.004645769
12/11/2010,51.78,-0.011711759
11/11/2010,52.39,0.002101845
10/11/2010,52.28,0.006717231
09/11/2010,51.93,-0.00843725
08/11/2010,52.37,-0.005712125
05/11/2010,52.67,0.003804456
04/11/2010,52.47,0.038268241
03/11/2010,50.5,-0.002768442
02/11/2010,50.64,-0.006495447
01/11/2010,50.97,0.001570784
29/10/2010,50.89,0.016643935
28/10/2010,50.05,0.009838449
27/10/2010,49.56,0.005462836
26/10/2010,49.29,0.013480596
25/10/2010,48.63,0.007223228
22/10/2010,48.28,0.000207147
21/10/2010,48.27,-0.001035304
20/10/2010,48.32,0.017326391
19/10/2010,47.49,-0.017947059
18/10/2010,48.35,0.002070394
15/10/2010,48.25,-0.000621568
14/10/2010,48.28,-0.005782751
13/10/2010,48.56,0.019127402
12/10/2010,47.64,0.002943033
11/10/2010,47.5,0.004642338
08/10/2010,47.28,0.007856501
07/10/2010,46.91,-0.002342171
06/10/2010,47.02,-0.011419029
05/10/2010,47.56,0.021035515
04/10/2010,46.57,-0.012165341
01/10/2010,47.14,-0.009290607
30/09/2010,47.58,-0.000420256
29/09/2010,47.6,0.011834458
28/09/2010,47.04,0.002980628
27/09/2010,46.9,0.005559133
24/09/2010,46.64,0.028048365
23/09/2010,45.35,-0.008344361
22/09/2010,45.73,-0.000437254
21/09/2010,45.75,-0.016260521
20/09/2010,46.5,0.018448706
17/09/2010,45.65,0.006372948
16/09/2010,45.36,-0.004179964
15/09/2010,45.55,0.012148134
14/09/2010,45,0.017937701
13/09/2010,44.2,0.010919126
10/09/2010,43.72,0.015443432
09/09/2010,43.05,0.011447386
08/09/2010,42.56,0.003766483
07/09/2010,42.4,-0.018229063
03/09/2010,43.18,0.019881371
02/09/2010,42.33,0.012360509
01/09/2010,41.81,0.039766186
31/08/2010,40.18,-0.004965253
30/08/2010,40.38,-0.009366595
27/08/2010,40.76,0.017572535
26/08/2010,40.05,-0.000998253
25/08/2010,40.09,0.000499002
24/08/2010,40.07,-0.016582486
23/08/2010,40.74,-0.014378218
20/08/2010,41.33,-0.006751894
19/08/2010,41.61,-0.022104287
18/08/2010,42.54,0.000470256
17/08/2010,42.52,0.012304935
16/08/2010,42,0.001429593
13/08/2010,41.94,-0.010200539
12/08/2010,42.37,-0.020787856
11/08/2010,43.26,-0.019004579
10/08/2010,44.09,-0.007906965
09/08/2010,44.44,-0.008514504
