Date,Close,KMX
09/12/2011,31.15,0.016834324
08/12/2011,30.63,-0.021318637
07/12/2011,31.29,-0.001277547
06/12/2011,31.33,0.00415801
05/12/2011,31.2,0.057045298
02/12/2011,29.47,0.009889254
01/12/2011,29.18,0.01449801
30/11/2011,28.76,0.009783446
29/11/2011,28.48,0.008462674
28/11/2011,28.24,0.04416208
25/11/2011,27.02,0.00780238
23/11/2011,26.81,-0.026501367
22/11/2011,27.53,0.009489122
21/11/2011,27.27,-0.012752951
18/11/2011,27.62,-0.009010694
17/11/2011,27.87,-0.011061665
16/11/2011,28.18,-0.007072165
15/11/2011,28.38,0.013123082
14/11/2011,28.01,-0.013827556
11/11/2011,28.4,0.000704473
10/11/2011,28.38,-0.00316623
09/11/2011,28.47,-0.037909433
08/11/2011,29.57,-0.010094298
07/11/2011,29.87,0.00033484
04/11/2011,29.86,-0.029044946
03/11/2011,30.74,0.017060781
02/11/2011,30.22,0.021743623
01/11/2011,29.57,-0.01643505
31/10/2011,30.06,-0.024643928
28/10/2011,30.81,-0.016417559
27/10/2011,31.32,0.033769443
26/10/2011,30.28,-0.014751948
25/10/2011,30.73,-0.022841591
24/10/2011,31.44,0.061658871
21/10/2011,29.56,0.056004896
20/10/2011,27.95,0.002148998
19/10/2011,27.89,-0.006433189
18/10/2011,28.07,0.028914194
17/10/2011,27.27,-0.033180108
14/10/2011,28.19,0.018618511
13/10/2011,27.67,-0.017553737
12/10/2011,28.16,0.010710563
11/10/2011,27.86,0.036553777
10/10/2011,26.86,0.048827395
07/10/2011,25.58,0.020138884
06/10/2011,25.07,0.041952803
05/10/2011,24.04,-0.009933857
04/10/2011,24.28,0.036489685
03/10/2011,23.41,-0.018620936
30/09/2011,23.85,-0.006269613
29/09/2011,24,-0.00041658
28/09/2011,24.01,-0.062558219
27/09/2011,25.56,0.020554083
26/09/2011,25.04,0.037433174
23/09/2011,24.12,-0.011951513
22/09/2011,24.41,-0.116644421
21/09/2011,27.43,-0.023420274
20/09/2011,28.08,-0.022536165
19/09/2011,28.72,-0.022720427
16/09/2011,29.38,0.029007559
15/09/2011,28.54,0.029513253
14/09/2011,27.71,0.027810062
13/09/2011,26.95,0.007448824
12/09/2011,26.75,0.016205367
09/09/2011,26.32,-0.023654191
08/09/2011,26.95,-0.01947517
07/09/2011,27.48,0.035936447
06/09/2011,26.51,0.001887862
02/09/2011,26.46,-0.036732009
01/09/2011,27.45,-0.023759217
31/08/2011,28.11,0.011809048
30/08/2011,27.78,0.006862949
29/08/2011,27.59,0.054369309
26/08/2011,26.13,0.006142054
25/08/2011,25.97,-0.026972195
24/08/2011,26.68,0.008658063
23/08/2011,26.45,0.030712587
22/08/2011,25.65,0.006257353
19/08/2011,25.49,-0.016728653
18/08/2011,25.92,-0.044149785
17/08/2011,27.09,-0.006622541
16/08/2011,27.27,-0.031404855
15/08/2011,28.14,0.004987542
12/08/2011,28,0.013302371
11/08/2011,27.63,0.042512408
10/08/2011,26.48,-0.031595269
09/08/2011,27.33,0.033485271
08/08/2011,26.43,-0.087610264
05/08/2011,28.85,0.017482963
04/08/2011,28.35,-0.063545965
03/08/2011,30.21,0.003647824
02/08/2011,30.1,-0.039731699
01/08/2011,31.32,-0.020541092
29/07/2011,31.97,-0.00964988
28/07/2011,32.28,-0.012315427
27/07/2011,32.68,-0.013977742
26/07/2011,33.14,0.019193278
25/07/2011,32.51,0.000307645
22/07/2011,32.5,0.003699141
21/07/2011,32.38,0.010243765
20/07/2011,32.05,-0.002804177
19/07/2011,32.14,-0.00031109
18/07/2011,32.15,-0.009904135
15/07/2011,32.47,0
14/07/2011,32.47,-0.010416761
13/07/2011,32.81,-0.008799935
12/07/2011,33.1,-0.012907278
11/07/2011,33.53,-0.026487717
08/07/2011,34.43,-0.008963483
07/07/2011,34.74,0.025952761
06/07/2011,33.85,0.005331766
05/07/2011,33.67,-0.000296956
01/07/2011,33.68,0.018277662
30/06/2011,33.07,0.007588441
29/06/2011,32.82,0.00060957
28/06/2011,32.8,0.01877267
27/06/2011,32.19,0.008109839
24/06/2011,31.93,-0.019231362
23/06/2011,32.55,-0.003373719
22/06/2011,32.66,0.067768881
21/06/2011,30.52,0.041477517
20/06/2011,29.28,0.001025115
17/06/2011,29.25,0.016894041
16/06/2011,28.76,0.027853026
15/06/2011,27.97,-0.016312418
14/06/2011,28.43,0.051237758
13/06/2011,27.01,0.006313856
10/06/2011,26.84,-0.009271344
09/06/2011,27.09,0.017501843
08/06/2011,26.62,-0.02778471
07/06/2011,27.37,-0.001460387
06/06/2011,27.41,-0.019151444
03/06/2011,27.94,-0.004285721
02/06/2011,28.06,-0.024292693
01/06/2011,28.75,-0.031161569
31/05/2011,29.66,0.006765926
27/05/2011,29.46,0.009207226
26/05/2011,29.19,0.011716192
25/05/2011,28.85,0.000693481
24/05/2011,28.83,0.000346921
23/05/2011,28.82,-0.01958489
20/05/2011,29.39,-0.019208678
19/05/2011,29.96,-0.007978766
18/05/2011,30.2,0
17/05/2011,30.2,-0.014137996
16/05/2011,30.63,-0.009746666
13/05/2011,30.93,-0.013806609
12/05/2011,31.36,-0.008256636
11/05/2011,31.62,-0.009442941
10/05/2011,31.92,0.004080998
09/05/2011,31.79,-0.000628931
06/05/2011,31.81,-0.062158294
05/05/2011,33.85,-0.018730428
04/05/2011,34.49,-0.000289897
03/05/2011,34.5,0.006980831
02/05/2011,34.26,-0.012761194
29/04/2011,34.7,0.034299126
28/04/2011,33.53,0.008987478
27/04/2011,33.23,0.006945521
26/04/2011,33,-0.007246409
25/04/2011,33.24,-0.00868659
21/04/2011,33.53,0.001492315
20/04/2011,33.48,0.035262012
19/04/2011,32.32,-0.015351852
18/04/2011,32.82,-0.01151179
15/04/2011,33.2,0.028721803
14/04/2011,32.26,-0.001239158
13/04/2011,32.3,0.013402102
12/04/2011,31.87,0.001255887
11/04/2011,31.83,-0.015276992
08/04/2011,32.32,0.000619003
07/04/2011,32.3,-0.006172859
06/04/2011,32.5,-0.003685508
05/04/2011,32.62,0.01856489
04/04/2011,32.02,-0.015802033
01/04/2011,32.53,0.01330671
31/03/2011,32.1,-0.074708593
30/03/2011,34.59,0.018675769
29/03/2011,33.95,0.028381293
28/03/2011,33,-0.000302984
25/03/2011,33.01,0.01649396
24/03/2011,32.47,0.005868743
23/03/2011,32.28,-0.010784267
22/03/2011,32.63,-0.035820233
21/03/2011,33.82,0.020915014
18/03/2011,33.12,0.008490045
17/03/2011,32.84,0.002439026
16/03/2011,32.76,-0.009115833
15/03/2011,33.06,0.006372347
14/03/2011,32.85,-0.018100042
11/03/2011,33.45,0.001495887
10/03/2011,33.4,-0.052490183
09/03/2011,35.2,0.006555532
08/03/2011,34.97,0.016433987
07/03/2011,34.4,-0.021568054
04/03/2011,35.15,-0.00652207
03/03/2011,35.38,0.014806649
02/03/2011,34.86,0.006619682
01/03/2011,34.63,-0.021143645
28/02/2011,35.37,0.003398474
25/02/2011,35.25,0.03581093
24/02/2011,34.01,-0.016910024
23/02/2011,34.59,-0.031305915
22/02/2011,35.69,-0.031442193
18/02/2011,36.83,0.011194656
17/02/2011,36.42,-0.004930166
16/02/2011,36.6,0.026018628
15/02/2011,35.66,0.00675298
14/02/2011,35.42,-0.000846621
11/02/2011,35.45,0.017644169
10/02/2011,34.83,0.005181359
09/02/2011,34.65,0.007531901
08/02/2011,34.39,0.004663372
07/02/2011,34.23,0.006153866
04/02/2011,34.02,0.02079077
03/02/2011,33.32,0.02123222
02/02/2011,32.62,-0.018828373
01/02/2011,33.24,0.017909114
31/01/2011,32.65,0.002146253
28/01/2011,32.58,-0.01007796
27/01/2011,32.91,0.02181011
26/01/2011,32.2,0.004357305
25/01/2011,32.06,-0.00559877
24/01/2011,32.24,-0.006184312
21/01/2011,32.44,0.016786219
20/01/2011,31.9,-0.002817344
19/01/2011,31.99,-0.001561768
18/01/2011,32.04,-0.013331464
14/01/2011,32.47,0.002775638
13/01/2011,32.38,0.00030888
12/01/2011,32.37,-0.00030888
11/01/2011,32.38,-0.001234568
10/01/2011,32.42,0.027836043
07/01/2011,31.53,-0.005377207
06/01/2011,31.7,-0.017821325
05/01/2011,32.27,0.026693373
04/01/2011,31.42,-0.03071379
03/01/2011,32.4,0.016179569
31/12/2010,31.88,-0.011539189
30/12/2010,32.25,-0.003405049
29/12/2010,32.36,0.016199731
28/12/2010,31.84,-0.01031098
27/12/2010,32.17,-0.012971152
23/12/2010,32.59,0.008938263
22/12/2010,32.3,-0.026578623
21/12/2010,33.17,-0.079091443
20/12/2010,35.9,0.010922949
17/12/2010,35.51,0.01360951
16/12/2010,35.03,0.008313076
15/12/2010,34.74,0.006932437
14/12/2010,34.5,-0.003472226
13/12/2010,34.62,0.002892684
10/12/2010,34.52,-0.002025757
09/12/2010,34.59,0.001736112
08/12/2010,34.53,0
07/12/2010,34.53,0.002319514
06/12/2010,34.45,-0.002898553
03/12/2010,34.55,0.026691715
02/12/2010,33.64,0.002678972
01/12/2010,33.55,0.019564206
30/11/2010,32.9,0.002739311
29/11/2010,32.81,-0.007590745
26/11/2010,33.06,-0.0093332
24/11/2010,33.37,0.016923946
