Date,Close,GPS
03/02/2012,21.71,0.008790249
02/02/2012,21.52,0.101135665
01/02/2012,19.45,0.024461277
31/01/2012,18.98,0.007934451
30/01/2012,18.83,-0.005296623
27/01/2012,18.93,0.007955491
26/01/2012,18.78,-0.011646505
25/01/2012,19,0.019665795
24/01/2012,18.63,-0.002680248
23/01/2012,18.68,0.002680248
20/01/2012,18.63,-0.038952293
19/01/2012,19.37,0.038415668
18/01/2012,18.64,0.020596934
17/01/2012,18.26,0
13/01/2012,18.26,0.00659343
12/01/2012,18.14,0.011086588
11/01/2012,17.94,-0.011086588
10/01/2012,18.14,0.004419897
09/01/2012,18.06,0.00332779
06/01/2012,18,-0.014888612
05/01/2012,18.27,-0.03284279
04/01/2012,18.88,0.017633372
03/01/2012,18.55,0
30/12/2011,18.55,-0.014450345
29/12/2011,18.82,-0.004241788
28/12/2011,18.9,-0.008429976
27/12/2011,19.06,0.023892828
23/12/2011,18.61,0.003229282
22/12/2011,18.55,0.002158662
21/12/2011,18.51,0.006504088
20/12/2011,18.39,0.034858301
19/12/2011,17.76,-0.029952322
16/12/2011,18.3,-0.003273325
15/12/2011,18.36,0.002727027
14/12/2011,18.31,-0.003815758
13/12/2011,18.38,-0.022061696
12/12/2011,18.79,-0.0031881
09/12/2011,18.85,0.013889112
08/12/2011,18.59,-0.0244433
07/12/2011,19.05,0.010023824
06/12/2011,18.86,-0.009498752
05/12/2011,19.04,0.018018506
02/12/2011,18.7,-0.005865119
01/12/2011,18.81,0.006400022
30/11/2011,18.69,0.039284921
29/11/2011,17.97,-0.001112347
28/11/2011,17.99,0.020781427
25/11/2011,17.62,-0.010163837
23/11/2011,17.8,-0.018369567
22/11/2011,18.13,-0.019662021
21/11/2011,18.49,-0.014496898
18/11/2011,18.76,-0.025784117
17/11/2011,19.25,-0.011877237
16/11/2011,19.48,-0.03381599
15/11/2011,20.15,-0.000992064
14/11/2011,20.17,-0.007901276
11/11/2011,20.33,0.032494736
10/11/2011,19.68,0.011241815
09/11/2011,19.46,-0.026871072
08/11/2011,19.99,0.004512417
07/11/2011,19.9,0.012642393
04/11/2011,19.65,-0.003048783
03/11/2011,19.71,0.03932219
02/11/2011,18.95,0.020256556
01/11/2011,18.57,-0.017614547
31/10/2011,18.9,-0.022496371
28/10/2011,19.33,-0.00515997
27/10/2011,19.43,0.041508454
26/10/2011,18.64,-0.000536337
25/10/2011,18.65,-0.018066379
24/10/2011,18.99,0.014854385
21/10/2011,18.71,0.024345265
20/10/2011,18.26,0.013230623
19/10/2011,18.02,0.01059982
18/10/2011,17.83,0.033070288
17/10/2011,17.25,-0.030262087
14/10/2011,17.78,-0.007843177
13/10/2011,17.92,0.003913899
12/10/2011,17.85,0.015241616
11/10/2011,17.58,-0.020270964
10/10/2011,17.94,0.036326355
07/10/2011,17.3,0.002314816
06/10/2011,17.26,0.019895331
05/10/2011,16.92,0.011292839
04/10/2011,16.73,0.048999391
03/10/2011,15.93,-0.019273211
30/09/2011,16.24,-0.032114241
29/09/2011,16.77,-0.002382372
28/09/2011,16.81,-0.024678103
27/09/2011,17.23,0.00116144
26/09/2011,17.21,0.053712194
23/09/2011,16.31,0.019189694
22/09/2011,16,-0.011805045
21/09/2011,16.19,-0.03221184
20/09/2011,16.72,-0.018370887
19/09/2011,17.03,-0.000587027
16/09/2011,17.04,-0.008182395
15/09/2011,17.18,0.027738574
14/09/2011,16.71,0.020556951
13/09/2011,16.37,0.010439149
12/09/2011,16.2,0.01242252
09/09/2011,16,-0.000624805
08/09/2011,16.01,-0.016723834
07/09/2011,16.28,0.036913794
06/09/2011,15.69,0.005752652
02/09/2011,15.6,-0.027191052
01/09/2011,16.03,-0.030109801
31/08/2011,16.52,-0.01203384
30/08/2011,16.72,-0.001195457
29/08/2011,16.74,0.027863704
26/08/2011,16.28,0.016099419
25/08/2011,16.02,-0.022223137
24/08/2011,16.38,-0.004872117
23/08/2011,16.46,0.022735234
22/08/2011,16.09,0.025174394
19/08/2011,15.69,0.010894052
18/08/2011,15.52,-0.056370589
17/08/2011,16.42,-0.001217286
16/08/2011,16.44,0.000608458
15/08/2011,16.43,-0.003645205
12/08/2011,16.49,0.011589029
11/08/2011,16.3,0.048391471
10/08/2011,15.53,-0.049617712
09/08/2011,16.32,0.044479615
08/08/2011,15.61,-0.070486524
05/08/2011,16.75,-0.013637923
04/08/2011,16.98,-0.123394796
03/08/2011,19.21,0.022638503
02/08/2011,18.78,-0.028865819
01/08/2011,19.33,0.002071466
29/07/2011,19.29,-0.011852754
28/07/2011,19.52,0.029108084
27/07/2011,18.96,-0.03217714
26/07/2011,19.58,0.003581482
25/07/2011,19.51,-0.00765896
22/07/2011,19.66,0.010225038
21/07/2011,19.46,0.011889517
20/07/2011,19.23,-0.002077923
19/07/2011,19.27,0.022567213
18/07/2011,18.84,-0.003708614
15/07/2011,18.91,0.005302239
14/07/2011,18.81,0.004796172
13/07/2011,18.72,-0.001601281
12/07/2011,18.75,0.005883943
11/07/2011,18.64,-0.018075984
08/07/2011,18.98,-0.015682496
07/07/2011,19.28,0.050529227
06/07/2011,18.33,0.008767179
05/07/2011,18.17,-0.006035684
01/07/2011,18.28,0.009895628
30/06/2011,18.1,0.007764875
29/06/2011,17.96,0.001671775
28/06/2011,17.93,0.010653311
27/06/2011,17.74,0.004519782
24/06/2011,17.66,-0.017957834
23/06/2011,17.98,0.013438052
22/06/2011,17.74,-0.022848584
21/06/2011,18.15,0.001102536
20/06/2011,18.13,0.016685593
17/06/2011,17.83,0.007317792
16/06/2011,17.7,-0.001129306
15/06/2011,17.72,-0.008429384
14/06/2011,17.87,0.020922448
13/06/2011,17.5,-0.012493064
10/06/2011,17.72,-0.005066152
09/06/2011,17.81,0.018130808
08/06/2011,17.49,-0.023729927
07/06/2011,17.91,0.004476784
06/06/2011,17.83,-0.005034976
03/06/2011,17.92,-0.011098893
02/06/2011,18.12,-0.042145621
01/06/2011,18.9,-0.026111144
31/05/2011,19.4,0.010362787
27/05/2011,19.2,0.008893598
26/05/2011,19.03,0.013756831
