Date,Close,CINF
09/11/2010,29.98,-0.012924786
08/11/2010,30.37,-0.012109459
05/11/2010,30.74,-0.005191446
04/11/2010,30.9,0.032563311
03/11/2010,29.91,0.001003512
02/11/2010,29.88,0.012799097
01/11/2010,29.5,0.001696353
29/10/2010,29.45,-0.004404547
28/10/2010,29.58,-0.025368517
27/10/2010,30.34,0.002309851
26/10/2010,30.27,-0.01280175
25/10/2010,30.66,0.005560112
22/10/2010,30.49,0.007902577
21/10/2010,30.25,-0.000330524
20/10/2010,30.26,0.015989681
19/10/2010,29.78,-0.011684326
18/10/2010,30.13,0.008666721
15/10/2010,29.87,-0.00133824
14/10/2010,29.91,0.001003512
13/10/2010,29.88,0.006715942
12/10/2010,29.68,0.005066723
11/10/2010,29.53,-0.000338581
08/10/2010,29.54,0.00203321
07/10/2010,29.48,-0.001017122
06/10/2010,29.51,0.001356392
05/10/2010,29.47,0.020223483
04/10/2010,28.88,0.001039321
01/10/2010,28.85,0.001040402
30/09/2010,28.82,0.004520961
29/09/2010,28.69,-0.009021574
28/09/2010,28.95,0.012513198
27/09/2010,28.59,-0.006623695
24/09/2010,28.78,0.030695654
23/09/2010,27.91,-0.01210841
22/09/2010,28.25,-0.019629092
21/09/2010,28.81,-0.008984165
20/09/2010,29.07,-0.004804402
17/09/2010,29.21,0.003085893
16/09/2010,29.12,0.000687049
15/09/2010,29.1,0.009668584
14/09/2010,28.82,0
13/09/2010,28.82,0.019622213
10/09/2010,28.26,0.00035392
09/09/2010,28.25,0.00996095
08/09/2010,27.97,0.005017932
07/09/2010,27.83,-0.016747229
03/09/2010,28.3,0.021429391
02/09/2010,27.7,0.003979025
01/09/2010,27.59,0.03391405
31/08/2010,26.67,0.002628122
30/08/2010,26.6,-0.023040781
27/08/2010,27.22,0.020787682
26/08/2010,26.66,-0.010447856
25/08/2010,26.94,0.005583487
24/08/2010,26.79,-0.000746269
23/08/2010,26.81,-0.004094553
20/08/2010,26.92,0.00334884
19/08/2010,26.83,-0.019926859
18/08/2010,27.37,0.0073341
17/08/2010,27.17,0.02045061
16/08/2010,26.62,-0.001876525
13/08/2010,26.67,0.001500938
12/08/2010,26.63,-0.004496074
11/08/2010,26.75,-0.026923994
10/08/2010,27.48,-0.012656108
09/08/2010,27.83,0.012292273
06/08/2010,27.49,-0.01980976
05/08/2010,28.04,-0.001781579
04/08/2010,28.09,0.0078628
03/08/2010,27.87,-0.012125684
02/08/2010,28.21,0.023673989
30/07/2010,27.55,-0.006872879
29/07/2010,27.74,0.001082056
28/07/2010,27.71,-0.011125182
27/07/2010,28.02,0.003575263
26/07/2010,27.92,0.013340742
23/07/2010,27.55,0.011316054
22/07/2010,27.24,0.027541748
21/07/2010,26.5,-0.02091189
20/07/2010,27.06,0.010401282
19/07/2010,26.78,0.005992527
16/07/2010,26.62,-0.032523192
15/07/2010,27.5,-0.00036357
14/07/2010,27.51,-0.003628451
13/07/2010,27.61,0.020860775
12/07/2010,27.04,-0.001478197
09/07/2010,27.08,0.00964757
08/07/2010,26.82,0.018818771
07/07/2010,26.32,0.030866648
06/07/2010,25.52,-0.000391773
02/07/2010,25.53,-0.001174398
01/07/2010,25.56,-0.012055367
30/06/2010,25.87,-0.012675415
29/06/2010,26.2,-0.033036037
28/06/2010,27.08,-0.010286645
25/06/2010,27.36,0.015098795
24/06/2010,26.95,-0.013635737
23/06/2010,27.32,-0.008020459
