Date,Close,TDC
11/04/2011,50.19,-0.002388061
08/04/2011,50.31,0.000596481
07/04/2011,50.28,0.010999011
06/04/2011,49.73,-0.013779549
05/04/2011,50.42,-0.001585415
04/04/2011,50.5,-0.001780592
01/04/2011,50.59,-0.002171982
31/03/2011,50.7,0.005934736
30/03/2011,50.4,-0.005934736
29/03/2011,50.7,0.005537989
28/03/2011,50.42,-0.014179048
25/03/2011,51.14,0.014575795
24/03/2011,50.4,0.004972661
23/03/2011,50.15,-0.000199382
22/03/2011,50.16,-0.002588354
21/03/2011,50.29,0.018868484
18/03/2011,49.35,0.011207453
17/03/2011,48.8,0.013201512
16/03/2011,48.16,0
15/03/2011,48.16,-0.012586569
14/03/2011,48.77,-0.018487068
11/03/2011,49.68,0.016848059
10/03/2011,48.85,-0.022468307
09/03/2011,49.96,-0.007775934
08/03/2011,50.35,0.008977616
07/03/2011,49.9,0.002206842
04/03/2011,49.79,-0.015148785
03/03/2011,50.55,0.060760635
02/03/2011,47.57,0.024902851
01/03/2011,46.4,-0.030144503
28/02/2011,47.82,0.007135392
25/02/2011,47.48,0.012930758
24/02/2011,46.87,0.003847803
23/02/2011,46.69,-0.024123049
22/02/2011,47.83,-0.033309
18/02/2011,49.45,0.012821993
17/02/2011,48.82,0.012573597
16/02/2011,48.21,0.008540829
15/02/2011,47.8,-0.01019886
14/02/2011,48.29,-0.013983366
11/02/2011,48.97,0.030478155
10/02/2011,47.5,0.056291916
09/02/2011,44.9,-0.013274531
08/02/2011,45.5,-0.004385972
07/02/2011,45.7,0.015213611
04/02/2011,45.01,0.022695053
03/02/2011,44,-0.00769757
02/02/2011,44.34,0.01156869
01/02/2011,43.83,0.019350984
31/01/2011,42.99,0.002562014
28/01/2011,42.88,-0.023280987
27/01/2011,43.89,-0.009975145
26/01/2011,44.33,0.016145888
25/01/2011,43.62,-0.04876833
24/01/2011,45.8,0.019623604
21/01/2011,44.91,-0.011512193
20/01/2011,45.43,-0.012686084
19/01/2011,46.01,-0.00065182
18/01/2011,46.04,-0.000217179
14/01/2011,46.05,0.01642073
13/01/2011,45.3,-0.007915609
12/01/2011,45.66,0.004389823
11/01/2011,45.46,0.023143
10/01/2011,44.42,0.006096891
07/01/2011,44.15,0.016212251
06/01/2011,43.44,0.016947591
05/01/2011,42.71,0.016763467
04/01/2011,42,-0.013715041
03/01/2011,42.58,0.033917748
31/12/2010,41.16,-0.011834458
30/12/2010,41.65,0.000720548
29/12/2010,41.62,-0.000720548
28/12/2010,41.65,-0.001918926
27/12/2010,41.73,-0.00382684
23/12/2010,41.89,-0.005000606
22/12/2010,42.1,-0.022546751
21/12/2010,43.06,0
20/12/2010,43.06,-0.010166446
17/12/2010,43.5,0.014821948
16/12/2010,42.86,0.000933707
15/12/2010,42.82,0.00867837
14/12/2010,42.45,0.000471254
13/12/2010,42.43,-0.014274257
10/12/2010,43.04,0.024936601
09/12/2010,41.98,0.003101517
08/12/2010,41.85,0.002152853
07/12/2010,41.76,-0.002152853
06/12/2010,41.85,0.007194276
03/12/2010,41.55,0.006761678
02/12/2010,41.27,-0.011324058
01/12/2010,41.74,0.015695119
30/11/2010,41.09,-0.001216101
29/11/2010,41.14,0.003408818
26/11/2010,41,-0.00365186
24/11/2010,41.15,0.016168897
23/11/2010,40.49,-0.016897672
22/11/2010,41.18,0.026576367
19/11/2010,40.1,0.003747662
18/11/2010,39.95,0.027663228
17/11/2010,38.86,-0.001542813
16/11/2010,38.92,-0.029369199
15/11/2010,40.08,-0.002989539
12/11/2010,40.2,-0.021167416
11/11/2010,41.06,0.000487211
10/11/2010,41.04,0.006845993
09/11/2010,40.76,0.000490798
08/11/2010,40.74,-0.007093096
05/11/2010,41.03,0.015226227
04/11/2010,40.41,0.004464293
03/11/2010,40.23,-0.015538603
02/11/2010,40.86,0.017529149
01/11/2010,40.15,0.019872368
29/10/2010,39.36,0.007395163
28/10/2010,39.07,-0.000511771
27/10/2010,39.09,0.018069671
26/10/2010,38.39,-0.007008465
25/10/2010,38.66,0.008050946
22/10/2010,38.35,-0.003124189
21/10/2010,38.47,0.017569614
20/10/2010,37.8,0.013047715
19/10/2010,37.31,-0.024882173
18/10/2010,38.25,-0.00936775
15/10/2010,38.61,0.007278431
14/10/2010,38.33,-0.003385861
13/10/2010,38.46,0.012295773
12/10/2010,37.99,0.003691987
11/10/2010,37.85,-0.006320801
08/10/2010,38.09,0.016945071
07/10/2010,37.45,0.000267058
06/10/2010,37.44,-0.058611536
05/10/2010,39.7,0.024994925
04/10/2010,38.72,-0.009254565
01/10/2010,39.08,0.013395357
30/09/2010,38.56,-0.010320009
29/09/2010,38.96,0.003342335
28/09/2010,38.83,0.025562164
27/09/2010,37.85,-0.018843792
24/09/2010,38.57,0.042638525
23/09/2010,36.96,0.003523516
22/09/2010,36.83,-0.015090559
21/09/2010,37.39,0.009134937
20/09/2010,37.05,0.072178971
17/09/2010,34.47,-0.006073771
16/09/2010,34.68,0.004914015
15/09/2010,34.51,0.012538435
14/09/2010,34.08,-0.030060067
13/09/2010,35.12,0.011166902
10/09/2010,34.73,0.005485794
09/09/2010,34.54,0.011355487
08/09/2010,34.15,0.031531464
07/09/2010,33.09,-0.048084768
03/09/2010,34.72,0.016553304
02/09/2010,34.15,0.011782169
01/09/2010,33.75,0.030382845
31/08/2010,32.74,0.028188331
30/08/2010,31.83,-0.019599321
27/08/2010,32.46,0.033519191
26/08/2010,31.39,0.056352937
25/08/2010,29.67,-0.009726724
24/08/2010,29.96,-0.00996355
23/08/2010,30.26,-0.007572053
20/08/2010,30.49,0.001969797
19/08/2010,30.43,-0.003935722
18/08/2010,30.55,0.005909407
17/08/2010,30.37,0.014593957
16/08/2010,29.93,0.004352928
13/08/2010,29.8,-0.006022099
12/08/2010,29.98,-0.0162121
11/08/2010,30.47,-0.033244953
10/08/2010,31.5,-0.003802286
09/08/2010,31.62,-0.022515022
06/08/2010,32.34,-0.010458416
05/08/2010,32.68,-0.043706447
04/08/2010,34.14,0.021016017
03/08/2010,33.43,0.005098227
02/08/2010,33.26,0.044889184
30/07/2010,31.8,-0.009701218
29/07/2010,32.11,-0.013609861
28/07/2010,32.55,-0.021878721
27/07/2010,33.27,-0.009274562
26/07/2010,33.58,0.018635947
23/07/2010,32.96,0.021466632
22/07/2010,32.26,0.018458212
21/07/2010,31.67,-0.012862922
20/07/2010,32.08,0.012231609
19/07/2010,31.69,0.010467978
16/07/2010,31.36,-0.022387818
15/07/2010,32.07,0.004061871
14/07/2010,31.94,0.01705125
13/07/2010,31.4,0.012820688
12/07/2010,31,-0.004827041
09/07/2010,31.15,0
08/07/2010,31.15,0.013900337
07/07/2010,30.72,0.036464099
06/07/2010,29.62,-0.007735031
02/07/2010,29.85,-0.010000083
01/07/2010,30.15,-0.010885808
30/06/2010,30.48,-0.025908185
29/06/2010,31.28,-0.045007596
28/06/2010,32.72,-0.005182148
25/06/2010,32.89,-0.004550288
24/06/2010,33.04,-0.023924586
23/06/2010,33.84,0.012189834
22/06/2010,33.43,-0.006856488
21/06/2010,33.66,-0.009461927
18/06/2010,33.98,0.001472537
17/06/2010,33.93,0.009178451
16/06/2010,33.62,-0.004451706
15/06/2010,33.77,0.023671517
14/06/2010,32.98,0.013123948
11/06/2010,32.55,0.002460783
10/06/2010,32.47,0.049884079
09/06/2010,30.89,-0.000323677
08/06/2010,30.9,0.008449839
07/06/2010,30.64,-0.029900958
04/06/2010,31.57,-0.039439982
03/06/2010,32.84,0.018439367
02/06/2010,32.24,0.014056143
01/06/2010,31.79,-0.004707368
28/05/2010,31.94,-0.00187676
27/05/2010,32,0.040171165
26/05/2010,30.74,-0.006485107
25/05/2010,30.94,-0.0067644
24/05/2010,31.15,-0.00224467
21/05/2010,31.22,0.008362866
20/05/2010,30.96,-0.032101914
19/05/2010,31.97,-0.000312744
18/05/2010,31.98,0.005330002
17/05/2010,31.81,-0.015286524
14/05/2010,32.3,-0.01779734
13/05/2010,32.88,0.042242305
12/05/2010,31.52,0.032895581
11/05/2010,30.5,-0.012705823
10/05/2010,30.89,0.049097754
07/05/2010,29.41,-0.026175991
06/05/2010,30.19,0.030264583
05/05/2010,29.29,0.014443167
04/05/2010,28.87,-0.022942283
03/05/2010,29.54,0.016038563
30/04/2010,29.07,-0.026143061
29/04/2010,29.84,-0.006014051
28/04/2010,30.02,0.001666945
27/04/2010,29.97,-0.028291361
26/04/2010,30.83,0.007488233
23/04/2010,30.6,0.000326851
22/04/2010,30.59,-0.000653595
21/04/2010,30.61,0.0082008
20/04/2010,30.36,0.004291144
19/04/2010,30.23,0.009305484
16/04/2010,29.95,-0.017869436
15/04/2010,30.49,0.036404087
14/04/2010,29.4,0.024097552
13/04/2010,28.7,0.002442004
12/04/2010,28.63,0.013361662
09/04/2010,28.25,-0.004238791
08/04/2010,28.37,-0.009821194
07/04/2010,28.65,-0.021409658
06/04/2010,29.27,-0.001024415
05/04/2010,29.3,-0.000682361
01/04/2010,29.32,0.014774363
31/03/2010,28.89,-0.009302393
30/03/2010,29.16,-0.000685636
29/03/2010,29.18,0.007567976
26/03/2010,28.96,0.025176155
25/03/2010,28.24,-0.020330178
24/03/2010,28.82,-0.019925084
23/03/2010,29.4,0.004431574
22/03/2010,29.27,0.01133838
19/03/2010,28.94,-0.008258822
18/03/2010,29.18,0.006877606
17/03/2010,28.98,-0.001723841
16/03/2010,29.03,-0.021806656
15/03/2010,29.67,-0.000336984
12/03/2010,29.68,-0.005711422
11/03/2010,29.85,0.00301963
10/03/2010,29.76,-0.019631308
09/03/2010,30.35,0.004623522
08/03/2010,30.21,-0.009553688
05/03/2010,30.5,0.001640689
04/03/2010,30.45,0.018896634
03/03/2010,29.88,-0.019881371
02/03/2010,30.48,-0.014009025
01/03/2010,30.91,0.013680995
26/02/2010,30.49,0.008894804
25/02/2010,30.22,0.003646614
24/02/2010,30.11,0.017082981
23/02/2010,29.6,0.004401565
22/02/2010,29.47,-0.012476979
19/02/2010,29.84,-0.006347107
18/02/2010,30.03,0.015098425
17/02/2010,29.58,0.00338639
16/02/2010,29.48,0.026118323
12/02/2010,28.72,0.012966714
11/02/2010,28.35,-0.009129277
10/02/2010,28.61,0.012662849
09/02/2010,28.25,0.008531868
08/02/2010,28.01,0.012574263
05/02/2010,27.66,-0.005048694
04/02/2010,27.8,-0.034644681
03/02/2010,28.78,-0.001041848
02/02/2010,28.81,0.023175195
01/02/2010,28.15,0.006414847
29/01/2010,27.97,-0.007125075
28/01/2010,28.17,-0.014449591
27/01/2010,28.58,0.00561405
26/01/2010,28.42,0.017391743
25/01/2010,27.93,-0.0261499
22/01/2010,28.67,-0.035295766
21/01/2010,29.7,-0.016032408
20/01/2010,30.18,0.005982072
19/01/2010,30,-0.002663117
15/01/2010,30.08,-0.009923998
14/01/2010,30.38,0.003627374
13/01/2010,30.27,-0.003298156
12/01/2010,30.37,-0.021821416
11/01/2010,31.04,0.008086733
08/01/2010,30.79,0.016042249
07/01/2010,30.3,-0.01148495
06/01/2010,30.65,-0.011031909
05/01/2010,30.99,0.003879733
04/01/2010,30.87,-0.017978012
31/12/2009,31.43,0.00766532
30/12/2009,31.19,0.004498722
29/12/2009,31.05,-0.001609011
28/12/2009,31.1,-0.017530329
24/12/2009,31.65,0.012398824
23/12/2009,31.26,0.016449331
22/12/2009,30.75,0.00162734
21/12/2009,30.7,-0.016475902
18/12/2009,31.21,-0.013683587
17/12/2009,31.64,-0.01381064
16/12/2009,32.08,0.032633975
