Date,Close,EA
18/06/2012,12.43,-0.000804182
15/06/2012,12.44,0.009693129
14/06/2012,12.32,0.002438035
13/06/2012,12.29,-0.039877692
12/06/2012,12.79,-0.002342836
11/06/2012,12.82,-0.049458539
08/06/2012,13.47,0.003718859
07/06/2012,13.42,-0.021379362
06/06/2012,13.71,0.042464481
05/06/2012,13.14,0.005341485
04/06/2012,13.07,-0.003818256
01/06/2012,13.12,-0.037401517
31/05/2012,13.62,-0.038175323
30/05/2012,14.15,-0.016123728
29/05/2012,14.38,0.011188928
25/05/2012,14.22,0
24/05/2012,14.22,-0.032517566
23/05/2012,14.69,0.029708575
22/05/2012,14.26,-0.008379937
21/05/2012,14.38,0.019663555
18/05/2012,14.1,-0.009880109
17/05/2012,14.24,-0.011867504
16/05/2012,14.41,0.006963816
15/05/2012,14.31,-0.004879759
14/05/2012,14.38,-0.013126268
11/05/2012,14.57,-0.009562914
10/05/2012,14.71,0.040935303
09/05/2012,14.12,-0.025176155
08/05/2012,14.48,-0.043911141
07/05/2012,15.13,0.000661157
04/05/2012,15.12,-0.035729686
03/05/2012,15.67,-0.012682478
02/05/2012,15.87,0.02101319
01/05/2012,15.54,0.010349381
30/04/2012,15.38,0.0039088
27/04/2012,15.32,-0.03904496
26/04/2012,15.93,0.059487478
25/04/2012,15.01,0.008698616
24/04/2012,14.88,0.000672269
23/04/2012,14.87,-0.004026851
20/04/2012,14.93,0.011451792
19/04/2012,14.76,-0.020785193
18/04/2012,15.07,-0.013838771
17/04/2012,15.28,0.004591677
16/04/2012,15.21,-0.061822805
13/04/2012,16.18,-0.020795856
12/04/2012,16.52,0.038881788
11/04/2012,15.89,0.021629342
10/04/2012,15.55,-0.022258471
09/04/2012,15.9,-0.023003812
05/04/2012,16.27,0.000614817
04/04/2012,16.26,-0.023702112
03/04/2012,16.65,-0.003597126
02/04/2012,16.71,0.013253206
30/03/2012,16.49,0
29/03/2012,16.49,-0.018029335
28/03/2012,16.79,-0.013605652
