Date,Close,AMT
02/08/2011,50.5,-0.038839833
01/08/2011,52.5,-0.000571265
29/07/2011,52.53,-0.001331685
28/07/2011,52.6,0.026586039
27/07/2011,51.22,-0.0292441
26/07/2011,52.74,-0.000189591
25/07/2011,52.75,-0.010747723
22/07/2011,53.32,0.004699698
21/07/2011,53.07,0.010417747
20/07/2011,52.52,-0.007398307
19/07/2011,52.91,0.013126794
18/07/2011,52.22,-0.019156584
15/07/2011,53.23,0.01724344
14/07/2011,52.32,-0.015174798
13/07/2011,53.12,0.003961148
12/07/2011,52.91,-0.002830992
11/07/2011,53.06,-0.007884404
08/07/2011,53.48,-0.00373274
07/07/2011,53.68,-0.001117111
06/07/2011,53.74,0.00279512
05/07/2011,53.59,-0.012793351
01/07/2011,54.28,0.036586015
30/06/2011,52.33,0.001147228
29/06/2011,52.27,0.005178874
28/06/2011,52,0.002695938
27/06/2011,51.86,0.002123348
24/06/2011,51.75,-0.014198243
23/06/2011,52.49,0.010533469
22/06/2011,51.94,0.003085232
21/06/2011,51.78,0.021472619
20/06/2011,50.68,0.009516329
17/06/2011,50.2,0.001594897
16/06/2011,50.12,-0.01190018
15/06/2011,50.72,0.00019718
14/06/2011,50.71,0.012301742
13/06/2011,50.09,0.001798382
10/06/2011,50,0.003004509
09/06/2011,49.85,-0.006000018
08/06/2011,50.15,-0.022477287
07/06/2011,51.29,-0.00931503
06/06/2011,51.77,0.010876005
03/06/2011,51.21,-0.060061614
02/06/2011,54.38,0.004607878
01/06/2011,54.13,-0.024634035
31/05/2011,55.48,0.010327114
27/05/2011,54.91,-0.005629725
26/05/2011,55.22,0.01680098
25/05/2011,54.3,0.002950943
24/05/2011,54.14,0.018455179
23/05/2011,53.15,-0.009176954
20/05/2011,53.64,0.029514061
19/05/2011,52.08,-0.00153492
18/05/2011,52.16,-0.000766577
17/05/2011,52.2,-0.005730675
16/05/2011,52.5,-0.008346027
13/05/2011,52.94,-0.006964734
12/05/2011,53.31,-0.003931485
11/05/2011,53.52,-0.003171349
10/05/2011,53.69,0.011614968
09/05/2011,53.07,0.012514384
06/05/2011,52.41,-0.010439499
05/05/2011,52.96,0.023305735
04/05/2011,51.74,-0.014962873
03/05/2011,52.52,0.018835844
02/05/2011,51.54,-0.014829352
29/04/2011,52.31,-0.001337282
28/04/2011,52.38,-0.009311231
27/04/2011,52.87,0.02063899
26/04/2011,51.79,0.014391536
25/04/2011,51.05,-0.00508012
21/04/2011,51.31,0.00508012
20/04/2011,51.05,0.030428916
19/04/2011,49.52,-0.000807428
18/04/2011,49.56,-0.020372184
15/04/2011,50.58,0.0079397
14/04/2011,50.18,-0.003580668
13/04/2011,50.36,0.01460172
12/04/2011,49.63,-0.010024142
11/04/2011,50.13,-0.002987752
08/04/2011,50.28,-0.009698245
07/04/2011,50.77,-0.002557295
06/04/2011,50.9,0.003148369
05/04/2011,50.74,-0.023952075
04/04/2011,51.97,-0.006903191
01/04/2011,52.33,0.009793645
31/03/2011,51.82,0.001544998
30/03/2011,51.74,0.02405984
29/03/2011,50.51,0.010148331
28/03/2011,50,0.007226045
25/03/2011,49.64,0.01154911
24/03/2011,49.07,-0.008118575
23/03/2011,49.47,0.015276802
22/03/2011,48.72,0.044274513
21/03/2011,46.61,-0.082531645
18/03/2011,50.62,-0.008262884
17/03/2011,51.04,0.011825128
16/03/2011,50.44,0.008361586
15/03/2011,50.02,-0.003990428
14/03/2011,50.22,-0.011679832
11/03/2011,50.81,0.000590609
10/03/2011,50.78,-0.027388329
09/03/2011,52.19,0.001342153
08/03/2011,52.12,-0.018251457
07/03/2011,53.08,0.000188413
04/03/2011,53.07,-0.004887228
03/03/2011,53.33,0.019885136
02/03/2011,52.28,-0.008381001
01/03/2011,52.72,-0.023248141
28/02/2011,53.96,0.003713335
25/02/2011,53.76,0.017071984
24/02/2011,52.85,0.019102778
23/02/2011,51.85,-0.021559549
22/02/2011,52.98,-0.023872823
18/02/2011,54.26,-0.007161907
17/02/2011,54.65,-0.017593634
16/02/2011,55.62,-0.003410216
15/02/2011,55.81,-0.003577181
14/02/2011,56.01,-0.012772925
11/02/2011,56.73,0.030969986
10/02/2011,55,0.007482469
09/02/2011,54.59,0.005694881
08/02/2011,54.28,0.01148799
07/02/2011,53.66,0.001305361
04/02/2011,53.59,0.017126607
03/02/2011,52.68,0.014724427
02/02/2011,51.91,0.002507476
01/02/2011,51.78,0.017927214
31/01/2011,50.86,-0.00900378
28/01/2011,51.32,-0.013163179
27/01/2011,52,0.001154512
26/01/2011,51.94,0.011034862
25/01/2011,51.37,0.007032653
24/01/2011,51.01,0.009652394
21/01/2011,50.52,0.003966685
20/01/2011,50.32,0.022915576
19/01/2011,49.18,-0.006283592
18/01/2011,49.49,-0.007247867
14/01/2011,49.85,-0.017893122
13/01/2011,50.75,0.000985707
12/01/2011,50.7,0.00454681
11/01/2011,50.47,0.001189532
10/01/2011,50.41,-0.001783768
07/01/2011,50.5,-0.002373419
06/01/2011,50.62,-0.002761888
05/01/2011,50.76,-0.013890471
04/01/2011,51.47,-0.003103785
03/01/2011,51.63,-0.000193667
31/12/2010,51.64,0.003297452
30/12/2010,51.47,0.005650283
29/12/2010,51.18,0.00489669
28/12/2010,50.93,0.001768695
27/12/2010,50.84,0.006116227
23/12/2010,50.53,-0.005132266
22/12/2010,50.79,0.001379175
21/12/2010,50.72,-0.006485234
20/12/2010,51.05,0.028613118
17/12/2010,49.61,-0.007630559
16/12/2010,49.99,-0.002796646
15/12/2010,50.13,-0.00616488
14/12/2010,50.44,0.008561526
13/12/2010,50.01,-0.008957958
10/12/2010,50.46,-0.007699179
09/12/2010,50.85,-0.004317118
08/12/2010,51.07,-0.01342041
07/12/2010,51.76,-0.000193181
06/12/2010,51.77,0.00367683
03/12/2010,51.58,-0.00444918
02/12/2010,51.81,0.015169486
01/12/2010,51.03,0.00905518
30/11/2010,50.57,-0.004931463
29/11/2010,50.82,-0.018520853
26/11/2010,51.77,-0.005201823
24/11/2010,52.04,0.017250161
23/11/2010,51.15,-0.01320664
22/11/2010,51.83,-0.002120074
19/11/2010,51.94,0.006761351
18/11/2010,51.59,0.010718216
17/11/2010,51.04,0.009844537
16/11/2010,50.54,-0.018039705
15/11/2010,51.46,-0.017338134
12/11/2010,52.36,-0.014786999
11/11/2010,53.14,0.000564706
10/11/2010,53.11,0.017474329
09/11/2010,52.19,-0.003443003
08/11/2010,52.37,0.008629836
05/11/2010,51.92,-0.00939334
04/11/2010,52.41,0.005356814
03/11/2010,52.13,0.004807239
02/11/2010,51.88,0.001736279
01/11/2010,51.79,0.003481628
29/10/2010,51.61,-0.002515725
28/10/2010,51.74,0.020305266
27/10/2010,50.7,-0.002757536
26/10/2010,50.84,0.000590261
25/10/2010,50.81,0.011679832
22/10/2010,50.22,0.003990428
21/10/2010,50.02,-0.008559821
20/10/2010,50.45,0.013168586
19/10/2010,49.79,-0.013961136
18/10/2010,50.49,-0.006317889
15/10/2010,50.81,-0.011155806
14/10/2010,51.38,0.012140349
13/10/2010,50.76,0.002761888
12/10/2010,50.62,0.01212377
11/10/2010,50.01,-0.007172774
08/10/2010,50.37,-0.000793808
07/10/2010,50.41,-0.00672205
06/10/2010,50.75,-0.022021742
05/10/2010,51.88,0.015931948
04/10/2010,51.06,-0.010907782
01/10/2010,51.62,0.006998473
30/09/2010,51.26,-0.010286359
29/09/2010,51.79,-0.006159788
28/09/2010,52.11,0.005580694
27/09/2010,51.82,0.002511836
24/09/2010,51.69,0.021708098
23/09/2010,50.58,0.001582905
22/09/2010,50.5,0.000396118
21/09/2010,50.48,0.008155192
20/09/2010,50.07,0.01610665
17/09/2010,49.27,0.018642351
16/09/2010,48.36,-0.010695289
15/09/2010,48.88,0.003073458
14/09/2010,48.73,-0.005525441
13/09/2010,49,-0.001427552
10/09/2010,49.07,-0.000407498
09/09/2010,49.09,-0.005485032
08/09/2010,49.36,0.020260593
07/09/2010,48.37,0.003105914
03/09/2010,48.22,0.007911763
02/09/2010,47.84,0.012409456
01/09/2010,47.25,0.008288221
31/08/2010,46.86,0.008572706
30/08/2010,46.46,-0.019186263
27/08/2010,47.36,0.00550499
26/08/2010,47.1,-0.001273075
25/08/2010,47.16,0.020133471
24/08/2010,46.22,-0.015457586
23/08/2010,46.94,-0.010384749
20/08/2010,47.43,-0.001264223
19/08/2010,47.49,-0.011098428
18/08/2010,48.02,0.012784414
17/08/2010,47.41,0.029322593
16/08/2010,46.04,0.006100237
13/08/2010,45.76,-0.002836881
12/08/2010,45.89,0.014707762
11/08/2010,45.22,-0.031562093
10/08/2010,46.67,-0.001712696
09/08/2010,46.75,0
06/08/2010,46.75,-0.00448192
05/08/2010,46.96,0.000425985
04/08/2010,46.94,0.010278463
03/08/2010,46.46,-0.004938282
02/08/2010,46.69,0.009684785
