Date,Close,GE
16/09/2010,16.23,-0.006754708
15/09/2010,16.34,0.011077036
14/09/2010,16.16,-0.005553856
13/09/2010,16.25,0.016754968
10/09/2010,15.98,0.004390098
09/09/2010,15.91,0.01328713
08/09/2010,15.7,0.016699168
07/09/2010,15.44,0.003243597
03/09/2010,15.39,0.015717416
02/09/2010,15.15,0.009283886
01/09/2010,15.01,0.035948259
31/08/2010,14.48,-0.002758622
30/08/2010,14.52,-0.013000525
27/08/2010,14.71,0.014378885
26/08/2010,14.5,-0.004815971
25/08/2010,14.57,0
24/08/2010,14.57,-0.021725226
23/08/2010,14.89,-0.009358357
20/08/2010,15.03,-0.014531299
19/08/2010,15.25,-0.029081209
18/08/2010,15.7,0.007672672
17/08/2010,15.58,0.007731997
16/08/2010,15.46,0.005188079
13/08/2010,15.38,-0.00777206
12/08/2010,15.5,-0.012820688
11/08/2010,15.7,-0.034432196
10/08/2010,16.25,-0.00796817
09/08/2010,16.38,-0.004264399
06/08/2010,16.45,-0.004246291
05/08/2010,16.52,0.002424244
04/08/2010,16.48,0.00486619
03/08/2010,16.4,-0.00060957
02/08/2010,16.41,0.017830168
30/07/2010,16.12,-0.001859313
29/07/2010,16.15,0.0062112
28/07/2010,16.05,-0.008067062
27/07/2010,16.18,0.002475249
26/07/2010,16.14,0.027003211
23/07/2010,15.71,0.032344346
22/07/2010,15.21,0.024626869
21/07/2010,14.84,-0.006715942
20/07/2010,14.94,0.021651725
19/07/2010,14.62,0.004799461
16/07/2010,14.55,-0.046988509
15/07/2010,15.25,0.003284075
14/07/2010,15.2,-0.000657678
13/07/2010,15.21,0.018580495
12/07/2010,14.93,-0.001338688
09/07/2010,14.95,0.008059144
08/07/2010,14.83,0.014261702
07/07/2010,14.62,0.045478281
06/07/2010,13.97,0.006463218
02/07/2010,13.88,-0.017143277
01/07/2010,14.12,-0.0210239
30/06/2010,14.42,-0.004152255
29/06/2010,14.48,-0.035281814
28/06/2010,15,0.006018072
25/06/2010,14.91,-0.011337234
24/06/2010,15.08,-0.020348585
23/06/2010,15.39,-0.02565888
22/06/2010,15.79,-0.019442444
21/06/2010,16.1,0.009360443
18/06/2010,15.95,0.002510987
17/06/2010,15.91,0.003778342
16/06/2010,15.85,0.003792672
15/06/2010,15.79,0.02565888
14/06/2010,15.39,-0.010985571
11/06/2010,15.56,-0.007682496
10/06/2010,15.68,0.023226851
09/06/2010,15.32,-0.010389704
08/06/2010,15.48,0.004532219
07/06/2010,15.41,-0.019280803
04/06/2010,15.71,-0.046028025
03/06/2010,16.45,0.00609758
02/06/2010,16.35,0.022889957
01/06/2010,15.98,-0.022889957
28/05/2010,16.35,-0.018782739
27/05/2010,16.66,0.03979711
26/05/2010,16.01,0.003754698
25/05/2010,15.95,-0.003754698
24/05/2010,16.01,-0.025286577
21/05/2010,16.42,0.009792
20/05/2010,16.26,-0.059683582
19/05/2010,17.26,0.001739635
18/05/2010,17.23,-0.018971538
17/05/2010,17.56,-0.004545462
14/05/2010,17.64,-0.022976634
13/05/2010,18.05,-0.021376533
12/05/2010,18.44,0.02415046
11/05/2010,18,-0.002219757
10/05/2010,18.04,0.066462025
07/05/2010,16.88,-0.02515488
06/05/2010,17.31,-0.044627569
05/05/2010,18.1,-0.026173795
04/05/2010,18.58,-0.035944673
03/05/2010,19.26,0.020987129
30/04/2010,18.86,-0.032858236
29/04/2010,19.49,0.028097582
28/04/2010,18.95,0.013280408
27/04/2010,18.7,-0.031581572
26/04/2010,19.3,0.011988676
23/04/2010,19.07,0.006312488
22/04/2010,18.95,-0.00421275
21/04/2010,19.03,0.001577702
20/04/2010,19,0.003162891
19/04/2010,18.94,-0.001582696
16/04/2010,18.97,-0.027555682
15/04/2010,19.5,0.007722046
14/04/2010,19.35,0.020888488
13/04/2010,18.95,0.012745791
12/04/2010,18.71,0.010206911
09/04/2010,18.52,-0.002157498
08/04/2010,18.56,0.003237995
07/04/2010,18.5,-0.005390849
06/04/2010,18.6,0.00377054
05/04/2010,18.53,0.010851978
01/04/2010,18.33,0.007117468
31/03/2010,18.2,-0.005479466
30/03/2010,18.3,-0.005449605
29/03/2010,18.4,0.003266198
26/03/2010,18.34,0.002183407
25/03/2010,18.3,-0.008163311
24/03/2010,18.45,0.006525309
23/03/2010,18.33,0.014285957
22/03/2010,18.07,0
19/03/2010,18.07,-0.006618888
18/03/2010,18.19,0.008280478
17/03/2010,18.04,-0.00166159
16/03/2010,18.07,0.044124805
15/03/2010,17.29,0.014564778
12/03/2010,17.04,0.033415997
11/03/2010,16.48,-0.001818733
10/03/2010,16.51,0.001212121
09/03/2010,16.49,0.013431215
08/03/2010,16.27,-0.004904976
05/03/2010,16.35,0.0147877
04/03/2010,16.11,0.004978231
03/03/2010,16.03,0.008142857
02/03/2010,15.9,0
01/03/2010,15.9,-0.010012599
26/02/2010,16.06,0.008755528
25/02/2010,15.92,-0.012484557
24/02/2010,16.12,0.010601908
23/02/2010,15.95,-0.01863408
22/02/2010,16.25,0.004935235
19/02/2010,16.17,-0.004319661
18/02/2010,16.24,0.005557285
17/02/2010,16.15,0.006834447
16/02/2010,16.04,0.031024964
12/02/2010,15.55,-0.014048762
11/02/2010,15.77,0.005085834
10/02/2010,15.69,0.005752652
09/02/2010,15.6,0
08/02/2010,15.6,-0.012105914
05/02/2010,15.79,-0.015708774
04/02/2010,16.04,-0.039124794
03/02/2010,16.68,-0.01014026
02/02/2010,16.85,0.036257748
01/02/2010,16.25,0.010516645
29/01/2010,16.08,-0.004962789
28/01/2010,16.16,-0.008626055
27/01/2010,16.3,-0.00306279
26/01/2010,16.35,-0.001222494
25/01/2010,16.37,0.016010194
22/01/2010,16.11,0.005602256
21/01/2010,16.02,-0.029522439
20/01/2010,16.5,-0.002421309
19/01/2010,16.54,0.0060643
15/01/2010,16.44,-0.01569133
14/01/2010,16.7,-0.007754289
13/01/2010,16.83,0.003571432
12/01/2010,16.77,0.000596481
11/01/2010,16.76,0.0095924
08/01/2010,16.6,0.021309787
07/01/2010,16.25,0.050483905
06/01/2010,15.45,-0.005164634
05/01/2010,15.53,0.005164634
04/01/2010,15.45,0.020929476
31/12/2009,15.13,-0.014435946
30/12/2009,15.35,-0.005846071
29/12/2009,15.44,0.006497749
28/12/2009,15.34,-0.006497749
24/12/2009,15.44,0.001944895
23/12/2009,15.41,-0.004532219
22/12/2009,15.48,-0.005797118
21/12/2009,15.57,-0.001283697
18/12/2009,15.59,-0.012747145
17/12/2009,15.79,0.006353262
16/12/2009,15.69,-0.003816799
15/12/2009,15.75,-0.012618464
14/12/2009,15.95,0.001882649
11/12/2009,15.92,0.019664446
10/12/2009,15.61,-0.003197956
09/12/2009,15.66,-0.003824096
08/12/2009,15.72,-0.022642477
07/12/2009,16.08,-0.007434978
04/12/2009,16.2,0.01242252
03/12/2009,16,-0.004365458
02/12/2009,16.07,-0.006203494
01/12/2009,16.17,0.009319732
30/11/2009,16.02,0.005006268
27/11/2009,15.94,-0.014944238
25/11/2009,16.18,0.003715175
24/11/2009,16.12,0.006222795
23/11/2009,16.02,0.027208259
20/11/2009,15.59,-0.010845401
19/11/2009,15.76,-0.020722877
18/11/2009,16.09,0.004360019
17/11/2009,16.02,0.001249219
16/11/2009,16,0.021479032
13/11/2009,15.66,-0.005730675
12/11/2009,15.75,-0.005066509
11/11/2009,15.83,0.003163558
10/11/2009,15.78,-0.004426185
