Date,Close,ETFC
12/09/2012,9.32,0.04162704
11/09/2012,8.94,0.021481889
10/09/2012,8.75,-0.03481542
07/09/2012,9.06,0.023451661
06/09/2012,8.85,0.033317269
05/09/2012,8.56,-0.003498546
04/09/2012,8.59,0.002331003
31/08/2012,8.57,0.008201569
30/08/2012,8.5,-0.014018921
29/08/2012,8.62,0.002322881
28/08/2012,8.6,0.024721683
27/08/2012,8.39,-0.013025643
24/08/2012,8.5,0.011834458
23/08/2012,8.4,-0.038533664
22/08/2012,8.73,0.005743841
21/08/2012,8.68,0
20/08/2012,8.68,0.012753796
17/08/2012,8.57,0.00233645
16/08/2012,8.55,0.002341921
15/08/2012,8.53,-0.016279429
14/08/2012,8.67,0.018626848
13/08/2012,8.51,0.010632114
10/08/2012,8.42,-0.017657904
09/08/2012,8.57,0.066329311
08/08/2012,8.02,-0.004975135
07/08/2012,8.06,0.017522351
06/08/2012,7.92,0.007604599
03/08/2012,7.86,0.069811091
02/08/2012,7.33,-0.055717327
01/08/2012,7.75,0.015604998
31/07/2012,7.63,0.011865663
30/07/2012,7.54,0.00132714
27/07/2012,7.53,0.036515213
26/07/2012,7.26,0.011080446
25/07/2012,7.18,0
24/07/2012,7.18,-0.002781643
23/07/2012,7.2,-0.026046709
20/07/2012,7.39,-0.05655682
19/07/2012,7.82,-0.010178205
18/07/2012,7.9,-0.016321768
17/07/2012,8.03,-0.001244555
16/07/2012,8.04,0.021371021
13/07/2012,7.87,0.05082527
12/07/2012,7.48,-0.022472856
11/07/2012,7.65,0.015810606
10/07/2012,7.53,-0.002652521
09/07/2012,7.55,-0.037691271
06/07/2012,7.84,-0.028914648
05/07/2012,8.07,-0.008636698
03/07/2012,8.14,0.013605652
02/07/2012,8.03,-0.001244555
29/06/2012,8.04,0.054965911
28/06/2012,7.61,0.007915609
27/06/2012,7.55,0.006644543
26/06/2012,7.5,0.004008021
25/06/2012,7.47,-0.045789555
22/06/2012,7.82,-0.001277955
21/06/2012,7.83,-0.042506399
20/06/2012,8.17,0.016039826
19/06/2012,8.04,0.025190249
18/06/2012,7.84,-0.016445658
15/06/2012,7.97,-0.002506267
14/06/2012,7.99,0.015132697
13/06/2012,7.87,-0.011370937
12/06/2012,7.96,0.011370937
11/06/2012,7.87,-0.039855835
08/06/2012,8.19,0
07/06/2012,8.19,-0.012136071
06/06/2012,8.29,0.028136413
05/06/2012,8.06,0.02512695
04/06/2012,7.86,-0.023885485
01/06/2012,8.05,-0.053216909
31/05/2012,8.49,-0.004700361
30/05/2012,8.53,-0.04358488
29/05/2012,8.91,0.026152713
25/05/2012,8.68,-0.009174376
24/05/2012,8.76,-0.015855372
23/05/2012,8.9,0.01471447
22/05/2012,8.77,0.013777485
21/05/2012,8.65,0.022210147
18/05/2012,8.46,-0.01641303
17/05/2012,8.6,-0.024125237
16/05/2012,8.81,-0.030186753
15/05/2012,9.08,-0.015300845
14/05/2012,9.22,-0.039345851
11/05/2012,9.59,-0.00520022
10/05/2012,9.64,0
09/05/2012,9.64,-0.009292788
08/05/2012,9.73,-0.015298616
07/05/2012,9.88,-0.010070579
04/05/2012,9.98,-0.020823757
03/05/2012,10.19,-0.026151611
02/05/2012,10.46,-0.025485098
01/05/2012,10.73,0.009363364
30/04/2012,10.63,-0.009363364
27/04/2012,10.73,0.005607491
26/04/2012,10.67,0
25/04/2012,10.67,0.024669183
24/04/2012,10.41,0.013539859
23/04/2012,10.27,-0.020241655
20/04/2012,10.48,0.058956167
19/04/2012,9.88,-0.009068072
18/04/2012,9.97,-0.013944449
17/04/2012,10.11,0.019980685
16/04/2012,9.91,-0.015022816
13/04/2012,10.06,-0.057931254
12/04/2012,10.66,0.032414659
11/04/2012,10.32,0.026511126
10/04/2012,10.05,-0.032308243
09/04/2012,10.38,-0.026617541
05/04/2012,10.66,-0.002810306
04/04/2012,10.69,-0.033121703
03/04/2012,11.05,-0.003613373
02/04/2012,11.09,0.012704345
30/03/2012,10.95,0.004576667
29/03/2012,10.9,-0.011856044
28/03/2012,11.03,-0.014401689
27/03/2012,11.19,-0.015077891
26/03/2012,11.36,0.007954085
23/03/2012,11.27,0.021525495
22/03/2012,11.03,-0.020637789
21/03/2012,11.26,0.003558723
20/03/2012,11.22,0
19/03/2012,11.22,0.016172859
16/03/2012,11.04,0.008185585
15/03/2012,10.95,0.05153365
14/03/2012,10.4,0.034233172
13/03/2012,10.05,0.047895043
12/03/2012,9.58,-0.009350717
09/03/2012,9.67,-0.001033592
08/03/2012,9.68,0.029352212
07/03/2012,9.4,0.01392631
06/03/2012,9.27,-0.046372903
05/03/2012,9.71,-0.02842831
02/03/2012,9.99,0.015128882
01/03/2012,9.84,0.020534602
29/02/2012,9.64,-0.004140793
28/02/2012,9.68,0.002068253
27/02/2012,9.66,0
24/02/2012,9.66,0.017755036
23/02/2012,9.49,0.018075984
22/02/2012,9.32,-0.01912917
21/02/2012,9.5,0.015915455
17/02/2012,9.35,0.009672295
16/02/2012,9.26,0.009766762
15/02/2012,9.17,0.010965022
14/02/2012,9.07,-0.026116827
13/02/2012,9.31,0.010799241
10/02/2012,9.21,0.002173914
09/02/2012,9.19,0.006550242
08/02/2012,9.13,0.003291281
07/02/2012,9.1,-0.013100624
06/02/2012,9.22,0.003259101
03/02/2012,9.19,0.037698477
02/02/2012,8.85,0.038001118
01/02/2012,8.52,0.039502443
31/01/2012,8.19,-0.009720611
30/01/2012,8.27,0.009720611
27/01/2012,8.19,0.024723138
26/01/2012,7.99,-0.158254531
25/01/2012,9.36,-0.020095864
24/01/2012,9.55,-0.00730311
23/01/2012,9.62,-0.004149384
20/01/2012,9.66,0.004149384
19/01/2012,9.62,0.027398974
18/01/2012,9.36,0.017241806
17/01/2012,9.2,-0.004338402
13/01/2012,9.24,-0.001081666
12/01/2012,9.25,0.025179217
11/01/2012,9.02,0.015642777
10/01/2012,8.88,0.043735394
09/01/2012,8.5,0.002355714
06/01/2012,8.48,-0.011723464
05/01/2012,8.58,0.018824085
04/01/2012,8.42,-0.007100622
03/01/2012,8.48,0.06328145
30/12/2011,7.96,-0.001255493
29/12/2011,7.97,0.031870129
28/12/2011,7.72,-0.003878479
27/12/2011,7.75,-0.025479085
23/12/2011,7.95,0.003780723
22/12/2011,7.92,0.001263424
21/12/2011,7.91,0.002531647
20/12/2011,7.89,0.052027337
19/12/2011,7.49,-0.030245567
16/12/2011,7.72,-0.023048395
15/12/2011,7.9,-0.028698164
14/12/2011,8.13,-0.05387299
13/12/2011,8.58,-0.011587615
12/12/2011,8.68,-0.026152713
09/12/2011,8.91,0.025001302
08/12/2011,8.69,-0.054854265
07/12/2011,9.18,0.003273325
06/12/2011,9.15,-0.021622464
05/12/2011,9.35,0.030404079
02/12/2011,9.07,0.018920987
01/12/2011,8.9,-0.030975928
30/11/2011,9.18,0.053704179
29/11/2011,8.7,0.013889112
28/11/2011,8.58,0.052643733
25/11/2011,8.14,0.012361097
23/11/2011,8.04,-0.026995504
22/11/2011,8.26,-0.016807118
21/11/2011,8.4,0.020445691
18/11/2011,8.23,0.006093864
17/11/2011,8.18,-0.02534837
16/11/2011,8.39,-0.03743127
15/11/2011,8.71,-0.012550079
14/11/2011,8.82,-0.030153038
11/11/2011,9.09,-0.042009408
10/11/2011,9.48,-0.035236806
09/11/2011,9.82,-0.098821874
08/11/2011,10.84,0.019562804
07/11/2011,10.63,0.005660392
04/11/2011,10.57,-0.007540092
03/11/2011,10.65,0.030507609
02/11/2011,10.33,0.034469193
01/11/2011,9.98,-0.08358199
31/10/2011,10.85,-0.069422887
28/10/2011,11.63,0.019097803
27/10/2011,11.41,0.068930272
26/10/2011,10.65,0.034387342
25/10/2011,10.29,-0.027792877
24/10/2011,10.58,0.055380833
21/10/2011,10.01,0.043907001
20/10/2011,9.58,0.018967903
19/10/2011,9.4,-0.026248226
18/10/2011,9.65,0.035868824
17/10/2011,9.31,-0.051293294
14/10/2011,9.8,0.009226103
13/10/2011,9.71,-0.01126484
12/10/2011,9.82,0.058717074
11/10/2011,9.26,-0.011809048
10/10/2011,9.37,0.071893858
07/10/2011,8.72,-0.015927527
06/10/2011,8.86,0.043836315
05/10/2011,8.48,0.007100622
04/10/2011,8.42,0.007151401
03/10/2011,8.36,-0.085914284
30/09/2011,9.11,-0.048215016
29/09/2011,9.56,0.015814773
28/09/2011,9.41,-0.052779968
27/09/2011,9.92,0.019339025
26/09/2011,9.73,0.001028278
23/09/2011,9.72,0.011381395
22/09/2011,9.61,-0.064473483
21/09/2011,10.25,-0.042966036
20/09/2011,10.7,-0.026742027
19/09/2011,10.99,-0.056602198
16/09/2011,11.63,0.016471981
15/09/2011,11.44,0.019418086
14/09/2011,11.22,0.024358444
13/09/2011,10.95,0.019364367
12/09/2011,10.74,0
09/09/2011,10.74,-0.048169239
08/09/2011,11.27,-0.027998329
