Date,Close,SYMC
24/11/2009,17.94,-0.003894303
23/11/2009,18.01,0.016233214
20/11/2009,17.72,-0.008429384
19/11/2009,17.87,-0.005580372
18/11/2009,17.97,0.008382279
17/11/2009,17.82,0.001122965
16/11/2009,17.8,0.019858809
13/11/2009,17.45,0.006323677
12/11/2009,17.34,-0.014314587
11/11/2009,17.59,-0.003405225
10/11/2009,17.65,-0.003393668
09/11/2009,17.71,0.01651048
06/11/2009,17.42,-0.001720677
05/11/2009,17.45,0.012687598
04/11/2009,17.23,-0.001160093
03/11/2009,17.25,-0.007507976
02/11/2009,17.38,-0.011441772
30/10/2009,17.58,-0.009060085
29/10/2009,17.74,0.12025226
28/10/2009,15.73,-0.026969336
27/10/2009,16.16,-0.017178337
26/10/2009,16.44,-0.013293247
23/10/2009,16.66,-0.014302985
22/10/2009,16.9,0.006530151
21/10/2009,16.79,0.021674539
20/10/2009,16.43,-0.021674539
19/10/2009,16.79,0.009575178
16/10/2009,16.63,-0.004799049
15/10/2009,16.71,-0.00893661
14/10/2009,16.86,-0.002369669
13/10/2009,16.9,0.02820469
12/10/2009,16.43,-0.012099361
09/10/2009,16.63,0.011490904
08/10/2009,16.44,-0.007272759
07/10/2009,16.56,0.009708814
06/10/2009,16.4,0.010419953
05/10/2009,16.23,0.015523441
02/10/2009,15.98,0.006277485
01/10/2009,15.88,-0.036480088
30/09/2009,16.47,0.027702603
29/09/2009,16.02,0.003125979
28/09/2009,15.97,0.021519818
25/09/2009,15.63,0.021993124
24/09/2009,15.29,-0.013641004
23/09/2009,15.5,-0.002577321
22/09/2009,15.54,-0.012152372
21/09/2009,15.73,0.0050988
18/09/2009,15.65,-0.02399105
17/09/2009,16.03,0.00124844
