Date,Close,DFS
03/02/2012,28.22,0.016795106
02/02/2012,27.75,0.001081666
01/02/2012,27.72,0.019672766
31/01/2012,27.18,-0.004038926
30/01/2012,27.29,0.00551168
27/01/2012,27.14,-0.029766263
26/01/2012,27.96,0.018408749
25/01/2012,27.45,-0.013748408
24/01/2012,27.83,0.003239161
23/01/2012,27.74,0.012697432
20/01/2012,27.39,0.009537857
19/01/2012,27.13,0.007770622
18/01/2012,26.92,-0.002967361
17/01/2012,27,0.018314846
13/01/2012,26.51,0.006813047
12/01/2012,26.33,0.0180116
11/01/2012,25.86,0.008153802
10/01/2012,25.65,0.049960439
09/01/2012,24.4,0.004106782
06/01/2012,24.3,-0.009012761
05/01/2012,24.52,0.008601323
04/01/2012,24.31,0.004122017
03/01/2012,24.21,0.008711941
30/12/2011,24,-0.005816385
29/12/2011,24.14,0.007901892
28/12/2011,23.95,-0.009971001
27/12/2011,24.19,-0.012325546
23/12/2011,24.49,0.007788521
22/12/2011,24.3,0.005364156
21/12/2011,24.17,-0.002066543
20/12/2011,24.22,0.027204021
19/12/2011,23.57,-0.027616818
16/12/2011,24.23,0.049058463
15/12/2011,23.07,-0.031992492
14/12/2011,23.82,-0.002515725
13/12/2011,23.88,-0.013724482
12/12/2011,24.21,-0.021655596
09/12/2011,24.74,0.031618319
08/12/2011,23.97,-0.02309381
07/12/2011,24.53,0.006133734
06/12/2011,24.38,-0.005318073
05/12/2011,24.51,0.012315427
02/12/2011,24.21,0.007046661
01/12/2011,24.04,0.009193546
30/11/2011,23.82,0.046400076
29/11/2011,22.74,-0.018301164
28/11/2011,23.16,0.008673081
25/11/2011,22.96,0.002180075
23/11/2011,22.91,-0.013009724
22/11/2011,23.21,0.015194562
21/11/2011,22.86,-0.007409055
18/11/2011,23.03,0.014873415
17/11/2011,22.69,-0.044394275
16/11/2011,23.72,-0.048950755
15/11/2011,24.91,0.014150226
14/11/2011,24.56,-0.00851414
11/11/2011,24.77,0.042471854
10/11/2011,23.74,0.003798274
09/11/2011,23.65,-0.037755988
08/11/2011,24.56,-0.006493529
07/11/2011,24.72,0.008939515
04/11/2011,24.5,-0.004479747
03/11/2011,24.61,0.043178147
02/11/2011,23.57,0.031461332
01/11/2011,22.84,-0.031036974
31/10/2011,23.56,-0.038306099
28/10/2011,24.48,-0.001632653
27/10/2011,24.52,0.05103575
26/10/2011,23.3,0.016443469
25/10/2011,22.92,-0.064620324
24/10/2011,24.45,0.054635435
21/10/2011,23.15,0.029813694
20/10/2011,22.47,0.017056069
19/10/2011,22.09,-0.042540752
18/10/2011,23.05,0.007839761
17/10/2011,22.87,-0.053629872
14/10/2011,24.13,-0.004548282
13/10/2011,24.24,-0.047925418
12/10/2011,25.43,0.019055757
11/10/2011,24.95,0.017384711
10/10/2011,24.52,0.04632583
07/10/2011,23.41,-0.024473795
06/10/2011,23.99,0.042577738
05/10/2011,22.99,0.00567068
04/10/2011,22.86,0.026597313
03/10/2011,22.26,-0.030090766
30/09/2011,22.94,-0.0283646
29/09/2011,23.6,-0.011794576
28/09/2011,23.88,-0.040218798
27/09/2011,24.86,-0.045989633
26/09/2011,26.03,0.026470989
23/09/2011,25.35,0.003952574
22/09/2011,25.25,-0.003558019
21/09/2011,25.34,-0.055644509
20/09/2011,26.79,0.01960108
19/09/2011,26.27,-0.007584413
16/09/2011,26.47,0.010634358
15/09/2011,26.19,0.015003167
14/09/2011,25.8,0.028303776
13/09/2011,25.08,0.00199561
12/09/2011,25.03,0.045360176
09/09/2011,23.92,-0.023141529
08/09/2011,24.48,-0.01339034
07/09/2011,24.81,0.037786836
06/09/2011,23.89,-0.013718777
02/09/2011,24.22,-0.025276519
01/09/2011,24.84,-0.012800175
31/08/2011,25.16,0.009584738
30/08/2011,24.92,-0.007595479
29/08/2011,25.11,0.012825827
26/08/2011,24.79,0.015857214
25/08/2011,24.4,-0.017469467
24/08/2011,24.83,0.038174141
23/08/2011,23.9,0.027573327
22/08/2011,23.25,0.014731636
19/08/2011,22.91,0.003936152
18/08/2011,22.82,-0.050416486
17/08/2011,24,0.012578782
16/08/2011,23.7,-0.007147392
15/08/2011,23.87,0.022882354
12/08/2011,23.33,-0.007260335
11/08/2011,23.5,0.071427444
10/08/2011,21.88,-0.033703482
09/08/2011,22.63,0.087694533
08/08/2011,20.73,-0.096493534
05/08/2011,22.83,-0.026368504
04/08/2011,23.44,-0.059620303
03/08/2011,24.88,0.007665965
02/08/2011,24.69,-0.036194048
01/08/2011,25.6,-0.000390549
