Date,Close,BK
14/06/2012,20.9,0.014943638
13/06/2012,20.59,-0.004361529
12/06/2012,20.68,0.023979617
11/06/2012,20.19,-0.015237454
08/06/2012,20.5,0
07/06/2012,20.5,0.011282926
06/06/2012,20.27,0.031573658
05/06/2012,19.64,0.006641148
04/06/2012,19.51,-0.007150184
01/06/2012,19.65,-0.035494853
31/05/2012,20.36,-0.001472393
30/05/2012,20.39,-0.036122396
29/05/2012,21.14,0.02393604
25/05/2012,20.64,-0.004350986
24/05/2012,20.73,0.01115704
23/05/2012,20.5,0.005380302
22/05/2012,20.39,0.000981354
21/05/2012,20.37,0.006402386
18/05/2012,20.24,-0.007874056
17/05/2012,20.4,-0.01989874
16/05/2012,20.81,-0.015260191
15/05/2012,21.13,-0.01269709
14/05/2012,21.4,-0.031734095
11/05/2012,22.09,-0.006317711
10/05/2012,22.23,0.001800991
09/05/2012,22.19,-0.030184271
08/05/2012,22.87,-0.010006609
07/05/2012,23.1,0.001299545
04/05/2012,23.07,-0.017615923
03/05/2012,23.48,-0.018147787
02/05/2012,23.91,-0.00083612
01/05/2012,23.93,0.011769787
30/04/2012,23.65,-0.008001727
27/04/2012,23.84,0.005889794
26/04/2012,23.7,0.002111933
25/04/2012,23.65,0.017488183
24/04/2012,23.24,0.023950633
23/04/2012,22.69,-0.007026819
20/04/2012,22.85,0.003946508
19/04/2012,22.76,-0.013961832
18/04/2012,23.08,-0.030719139
17/04/2012,23.8,0.021661497
16/04/2012,23.29,0.00775866
13/04/2012,23.11,-0.035285276
12/04/2012,23.94,0.01982769
11/04/2012,23.47,0.015457586
10/04/2012,23.11,-0.009903203
09/04/2012,23.34,-0.020356937
05/04/2012,23.82,-0.013344652
04/04/2012,24.14,-0.021717715
03/04/2012,24.67,0.00732306
02/04/2012,24.49,0.014808991
30/03/2012,24.13,0.015031598
29/03/2012,23.77,-0.009629549
28/03/2012,24,0.004593869
27/03/2012,23.89,-0.028879895
26/03/2012,24.59,0.026371532
23/03/2012,23.95,0.010493276
22/03/2012,23.7,-0.014244062
21/03/2012,24.04,-0.013223333
20/03/2012,24.36,-0.006138755
19/03/2012,24.51,0.015210982
16/03/2012,24.14,-0.005782751
15/03/2012,24.28,0.045500688
14/03/2012,23.2,-0.003442344
13/03/2012,23.28,0.028760152
12/03/2012,22.62,0.008881053
09/03/2012,22.42,0.003574624
08/03/2012,22.34,0.022635643
07/03/2012,21.84,0.009199697
06/03/2012,21.64,-0.023745408
05/03/2012,22.16,-0.006297817
02/03/2012,22.3,-0.008039347
01/03/2012,22.48,0.01659603
29/02/2012,22.11,-0.010348799
28/02/2012,22.34,0.014427662
27/02/2012,22.02,0.016022316
24/02/2012,21.67,-0.016476345
23/02/2012,22.03,0.00866201
