Date,Close,HOG
03/10/2012,40.79,-0.031848289
02/10/2012,42.11,-0.004028919
01/10/2012,42.28,-0.002126404
28/09/2012,42.37,-0.002592812
27/09/2012,42.48,0.013031816
26/09/2012,41.93,-0.011146801
25/09/2012,42.4,-0.021927634
24/09/2012,43.34,-0.017157003
21/09/2012,44.09,-0.003848335
20/09/2012,44.26,-0.03070319
19/09/2012,45.64,0.00153492
18/09/2012,45.57,-0.016755914
17/09/2012,46.34,0.00021582
14/09/2012,46.33,0.013035162
13/09/2012,45.73,0.001750931
12/09/2012,45.65,0.013674673
11/09/2012,45.03,0.006908105
10/09/2012,44.72,0.016913246
07/09/2012,43.97,0.009827527
06/09/2012,43.54,0.045339533
05/09/2012,41.61,-0.001680874
04/09/2012,41.68,-0.006695386
31/08/2012,41.96,-0.010903166
30/08/2012,42.42,-0.014974543
29/08/2012,43.06,-0.003708859
28/08/2012,43.22,0.002780354
27/08/2012,43.1,0.012843142
24/08/2012,42.55,0.002824196
23/08/2012,42.43,-0.014274257
22/08/2012,43.04,0.00325809
21/08/2012,42.9,0.011487642
20/08/2012,42.41,0.003070022
17/08/2012,42.28,-0.003070022
16/08/2012,42.41,0.023378927
15/08/2012,41.43,0.006052554
14/08/2012,41.18,-0.005328179
13/08/2012,41.4,0.000966651
10/08/2012,41.36,-0.007707167
09/08/2012,41.68,-0.000239894
08/08/2012,41.69,-0.016179273
07/08/2012,42.37,0.010200539
06/08/2012,41.94,-0.01067246
03/08/2012,42.39,0.028474229
02/08/2012,41.2,-0.011343189
01/08/2012,41.67,-0.036753253
31/07/2012,43.23,-0.028729746
30/07/2012,44.49,-0.003365873
27/07/2012,44.64,0.032789823
26/07/2012,43.2,0.026505598
25/07/2012,42.07,-0.007577588
24/07/2012,42.39,-0.019853507
23/07/2012,43.24,-0.015376092
20/07/2012,43.91,-0.019619527
19/07/2012,44.78,0.017117535
18/07/2012,44.02,0.004097433
17/07/2012,43.84,0.000912825
16/07/2012,43.8,-0.003418807
13/07/2012,43.95,0.009602269
12/07/2012,43.53,-0.029204113
11/07/2012,44.82,-0.049406196
10/07/2012,47.09,0.030181209
09/07/2012,45.69,-0.00936724
06/07/2012,46.12,-0.016131117
05/07/2012,46.87,0.008570869
03/07/2012,46.47,0.014304535
02/07/2012,45.81,0.00174787
29/06/2012,45.73,0.023004775
28/06/2012,44.69,-0.00535596
27/06/2012,44.93,-0.027441081
26/06/2012,46.18,-0.03698615
25/06/2012,47.92,-0.023918666
22/06/2012,49.08,0.00797795
21/06/2012,48.69,-0.031337852
20/06/2012,50.24,-0.002981221
19/06/2012,50.39,0.016810482
18/06/2012,49.55,0.010957902
15/06/2012,49.01,-0.008533168
14/06/2012,49.43,0.023747278
13/06/2012,48.27,-0.022937725
12/06/2012,49.39,0.033350147
11/06/2012,47.77,-0.01845951
08/06/2012,48.66,0.013656326
07/06/2012,48,-0.00332779
06/06/2012,48.16,0.028431946
05/06/2012,46.81,0.017455459
04/06/2012,46,-0.005852406
01/06/2012,46.27,-0.040450194
31/05/2012,48.18,0.018010958
30/05/2012,47.32,-0.024424552
29/05/2012,48.49,0.020206916
25/05/2012,47.52,0.002739439
24/05/2012,47.39,-0.000843704
23/05/2012,47.43,-0.003367715
22/05/2012,47.59,0.008016921
21/05/2012,47.21,0.041961173
18/05/2012,45.27,-0.010328627
17/05/2012,45.74,-0.019270922
16/05/2012,46.63,-0.009179272
15/05/2012,47.06,-0.014765086
14/05/2012,47.76,-0.021336905
11/05/2012,48.79,-0.037808646
10/05/2012,50.67,0.003756801
09/05/2012,50.48,-0.004151434
08/05/2012,50.69,-0.016629553
07/05/2012,51.54,-0.006767888
04/05/2012,51.89,-0.021354482
03/05/2012,53.01,-0.008266062
02/05/2012,53.45,0.002622707
01/05/2012,53.31,0.01855411
30/04/2012,52.33,-0.010644465
27/04/2012,52.89,0.00018909
26/04/2012,52.88,-0.011469525
25/04/2012,53.49,0.060297511
24/04/2012,50.36,-0.004359032
23/04/2012,50.58,-0.02190154
20/04/2012,51.7,0.042071969
19/04/2012,49.57,-0.001813968
18/04/2012,49.66,0.005856828
17/04/2012,49.37,0.02793363
16/04/2012,48.01,-0.003119478
13/04/2012,48.16,-0.007447283
12/04/2012,48.52,0.019143323
11/04/2012,47.6,0.015668328
10/04/2012,46.86,-0.001279591
09/04/2012,46.92,-0.030849157
05/04/2012,48.39,-0.005153057
04/04/2012,48.64,-0.008801612
03/04/2012,49.07,-0.010944576
02/04/2012,49.61,0.010740806
30/03/2012,49.08,0.012300278
29/03/2012,48.48,-0.010668956
28/03/2012,49,-0.015993863
27/03/2012,49.79,-0.013763058
26/03/2012,50.48,0.028533179
23/03/2012,49.06,0.003062164
22/03/2012,48.91,-0.015620563
21/03/2012,49.68,0.005247237
20/03/2012,49.42,-0.001617469
