Date,Close,FSLR
22/01/2013,31.58,0.04866351
18/01/2013,30.08,-0.014849308
17/01/2013,30.53,-0.006204102
16/01/2013,30.72,-0.028875924
15/01/2013,31.62,0.013051275
14/01/2013,31.21,-0.025309798
11/01/2013,32.01,0.001250391
10/01/2013,31.97,0.001878523
09/01/2013,31.91,0.028287283
08/01/2013,31.02,-0.011219864
07/01/2013,31.37,-0.068376381
04/01/2013,33.59,-0.024118816
03/01/2013,34.41,0.072923866
02/01/2013,31.99,0.035962507
31/12/2012,30.86,0.034952453
28/12/2012,29.8,-0.007355433
27/12/2012,30.02,-0.020116095
26/12/2012,30.63,0.012153212
24/12/2012,30.26,-0.021576515
21/12/2012,30.92,-0.04211482
20/12/2012,32.25,-0.023898196
19/12/2012,33.03,0.031680337
18/12/2012,32,-0.000937061
17/12/2012,32.03,-0.016411578
14/12/2012,32.56,0.024562093
13/12/2012,31.77,-0.007213455
12/12/2012,32,0.029171377
11/12/2012,31.08,0.034367644
10/12/2012,30.03,0.004004009
07/12/2012,29.91,-0.026721036
06/12/2012,30.72,0.025718529
05/12/2012,29.94,0.011083237
04/12/2012,29.61,0.073926137
03/12/2012,27.5,0.018719578
30/11/2012,26.99,-0.001480933
29/11/2012,27.03,-0.006637193
28/11/2012,27.21,0.034776359
27/11/2012,26.28,0.037608619
26/11/2012,25.31,0.034569359
23/11/2012,24.45,-0.000817662
21/11/2012,24.47,0.024825437
20/11/2012,23.87,-0.01166194
19/11/2012,24.15,0.025583278
16/11/2012,23.54,0.01239597
15/11/2012,23.25,-0.008565363
14/11/2012,23.45,-0.039712637
13/11/2012,24.4,-0.041346447
12/11/2012,25.43,0.035217725
09/11/2012,24.55,0.016427474
08/11/2012,24.15,0.020075957
07/11/2012,23.67,-0.046231923
06/11/2012,24.79,0.06070026
05/11/2012,23.33,0.034448577
02/11/2012,22.54,-0.09353398
01/11/2012,24.75,0.018349139
31/10/2012,24.3,0.013673302
26/10/2012,23.97,0.008378767
25/10/2012,23.77,0.017399123
24/10/2012,23.36,0.002142705
23/10/2012,23.31,-0.020803128
22/10/2012,23.8,0.010984479
19/10/2012,23.54,-0.065759101
18/10/2012,25.14,-0.001192606
17/10/2012,25.17,0.043855993
16/10/2012,24.09,0.079454808
15/10/2012,22.25,0.006312014
12/10/2012,22.11,0.0177965
11/10/2012,21.72,0.031808107
10/10/2012,21.04,0.011472401
09/10/2012,20.8,0.026304488
08/10/2012,20.26,0.009422336
05/10/2012,20.07,-0.116508903
04/10/2012,22.55,0.024692613
03/10/2012,22,-0.039220713
02/10/2012,22.88,0.042407604
01/10/2012,21.93,-0.009981934
28/09/2012,22.15,-0.042427928
27/09/2012,23.11,0.100516265
26/09/2012,20.9,0.018836587
25/09/2012,20.51,-0.023609866
24/09/2012,21,-0.009478744
21/09/2012,21.2,-0.062620409
20/09/2012,22.57,-0.039527404
19/09/2012,23.48,0.014154214
18/09/2012,23.15,-0.003880151
17/09/2012,23.24,-0.057277932
14/09/2012,24.61,0.084760578
13/09/2012,22.61,0.005766261
12/09/2012,22.48,0.030716055
11/09/2012,21.8,0.047437868
10/09/2012,20.79,0.016978337
07/09/2012,20.44,0.020262616
06/09/2012,20.03,0.071385004
05/09/2012,18.65,-0.014373418
04/09/2012,18.92,-0.055012585
31/08/2012,19.99,0.016137516
30/08/2012,19.67,-0.207258001
29/08/2012,24.2,-0.060138359
28/08/2012,25.7,0.006245141
27/08/2012,25.54,0.030612607
24/08/2012,24.77,0.006480379
23/08/2012,24.61,0.028019962
22/08/2012,23.93,-0.008737314
21/08/2012,24.14,0.072134266
20/08/2012,22.46,0.054908576
17/08/2012,21.26,-0.010760338
16/08/2012,21.49,0.01831467
15/08/2012,21.1,0.051542764
14/08/2012,20.04,-0.022206686
13/08/2012,20.49,-0.044854847
10/08/2012,21.43,-0.012520451
09/08/2012,21.7,0.013454158
08/08/2012,21.41,0.034691053
07/08/2012,20.68,0.081575151
06/08/2012,19.06,0.110855356
03/08/2012,17.06,-0.049738746
02/08/2012,17.93,0.191848107
01/08/2012,14.8,-0.048790164
31/07/2012,15.54,0.089471403
30/07/2012,14.21,-0.020202707
27/07/2012,14.5,0.03509132
26/07/2012,14,-0.012775191
25/07/2012,14.18,0.00778765
24/07/2012,14.07,-0.010604553
23/07/2012,14.22,-0.039301852
20/07/2012,14.79,-0.022728251
19/07/2012,15.13,0.044601987
18/07/2012,14.47,0.000691324
17/07/2012,14.46,-0.035329761
16/07/2012,14.98,0.055588924
13/07/2012,14.17,0.011355693
12/07/2012,14.01,-0.044668975
11/07/2012,14.65,0.032607814
10/07/2012,14.18,-0.025758473
09/07/2012,14.55,-0.031125652
06/07/2012,15.01,-0.027597021
05/07/2012,15.43,-0.01543439
03/07/2012,15.67,0.025203273
02/07/2012,15.28,0.014502561
29/06/2012,15.06,0.02079914
28/06/2012,14.75,-0.039872391
27/06/2012,15.35,0.030425627
26/06/2012,14.89,-0.020605581
25/06/2012,15.2,-0.043765028
22/06/2012,15.88,0.088156984
21/06/2012,14.54,-0.026469139
20/06/2012,14.93,-0.019894555
19/06/2012,15.23,0.051189626
18/06/2012,14.47,0.036598032
15/06/2012,13.95,0.036500402
14/06/2012,13.45,-0.028583844
13/06/2012,13.84,-0.07714835
12/06/2012,14.95,0.192675983
11/06/2012,12.33,-0.037409854
08/06/2012,12.8,-0.003120127
07/06/2012,12.84,-0.035950334
06/06/2012,13.31,0.050858417
05/06/2012,12.65,0.029685292
04/06/2012,12.28,0.042418001
01/06/2012,11.77,-0.06496324
31/05/2012,12.56,-0.064737546
30/05/2012,13.4,-0.060097705
29/05/2012,14.23,-0.00700283
25/05/2012,14.33,0.007705817
24/05/2012,14.22,-0.002808991
23/05/2012,14.26,0.047388622
22/05/2012,13.6,-0.016770353
21/05/2012,13.83,0.012368292
18/05/2012,13.66,-0.088230741
17/05/2012,14.92,0.065074858
16/05/2012,13.98,-0.08563943
15/05/2012,15.23,-0.059271886
14/05/2012,16.16,0.00123839
11/05/2012,16.14,0.003102702
10/05/2012,16.09,-0.050298393
09/05/2012,16.92,0.022714665
08/05/2012,16.54,-0.066086597
07/05/2012,17.67,0.042190597
04/05/2012,16.94,-0.064575415
03/05/2012,18.07,-0.007717789
02/05/2012,18.21,-0.011466137
01/05/2012,18.42,0.001086366
30/04/2012,18.4,0.00272109
27/04/2012,18.35,0.002182216
26/04/2012,18.31,0.000546299
25/04/2012,18.3,-0.018408749
24/04/2012,18.64,-0.032201251
23/04/2012,19.25,-0.070204259
20/04/2012,20.65,-0.035675603
19/04/2012,21.4,0.001870908
18/04/2012,21.36,-0.072233557
17/04/2012,22.96,0.097839508
16/04/2012,20.82,-0.000480192
13/04/2012,20.83,-0.054648198
12/04/2012,22,-0.022472856
11/04/2012,22.5,0.051059404
10/04/2012,21.38,0.057268473
09/04/2012,20.19,-0.038382171
05/04/2012,20.98,-0.035124191
04/04/2012,21.73,-0.039256112
03/04/2012,22.6,-0.081946952
02/04/2012,24.53,-0.020976969
30/03/2012,25.05,-0.002790514
29/03/2012,25.12,0.001992429
28/03/2012,25.07,-0.040646471
27/03/2012,26.11,-0.011802916
26/03/2012,26.42,0.011802916
23/03/2012,26.11,-0.031664915
22/03/2012,26.95,0.023274324
21/03/2012,26.33,-0.042021427
20/03/2012,27.46,-0.04312088
19/03/2012,28.67,-0.014199373
16/03/2012,29.08,0.043576817
15/03/2012,27.84,0.026940108
14/03/2012,27.1,-0.008085307
13/03/2012,27.32,0.056082428
12/03/2012,25.83,-0.062285695
09/03/2012,27.49,0.049973112
08/03/2012,26.15,0.013474699
07/03/2012,25.8,-0.068527647
06/03/2012,27.63,-0.01615544
05/03/2012,28.08,-0.066806247
02/03/2012,30.02,-0.013236461
01/03/2012,30.42,-0.059966943
29/02/2012,32.3,-0.119501544
28/02/2012,36.4,0.007445229
27/02/2012,36.13,0.015339863
24/02/2012,35.58,-0.044525079
23/02/2012,37.2,-0.083757882
22/02/2012,40.45,-0.046609909
21/02/2012,42.38,-0.004942931
17/02/2012,42.59,0.070016439
16/02/2012,39.71,0.015224856
15/02/2012,39.11,-0.002553628
14/02/2012,39.21,-0.062048814
13/02/2012,41.72,-0.051161454
10/02/2012,43.91,-0.110290271
09/02/2012,49.03,0.067929948
08/02/2012,45.81,-0.016883518
07/02/2012,46.59,0.00214869
06/02/2012,46.49,0.029025496
03/02/2012,45.16,0.009343783
02/02/2012,44.74,0.04713753
01/02/2012,42.68,0.009416265
31/01/2012,42.28,-0.035319656
30/01/2012,43.8,-0.038957243
27/01/2012,45.54,0.10648348
26/01/2012,40.94,0.05859627
25/01/2012,38.61,0.0138221
24/01/2012,38.08,0.005529968
23/01/2012,37.87,-0.015199454
20/01/2012,38.45,-0.006480904
19/01/2012,38.7,-0.10512793
18/01/2012,42.99,0.072088076
17/01/2012,40,0.002002003
13/01/2012,39.92,-0.040982302
12/01/2012,41.59,-0.005036586
11/01/2012,41.8,0.075249588
10/01/2012,38.77,0.05106254
09/01/2012,36.84,0.043551467
06/01/2012,35.27,-0.005936413
05/01/2012,35.48,0.02222947
04/01/2012,34.7,-0.030928838
03/01/2012,35.79,0.058391855
30/12/2011,33.76,0.027020557
29/12/2011,32.86,0.022777224
28/12/2011,32.12,-0.025208836
27/12/2011,32.94,-0.052051962
23/12/2011,34.7,0.015977101
22/12/2011,34.15,0.071296296
21/12/2011,31.8,-0.03339828
20/12/2011,32.88,0.075137887
19/12/2011,30.5,-0.045192757
16/12/2011,31.91,0.014520457
15/12/2011,31.45,-0.061652803
14/12/2011,33.45,-0.241097993
13/12/2011,42.57,-0.041188383
12/12/2011,44.36,-0.029103465
09/12/2011,45.67,0.011008478
08/12/2011,45.17,-0.060559506
07/12/2011,47.99,0.03996281
06/12/2011,46.11,-0.034949221
05/12/2011,47.75,-0.00041876
02/12/2011,47.77,0.004616038
01/12/2011,47.55,-0.006498293
30/11/2011,47.86,0.088417981
29/11/2011,43.81,-0.016974494
28/11/2011,44.56,0.099988972
25/11/2011,40.32,-0.030771659
23/11/2011,41.58,0.018937201
22/11/2011,40.8,-0.064768274
21/11/2011,43.53,-0.042942419
18/11/2011,45.44,-0.003734216
17/11/2011,45.61,0.034574649
16/11/2011,44.06,-0.021332346
15/11/2011,45.01,0.00803038
14/11/2011,44.65,-0.031741699
11/11/2011,46.09,0.021048793
10/11/2011,45.13,0.003329267
09/11/2011,44.98,-0.055563842
08/11/2011,47.55,-0.003987832
07/11/2011,47.74,-0.03801958
04/11/2011,49.59,0.028845203
03/11/2011,48.18,0.019914713
02/11/2011,47.23,0.009573523
01/11/2011,46.78,-0.061956632
31/10/2011,49.77,-0.081386451
28/10/2011,53.99,0.020395505
27/10/2011,52.9,0.137373493
26/10/2011,46.11,0.063570292
25/10/2011,43.27,-0.292121016
24/10/2011,57.95,0.074864879
21/10/2011,53.77,0.027528133
20/10/2011,52.31,0.023990317
19/10/2011,51.07,-0.090546014
18/10/2011,55.91,0.054206343
17/10/2011,52.96,-0.059913511
14/10/2011,56.23,-0.010965798
13/10/2011,56.85,-0.004037572
12/10/2011,57.08,0.020710538
11/10/2011,55.91,-0.066927902
10/10/2011,59.78,0.000669344
07/10/2011,59.74,-0.08022296
06/10/2011,64.73,0.06148433
05/10/2011,60.87,0.052097747
04/10/2011,57.78,-0.00207469
03/10/2011,57.9,-0.087745132
30/09/2011,63.21,-0.028386185
29/09/2011,65.03,0.004315001
28/09/2011,64.75,-0.109875405
27/09/2011,72.27,0.007639457
26/09/2011,71.72,0.020851699
23/09/2011,70.24,0.049466646
22/09/2011,66.85,-0.095106174
21/09/2011,73.52,-0.074545075
20/09/2011,79.21,-0.057642242
19/09/2011,83.91,-0.02110803
16/09/2011,85.7,-0.055159789
15/09/2011,90.56,-0.010326358
14/09/2011,91.5,0.006468966
13/09/2011,90.91,0.05459291
12/09/2011,86.08,0.013096539
09/09/2011,84.96,-0.019927246
08/09/2011,86.67,-0.039367147
07/09/2011,90.15,0.028808113
06/09/2011,87.59,-0.028253328
02/09/2011,90.1,-0.073172066
01/09/2011,96.94,-0.030877936
31/08/2011,99.98,-0.019316137
30/08/2011,101.93,-0.003721117
29/08/2011,102.31,0.01576232
26/08/2011,100.71,0.042805724
25/08/2011,96.49,0.007281081
