Date,Close,NE
14/06/2012,31.25,0.017431042
13/06/2012,30.71,-0.029833808
12/06/2012,31.64,0.018501325
11/06/2012,31.06,-0.026058036
08/06/2012,31.88,0.000313725
07/06/2012,31.87,0.005348448
06/06/2012,31.7,0.028477368
05/06/2012,30.81,0.024976652
04/06/2012,30.05,-0.017810497
01/06/2012,30.59,-0.021986013
31/05/2012,31.27,-0.041653117
30/05/2012,32.6,-0.046450298
29/05/2012,34.15,0.011782169
25/05/2012,33.75,-0.008849615
24/05/2012,34.05,-0.018621428
23/05/2012,34.69,0.031330333
22/05/2012,33.62,-0.002673401
21/05/2012,33.71,0.044896833
18/05/2012,32.23,-0.008957589
17/05/2012,32.52,-0.011921278
16/05/2012,32.91,0.001216175
15/05/2012,32.87,-0.01479719
14/05/2012,33.36,-0.030117422
11/05/2012,34.38,-0.018729837
10/05/2012,35.03,0.011773287
09/05/2012,34.62,-0.021149688
08/05/2012,35.36,-0.025409716
07/05/2012,36.27,-0.008237279
04/05/2012,36.57,-0.059707346
03/05/2012,38.82,0.006460806
02/05/2012,38.57,-0.005687709
01/05/2012,38.79,0.01899862
30/04/2012,38.06,0.003157897
27/04/2012,37.94,0.00263922
26/04/2012,37.84,0.018941476
25/04/2012,37.13,0.003507356
24/04/2012,37,-0.009414999
23/04/2012,37.35,-0.00853111
20/04/2012,37.67,-0.005559247
19/04/2012,37.88,0.033555692
18/04/2012,36.63,0.009325356
17/04/2012,36.29,0.031348775
16/04/2012,35.17,-0.016356823
13/04/2012,35.75,-0.021583572
12/04/2012,36.53,0.029164683
11/04/2012,35.48,-0.002814525
10/04/2012,35.58,-0.02305978
09/04/2012,36.41,-0.015804144
05/04/2012,36.99,0
04/04/2012,36.99,-0.007809384
03/04/2012,37.28,-0.016494122
02/04/2012,37.9,0.011410499
30/03/2012,37.47,0.01343384
29/03/2012,36.97,-0.011563931
28/03/2012,37.4,-0.025083823
27/03/2012,38.35,-0.012438616
26/03/2012,38.83,0.012177894
23/03/2012,38.36,0.00706347
22/03/2012,38.09,-0.026170687
21/03/2012,39.1,-0.022506956
20/03/2012,39.99,-0.024942644
19/03/2012,41,-0.006079046
16/03/2012,41.25,0.047155138
15/03/2012,39.35,0.011501724
14/03/2012,38.9,-0.01732969
13/03/2012,39.58,0.024553663
12/03/2012,38.62,-0.014651335
09/03/2012,39.19,0.002554932
08/03/2012,39.09,0.010544009
07/03/2012,38.68,0.012487155
06/03/2012,38.2,-0.031437786
05/03/2012,39.42,-0.021829997
02/03/2012,40.29,-0.015026764
01/03/2012,40.9,0.017760704
29/02/2012,40.18,0.007243693
28/02/2012,39.89,0.024617409
27/02/2012,38.92,-0.000513743
24/02/2012,38.94,-0.001796024
23/02/2012,39.01,0.002309766
22/02/2012,38.92,-0.005381179
21/02/2012,39.13,0.019874186
17/02/2012,38.36,-0.002083334
16/02/2012,38.44,0.011249301
15/02/2012,38.01,-0.015143893
14/02/2012,38.59,-0.010568471
13/02/2012,39,0.001282874
10/02/2012,38.95,0.035806778
09/02/2012,37.58,-0.008742936
08/02/2012,37.91,0.014079128
07/02/2012,37.38,-0.010114539
06/02/2012,37.76,0.02303879
03/02/2012,36.9,0.010351495
02/02/2012,36.52,0.03001893
01/02/2012,35.44,0.017074974
31/01/2012,34.84,0.003450262
30/01/2012,34.72,-0.018830799
27/01/2012,35.38,0.016241987
26/01/2012,34.81,0.000574713
25/01/2012,34.79,0.006922439
24/01/2012,34.55,0.005223459
23/01/2012,34.37,-0.00926737
20/01/2012,34.69,0.002308803
19/01/2012,34.61,0.011624659
18/01/2012,34.21,0.032078783
17/01/2012,33.13,0.037833207
13/01/2012,31.9,0.023149916
12/01/2012,31.17,0.02172941
11/01/2012,30.5,-0.014969365
10/01/2012,30.96,0.01825344
09/01/2012,30.4,0.003624983
06/01/2012,30.29,-0.002637654
05/01/2012,30.37,-0.01891772
04/01/2012,30.95,-0.023312568
03/01/2012,31.68,0.04718161
30/12/2011,30.22,-0.016409951
29/12/2011,30.72,0.001955035
28/12/2011,30.66,-0.025758024
27/12/2011,31.46,-0.00538914
23/12/2011,31.63,-0.000316106
22/12/2011,31.64,0.001265022
21/12/2011,31.6,-0.005365328
20/12/2011,31.77,0.05865929
19/12/2011,29.96,-0.02113685
16/12/2011,30.6,-0.002610968
15/12/2011,30.68,-0.000977358
14/12/2011,30.71,-0.028885192
13/12/2011,31.61,-0.008191602
12/12/2011,31.87,-0.03605382
09/12/2011,33.04,0.011567861
08/12/2011,32.66,-0.041385216
07/12/2011,34.04,-0.033793829
06/12/2011,35.21,-0.000851668
05/12/2011,35.24,0.016884075
02/12/2011,34.65,-0.002306141
