Date,Close,PVH
07/09/2011,63.68,0.047762112
06/09/2011,60.71,-0.027777308
02/09/2011,62.42,-0.06181132
01/09/2011,66.4,-0.003908016
31/08/2011,66.66,0.026757449
30/08/2011,64.9,0.006337451
29/08/2011,64.49,0.054325693
26/08/2011,61.08,0.056927307
25/08/2011,57.7,-0.028026441
24/08/2011,59.34,0.047804806
23/08/2011,56.57,0.070294256
22/08/2011,52.73,0.02418544
19/08/2011,51.47,-0.062143485
18/08/2011,54.77,-0.101812143
17/08/2011,60.64,-0.032768544
16/08/2011,62.66,-0.032810415
15/08/2011,64.75,0.002783794
12/08/2011,64.57,0.023029137
11/08/2011,63.1,0.051043096
10/08/2011,59.96,-0.016540238
09/08/2011,60.96,0.050982526
08/08/2011,57.93,-0.139919541
05/08/2011,66.63,0.06478869
04/08/2011,62.45,-0.105952814
03/08/2011,69.43,0.027599036
02/08/2011,67.54,-0.045584105
01/08/2011,70.69,-0.012092386
29/07/2011,71.55,-0.00320938
28/07/2011,71.78,0.000418031
27/07/2011,71.75,-0.026543537
26/07/2011,73.68,-0.00716752
25/07/2011,74.21,-0.006179493
22/07/2011,74.67,-0.005209389
21/07/2011,75.06,0.015169094
20/07/2011,73.93,-0.018228624
19/07/2011,75.29,0.025559637
18/07/2011,73.39,-0.005300006
15/07/2011,73.78,0.013371737
14/07/2011,72.8,0.033522692
13/07/2011,70.4,0.036451823
12/07/2011,67.88,-0.005435994
11/07/2011,68.25,-0.026602696
08/07/2011,70.09,-0.006824995
07/07/2011,70.57,0.019893322
06/07/2011,69.18,0.010170072
05/07/2011,68.48,0.021401451
01/07/2011,67.03,0.023548258
30/06/2011,65.47,0.004592782
29/06/2011,65.17,-0.004898219
28/06/2011,65.49,0.014147553
27/06/2011,64.57,0.003568385
24/06/2011,64.34,-0.016340737
23/06/2011,65.4,0.034851069
22/06/2011,63.16,-0.021459043
21/06/2011,64.53,0.017981878
20/06/2011,63.38,0.012383076
17/06/2011,62.6,0.014157251
16/06/2011,61.72,-0.006459971
15/06/2011,62.12,-0.026058036
14/06/2011,63.76,0.010722272
13/06/2011,63.08,0.014852944
10/06/2011,62.15,-0.017860465
09/06/2011,63.27,0.012084739
08/06/2011,62.51,-0.025897547
07/06/2011,64.15,0.011602513
06/06/2011,63.41,-0.019057122
03/06/2011,64.63,-0.008167084
02/06/2011,65.16,-0.018097977
01/06/2011,66.35,0.005743668
