Date,Close,BTU
29/06/2012,24.52,0.052324134
28/06/2012,23.27,0.043924496
27/06/2012,22.27,0.053020022
26/06/2012,21.12,-0.015970278
25/06/2012,21.46,-0.050873822
22/06/2012,22.58,-0.011010902
21/06/2012,22.83,-0.067327008
20/06/2012,24.42,0.010290274
19/06/2012,24.17,0.037088111
18/06/2012,23.29,-0.022921207
15/06/2012,23.83,0.027655453
14/06/2012,23.18,0.007360934
13/06/2012,23.01,-0.013382457
12/06/2012,23.32,0.008613318
11/06/2012,23.12,-0.048542976
08/06/2012,24.27,-0.001646769
07/06/2012,24.31,0.009506168
06/06/2012,24.08,0.017595762
05/06/2012,23.66,-0.005899722
04/06/2012,23.8,0.036803469
01/06/2012,22.94,-0.018143046
31/05/2012,23.36,-0.024525542
30/05/2012,23.94,-0.05208663
29/05/2012,25.22,0.054596042
25/05/2012,23.88,0.000837872
24/05/2012,23.86,-0.026469701
23/05/2012,24.5,0.035310003
22/05/2012,23.65,-0.040196006
21/05/2012,24.62,0.035134839
18/05/2012,23.77,-0.048850262
17/05/2012,24.96,-0.011155494
16/05/2012,25.24,-0.033505277
15/05/2012,26.1,-0.070269196
14/05/2012,28,-0.016997576
11/05/2012,28.48,-0.016713481
10/05/2012,28.96,-0.011330593
09/05/2012,29.29,0.008227678
08/05/2012,29.05,-0.014693584
07/05/2012,29.48,0.011600267
04/05/2012,29.14,-0.036061195
03/05/2012,30.21,-0.01119169
02/05/2012,30.55,-0.033475929
01/05/2012,31.59,0.015311304
30/04/2012,31.11,0.029687387
27/04/2012,30.2,-0.012831234
26/04/2012,30.59,0.005572871
25/04/2012,30.42,0.015570962
24/04/2012,29.95,0.010067199
23/04/2012,29.65,-0.005046268
20/04/2012,29.8,-0.021905954
19/04/2012,30.46,0.067914755
18/04/2012,28.46,-0.008049037
17/04/2012,28.69,0.026489276
16/04/2012,27.94,-0.015625318
13/04/2012,28.38,-0.033267101
12/04/2012,29.34,0.072065071
11/04/2012,27.3,-0.003291281
10/04/2012,27.39,-0.011615376
09/04/2012,27.71,-0.020007813
05/04/2012,28.27,-0.005643754
04/04/2012,28.43,-0.010844955
03/04/2012,28.74,-0.023044872
02/04/2012,29.41,0.015419185
30/03/2012,28.96,-0.022534241
29/03/2012,29.62,0.027033297
28/03/2012,28.83,-0.034768328
27/03/2012,29.85,-0.018257769
26/03/2012,30.4,0.006931865
23/03/2012,30.19,-0.011853942
22/03/2012,30.55,-0.029352212
21/03/2012,31.46,-0.005705245
20/03/2012,31.64,-0.055330645
19/03/2012,33.44,0.005698021
16/03/2012,33.25,0.047422679
15/03/2012,31.71,0.052439198
14/03/2012,30.09,-0.020395444
13/03/2012,30.71,0.009816833
12/03/2012,30.41,-0.025646593
09/03/2012,31.2,0.011281344
08/03/2012,30.85,-0.010640113
07/03/2012,31.18,0.014212126
06/03/2012,30.74,-0.023469973
05/03/2012,31.47,-0.044133949
02/03/2012,32.89,-0.067024786
01/03/2012,35.17,0.008279847
29/02/2012,34.88,-0.014798221
28/02/2012,35.4,-0.003384098
27/02/2012,35.52,-0.022547928
24/02/2012,36.33,0.015813896
23/02/2012,35.76,-0.001117943
22/02/2012,35.8,-0.013594328
21/02/2012,36.29,0.004141936
17/02/2012,36.14,-0.004141936
16/02/2012,36.29,0.014712271
15/02/2012,35.76,0.030955191
14/02/2012,34.67,-0.03653245
13/02/2012,35.96,0.005297656
10/02/2012,35.77,-0.034888857
09/02/2012,37.04,0.005957234
08/02/2012,36.82,-0.015896873
07/02/2012,37.41,-0.039056202
06/02/2012,38.9,0.023671283
03/02/2012,37.99,0.016187165
02/02/2012,37.38,0.056969592
01/02/2012,35.31,0.035162124
31/01/2012,34.09,-0.039119167
30/01/2012,35.45,-0.019277032
27/01/2012,36.14,0.00694158
26/01/2012,35.89,-0.039338588
25/01/2012,37.33,0.012670341
24/01/2012,36.86,-0.017480612
23/01/2012,37.51,-0.009023416
20/01/2012,37.85,0.00291044
19/01/2012,37.74,0.036701367
18/01/2012,36.38,0.030136209
17/01/2012,35.3,-0.010707344
13/01/2012,35.68,-0.040642606
12/01/2012,37.16,0.003504519
11/01/2012,37.03,0.026821531
10/01/2012,36.05,0.011999586
09/01/2012,35.62,-0.010333844
06/01/2012,35.99,-0.008852063
05/01/2012,36.31,-0.009865797
04/01/2012,36.67,0.010968029
03/01/2012,36.27,0.091155602
30/12/2011,33.11,0.018595262
29/12/2011,32.5,-0.005217136
28/12/2011,32.67,-0.031337304
27/12/2011,33.71,-0.015307923
23/12/2011,34.23,-0.00901562
22/12/2011,34.54,0.018703058
21/12/2011,33.9,0.019360247
20/12/2011,33.25,0.059478662
19/12/2011,31.33,-0.051325212
16/12/2011,32.98,0.008832096
15/12/2011,32.69,-0.033687396
14/12/2011,33.81,0.005040782
13/12/2011,33.64,-0.035337302
12/12/2011,34.85,-0.052268429
09/12/2011,36.72,0.039438602
08/12/2011,35.3,-0.045682683
07/12/2011,36.95,-0.034316441
06/12/2011,38.24,-0.009629222
05/12/2011,38.61,0.010152371
02/12/2011,38.22,-0.002090957
01/12/2011,38.3,-0.023991864
30/11/2011,39.23,0.133713486
29/11/2011,34.32,-0.003200003
28/11/2011,34.43,0.049109704
25/11/2011,32.78,-0.0145369
23/11/2011,33.26,-0.040076076
22/11/2011,34.62,-0.022845083
21/11/2011,35.42,-0.017907585
18/11/2011,36.06,-0.01786498
17/11/2011,36.71,-0.068429742
16/11/2011,39.31,-0.011382442
15/11/2011,39.76,-0.002010051
14/11/2011,39.84,-0.014700651
11/11/2011,40.43,0.009942911
10/11/2011,40.03,-0.021256361
09/11/2011,40.89,-0.059573907
08/11/2011,43.4,-0.002301497
07/11/2011,43.5,-0.001607902
04/11/2011,43.57,0.022045213
03/11/2011,42.62,0.030734998
02/11/2011,41.33,0.026478625
01/11/2011,40.25,-0.074657954
31/10/2011,43.37,-0.076969581
28/10/2011,46.84,0.02136234
27/10/2011,45.85,0.097275031
26/10/2011,41.6,0.047757044
25/10/2011,39.66,-0.031764457
24/10/2011,40.94,0.051370432
21/10/2011,38.89,0.018687281
20/10/2011,38.17,0.007362642
19/10/2011,37.89,-0.020118249
18/10/2011,38.66,0.028067416
17/10/2011,37.59,-0.048549443
14/10/2011,39.46,0.031405412
13/10/2011,38.24,0.002094242
12/10/2011,38.16,0.014783796
11/10/2011,37.6,0.020962875
10/10/2011,36.82,0.06074345
07/10/2011,34.65,-0.031811828
06/10/2011,35.77,0.002519246
05/10/2011,35.68,0.05946918
04/10/2011,33.62,0.061647602
03/10/2011,31.61,-0.069351344
30/09/2011,33.88,-0.060138359
29/09/2011,35.98,0.006972556
28/09/2011,35.73,-0.083202472
27/09/2011,38.83,0.014004378
26/09/2011,38.29,0.04050647
23/09/2011,36.77,-0.0070461
22/09/2011,37.03,-0.076150559
21/09/2011,39.96,-0.070992872
20/09/2011,42.9,-0.038413502
19/09/2011,44.58,-0.033310679
16/09/2011,46.09,-0.027604192
15/09/2011,47.38,0.027604192
14/09/2011,46.09,-0.000433839
13/09/2011,46.11,0.000216896
12/09/2011,46.1,-0.015283905
09/09/2011,46.81,-0.018205414
08/09/2011,47.67,-0.021787354
07/09/2011,48.72,0.0666206
06/09/2011,45.58,-0.004596703
02/09/2011,45.79,-0.039607018
01/09/2011,47.64,-0.024057568
31/08/2011,48.8,0.003489688
30/08/2011,48.63,0.000822876
29/08/2011,48.59,0.031144747
26/08/2011,47.1,0.024283991
25/08/2011,45.97,0.019772173
24/08/2011,45.07,0.049111938
23/08/2011,42.91,0.030043655
22/08/2011,41.64,-0.030043655
19/08/2011,42.91,-0.02667438
18/08/2011,44.07,-0.074739884
17/08/2011,47.49,-0.011514835
16/08/2011,48.04,-0.039989008
15/08/2011,50,0.036041771
12/08/2011,48.23,-0.006818913
11/08/2011,48.56,0.065967328
10/08/2011,45.46,-0.01028568
09/08/2011,45.93,0.090401715
08/08/2011,41.96,-0.110661028
05/08/2011,46.87,-0.045462374
04/08/2011,49.05,-0.096514162
03/08/2011,54.02,-0.010129933
02/08/2011,54.57,-0.037054599
01/08/2011,56.63,-0.014724192
29/07/2011,57.47,0.000348068
28/07/2011,57.45,-0.018795277
27/07/2011,58.54,-0.019621739
26/07/2011,59.7,-0.014632785
25/07/2011,60.58,-0.012956311
22/07/2011,61.37,0.002447183
21/07/2011,61.22,0.003927992
20/07/2011,60.98,0.0050966
19/07/2011,60.67,0.012772837
18/07/2011,59.9,0.00485316
15/07/2011,59.61,0.026690917
14/07/2011,58.04,-0.012499093
13/07/2011,58.77,0.014223528
12/07/2011,57.94,0.001727414
11/07/2011,57.84,-0.035830304
08/07/2011,59.95,-0.021289689
07/07/2011,61.24,0.012818581
06/07/2011,60.46,-0.00379695
05/07/2011,60.69,0.021653078
01/07/2011,59.39,0.008115006
30/06/2011,58.91,0.012469202
29/06/2011,58.18,0.004478905
28/06/2011,57.92,0.0228771
27/06/2011,56.61,-0.007567128
24/06/2011,57.04,0.001930333
23/06/2011,56.93,0.002462189
22/06/2011,56.79,-0.002989013
21/06/2011,56.96,0.049483874
20/06/2011,54.21,0.006291657
17/06/2011,53.87,0.005584527
16/06/2011,53.57,-0.004284257
15/06/2011,53.8,-0.030568867
14/06/2011,55.47,0.041408069
13/06/2011,53.22,-0.038880991
10/06/2011,55.33,-0.017379278
09/06/2011,56.3,0.019007207
08/06/2011,55.24,-0.028904778
07/06/2011,56.86,-0.001581584
06/06/2011,56.95,-0.031287661
03/06/2011,58.76,0.004947549
02/06/2011,58.47,-0.013589474
01/06/2011,59.27,-0.034654881
31/05/2011,61.36,-0.004228336
27/05/2011,61.62,0.016031752
26/05/2011,60.64,0.03969576
25/05/2011,58.28,0.009655247
24/05/2011,57.72,0.008350779
23/05/2011,57.24,-0.0268889
20/05/2011,58.8,-0.012506501
19/05/2011,59.54,-0.018306386
18/05/2011,60.64,0.033196678
17/05/2011,58.66,-0.002383791
16/05/2011,58.8,0.005970167
13/05/2011,58.45,-0.04581209
12/05/2011,61.19,-0.00277438
11/05/2011,61.36,-0.035540798
10/05/2011,63.58,-0.005020406
09/05/2011,63.9,0.02664287
06/05/2011,62.22,0.007582516
05/05/2011,61.75,-0.036101559
04/05/2011,64.02,-0.012110069
03/05/2011,64.8,-0.024692613
02/05/2011,66.42,-0.006004221
29/04/2011,66.82,0.034407413
28/04/2011,64.56,-0.003556247
27/04/2011,64.79,-0.002466473
26/04/2011,64.95,0.000307977
25/04/2011,64.93,-0.01664796
21/04/2011,66.02,0.017110103
20/04/2011,64.9,0.01913413
19/04/2011,63.67,-0.003918807
18/04/2011,63.92,-0.025485973
15/04/2011,65.57,-0.002893476
14/04/2011,65.76,0.008859077
