Date,Close,ITW
22/02/2013,61.48,-0.002274574
21/02/2013,61.62,-0.024051183
20/02/2013,63.12,-0.016809759
19/02/2013,64.19,0.014752308
15/02/2013,63.25,-0.007089435
14/02/2013,63.7,0.002357565
13/02/2013,63.55,0.008374861
12/02/2013,63.02,0.003497063
11/02/2013,62.8,0.001274697
08/02/2013,62.72,0.010417596
07/02/2013,62.07,-0.003216988
06/02/2013,62.27,-0.009112045
05/02/2013,62.84,0.016850274
04/02/2013,61.79,-0.017804625
01/02/2013,62.9,0.001113497
31/01/2013,62.83,-0.011551675
30/01/2013,63.56,-0.009083853
29/01/2013,64.14,-0.020065498
28/01/2013,65.44,0.00690028
25/01/2013,64.99,0.002464953
24/01/2013,64.83,0.013979724
23/01/2013,63.93,0.00438941
22/01/2013,63.65,-0.00109916
18/01/2013,63.72,0.006613156
17/01/2013,63.3,0.01608443
16/01/2013,62.29,-0.005283817
15/01/2013,62.62,-0.004143432
14/01/2013,62.88,0.005102052
11/01/2013,62.56,-0.003191832
10/01/2013,62.76,0.014282518
09/01/2013,61.87,-0.005641082
08/01/2013,62.22,-0.000642674
07/01/2013,62.26,-0.00224611
04/01/2013,62.4,0.002728077
03/01/2013,62.23,0.004025446
02/01/2013,61.98,0.019057503
31/12/2012,60.81,0.013076409
28/12/2012,60.02,-0.0111011
27/12/2012,60.69,-0.005094924
26/12/2012,61,-0.001310616
24/12/2012,61.08,-0.003432217
21/12/2012,61.29,-0.009741918
20/12/2012,61.89,0.00811166
19/12/2012,61.39,-0.006494584
18/12/2012,61.79,0.025073005
17/12/2012,60.26,0.007328481
14/12/2012,59.82,-0.036600458
13/12/2012,62.05,-0.000966495
12/12/2012,62.11,0.004033239
11/12/2012,61.86,-0.00177663
10/12/2012,61.97,0.012993524
07/12/2012,61.17,-0.006192979
06/12/2012,61.55,-0.00259614
05/12/2012,61.71,0.008952611
04/12/2012,61.16,0.001472634
03/12/2012,61.07,-0.008153992
30/11/2012,61.57,-0.004213945
29/11/2012,61.83,0.006002127
28/11/2012,61.46,0.015082253
27/11/2012,60.54,0
26/11/2012,60.54,-0.001320568
23/11/2012,60.62,0.014121009
21/11/2012,59.77,-0.001337569
20/11/2012,59.85,0.005025136
19/11/2012,59.55,0.011484673
16/11/2012,58.87,0.00204047
15/11/2012,58.75,-0.013525143
14/11/2012,59.55,-0.021266793
13/11/2012,60.83,-0.001314277
12/11/2012,60.91,0.007746227
09/11/2012,60.44,0.00149019
08/11/2012,60.35,-0.022771072
07/11/2012,61.74,-0.019408741
06/11/2012,62.95,0.00989791
05/11/2012,62.33,0.004985937
02/11/2012,62.02,-0.001611085
01/11/2012,62.12,0.012798879
31/10/2012,61.33,0.017434652
26/10/2012,60.27,-0.003312907
25/10/2012,60.47,0.005472197
24/10/2012,60.14,-0.009762632
23/10/2012,60.73,0.002803201
22/10/2012,60.56,-0.003790693
19/10/2012,60.79,0.00065822
18/10/2012,60.75,0.009427011
17/10/2012,60.18,0.009516726
16/10/2012,59.61,0.012491722
15/10/2012,58.87,0.005450533
12/10/2012,58.55,0.002051633
11/10/2012,58.43,0.002570475
10/10/2012,58.28,-0.0134642
09/10/2012,59.07,-0.022100347
08/10/2012,60.39,-0.004460974
05/10/2012,60.66,0.000989609
04/10/2012,60.6,0.012286391
03/10/2012,59.86,0.017696594
02/10/2012,58.81,-0.012840183
01/10/2012,59.57,0.001680108
28/09/2012,59.47,0.005226346
27/09/2012,59.16,0.008487574
26/09/2012,58.66,-0.018411127
25/09/2012,59.75,-0.014455681
24/09/2012,60.62,-0.003129378
21/09/2012,60.81,-0.004430231
20/09/2012,61.08,-0.001962709
19/09/2012,61.2,-0.00212193
18/09/2012,61.33,0.002448781
17/09/2012,61.18,0.000981194
14/09/2012,61.12,-0.004081972
13/09/2012,61.37,0.004736636
12/09/2012,61.08,0.012520757
11/09/2012,60.32,-0.001159805
10/09/2012,60.39,-0.003471365
07/09/2012,60.6,0.014795383
06/09/2012,59.71,0.021327823
05/09/2012,58.45,-0.008008904
04/09/2012,58.92,-0.006260066
31/08/2012,59.29,0.006260066
30/08/2012,58.92,-0.006091389
29/08/2012,59.28,-0.001011634
28/08/2012,59.34,-0.012726227
27/08/2012,60.1,0.007012886
