Date,Close,MPC
05/12/2012,58.11,-0.017907872
04/12/2012,59.16,-0.006570658
03/12/2012,59.55,0.00016794
30/11/2012,59.54,0.001512732
29/11/2012,59.45,0.003369843
28/11/2012,59.25,0.011201746
27/11/2012,58.59,-0.007989843
26/11/2012,59.06,0.001355473
23/11/2012,58.98,0.019690731
21/11/2012,57.83,0.014456404
20/11/2012,57,0.007572458
19/11/2012,56.57,0.040218205
16/11/2012,54.34,0.005166063
15/11/2012,54.06,0.0173528
14/11/2012,53.13,-0.014388737
13/11/2012,53.9,0.000371126
12/11/2012,53.88,0.014205846
09/11/2012,53.12,-0.022154867
08/11/2012,54.31,-0.020953668
07/11/2012,55.46,-0.027038289
06/11/2012,56.98,0.039740329
05/11/2012,54.76,0.031725135
02/11/2012,53.05,-0.018304583
01/11/2012,54.03,-0.016520199
31/10/2012,54.93,-0.012303394
26/10/2012,55.61,0.03012001
25/10/2012,53.96,0.00483003
24/10/2012,53.7,0.008415197
23/10/2012,53.25,-0.023569802
22/10/2012,54.52,-0.007674074
19/10/2012,54.94,0.002733985
18/10/2012,54.79,-0.017369715
17/10/2012,55.75,0.012635547
16/10/2012,55.05,0.012245424
15/10/2012,54.38,0.001472212
12/10/2012,54.3,-0.006607954
11/10/2012,54.66,-0.011640728
10/10/2012,55.3,-0.032556464
09/10/2012,57.13,-0.013733375
08/10/2012,57.92,0.054095997
05/10/2012,54.87,-0.013036578
04/10/2012,55.59,0.019435722
03/10/2012,54.52,-0.015831465
02/10/2012,55.39,0.000903098
01/10/2012,55.34,0.013645259
28/09/2012,54.59,0.001099707
27/09/2012,54.53,0.028459095
26/09/2012,53,-0.012189556
25/09/2012,53.65,0.003734832
24/09/2012,53.45,-0.005038734
21/09/2012,53.72,0.006536581
20/09/2012,53.37,0.003002442
19/09/2012,53.21,0.021657381
18/09/2012,52.07,-0.029706091
17/09/2012,53.64,-0.036067983
14/09/2012,55.61,0.017047928
13/09/2012,54.67,0.022007361
12/09/2012,53.48,0.002433774
11/09/2012,53.35,0.018731037
10/09/2012,52.36,0.009016848
07/09/2012,51.89,0.01887032
06/09/2012,50.92,0.011853161
05/09/2012,50.32,-0.009296872
04/09/2012,50.79,-0.018724947
31/08/2012,51.75,0.018331247
30/08/2012,50.81,0.021685919
29/08/2012,49.72,-0.002209946
28/08/2012,49.83,0.004626379
27/08/2012,49.6,0.017285636
24/08/2012,48.75,-0.005931094
23/08/2012,49.04,-0.004273076
22/08/2012,49.25,0.006723057
21/08/2012,48.92,-0.01279595
20/08/2012,49.55,0.006072893
17/08/2012,49.25,-0.009296752
16/08/2012,49.71,-0.000201147
15/08/2012,49.72,0.01193742
14/08/2012,49.13,-0.008714211
13/08/2012,49.56,0
10/08/2012,49.56,0.015658683
09/08/2012,48.79,-0.013841051
08/08/2012,49.47,-0.019418086
07/08/2012,50.44,0.021846745
06/08/2012,49.35,-0.000810209
03/08/2012,49.39,0.028546964
02/08/2012,48,0.025317808
01/08/2012,46.8,-0.010627093
31/07/2012,47.3,-0.003587637
30/07/2012,47.47,0.009099629
27/07/2012,47.04,0.026277627
26/07/2012,45.82,0.029006794
25/07/2012,44.51,0.001573918
24/07/2012,44.44,-0.031453313
23/07/2012,45.86,0.006563139
20/07/2012,45.56,0.001098057
19/07/2012,45.51,-0.028591941
18/07/2012,46.83,0.029911203
17/07/2012,45.45,0.013289232
16/07/2012,44.85,-0.002227172
13/07/2012,44.95,0.034400314
12/07/2012,43.43,-0.021638471
11/07/2012,44.38,0.008826582
10/07/2012,43.99,-0.009051883
09/07/2012,44.39,-0.002699664
06/07/2012,44.51,0.006989094
05/07/2012,44.2,-0.02590587
03/07/2012,45.36,-0.01553132
02/07/2012,46.07,0.025278849
29/06/2012,44.92,0.016384611
28/06/2012,44.19,0.038523966
27/06/2012,42.52,-0.000705302
26/06/2012,42.55,0.028849301
25/06/2012,41.34,-0.010826522
22/06/2012,41.79,0.011068448
21/06/2012,41.33,-0.034949474
20/06/2012,42.8,0.046141805
19/06/2012,40.87,0.025524865
18/06/2012,39.84,-0.007751008
15/06/2012,40.15,0.018856624
14/06/2012,39.4,0.016377029
13/06/2012,38.76,-0.007966122
12/06/2012,39.07,0.030931641
11/06/2012,37.88,0.013822655
08/06/2012,37.36,0.003217161
07/06/2012,37.24,0.025014899
06/06/2012,36.32,0.031322471
05/06/2012,35.2,0.026483989
04/06/2012,34.28,-0.027619707
01/06/2012,35.24,-0.023279694
31/05/2012,36.07,-0.014040148
30/05/2012,36.58,-0.017613245
29/05/2012,37.23,0.009445489
25/05/2012,36.88,0.029721505
24/05/2012,35.8,0.010671261
