Date,Close,SCG
05/12/2011,43.61,0.010835841
02/12/2011,43.14,-0.006699806
01/12/2011,43.43,-0.004365314
30/11/2011,43.62,0.035705578
29/11/2011,42.09,0.015322301
28/11/2011,41.45,0.01164779
25/11/2011,40.97,0.006611999
23/11/2011,40.7,-0.010266529
22/11/2011,41.12,-0.018313765
21/11/2011,41.88,-0.015166167
18/11/2011,42.52,0.003770033
17/11/2011,42.36,-0.004945259
16/11/2011,42.57,-0.005154651
15/11/2011,42.79,0.002808333
14/11/2011,42.67,-0.011881328
11/11/2011,43.18,0.023194199
10/11/2011,42.19,0.010004848
09/11/2011,41.77,-0.024593342
08/11/2011,42.81,0.004448093
07/11/2011,42.62,0
04/11/2011,42.62,-0.004214476
03/11/2011,42.8,0.017678716
02/11/2011,42.05,0.018239047
01/11/2011,41.29,-0.023693821
31/10/2011,42.28,-0.014557665
28/10/2011,42.9,0.000932836
27/10/2011,42.86,0.026000046
26/10/2011,41.76,0.001917546
25/10/2011,41.68,-0.020658458
24/10/2011,42.55,-0.002581858
21/10/2011,42.66,0.017737251
20/10/2011,41.91,0.007664708
19/10/2011,41.59,-0.000480769
18/10/2011,41.61,0.014768456
17/10/2011,41,0.000243932
14/10/2011,40.99,0.003421313
13/10/2011,40.85,0.005154018
12/10/2011,40.64,0.001231072
11/10/2011,40.59,-0.005650427
10/10/2011,40.82,0.016549717
07/10/2011,40.15,-0.000498008
06/10/2011,40.17,0.019862375
05/10/2011,39.38,0.000253968
04/10/2011,39.37,-0.00304337
03/10/2011,39.49,-0.024019168
30/09/2011,40.45,-0.008615438
29/09/2011,40.8,0.020302752
28/09/2011,39.98,-0.01440303
27/09/2011,40.56,0.0022214
26/09/2011,40.47,0.017951118
23/09/2011,39.75,0.009859769
22/09/2011,39.36,-0.011368065
21/09/2011,39.81,-0.027256395
20/09/2011,40.91,0.02750762
19/09/2011,39.8,-0.002008033
16/09/2011,39.88,0.004523757
15/09/2011,39.7,0.010381154
14/09/2011,39.29,0.015647363
13/09/2011,38.68,0.006224086
12/09/2011,38.44,0.002604846
09/09/2011,38.34,-0.019884451
08/09/2011,39.11,-0.004591845
07/09/2011,39.29,-0.002034071
06/09/2011,39.37,-0.000507872
02/09/2011,39.39,-0.015617446
01/09/2011,40.01,-0.005234961
31/08/2011,40.22,0.007737465
30/08/2011,39.91,0.002006522
29/08/2011,39.83,0.018753717
26/08/2011,39.09,0.000255853
25/08/2011,39.08,-0.020264118
24/08/2011,39.88,0.016433185
23/08/2011,39.23,0.016707753
22/08/2011,38.58,0
19/08/2011,38.58,-0.014666415
18/08/2011,39.15,0.013630145
17/08/2011,38.62,0.001295505
16/08/2011,38.57,-0.005945474
15/08/2011,38.8,0.031682189
12/08/2011,37.59,-0.009004298
11/08/2011,37.93,0.046130903
10/08/2011,36.22,-0.016429723
09/08/2011,36.82,0.047270407
08/08/2011,35.12,-0.060758607
05/08/2011,37.32,0.017297729
04/08/2011,36.68,-0.049205511
03/08/2011,38.53,0.004421909
02/08/2011,38.36,-0.020895898
01/08/2011,39.17,-0.000510465
29/07/2011,39.19,-0.011669336
28/07/2011,39.65,-0.004529449
27/07/2011,39.83,-0.008500051
26/07/2011,40.17,-0.006698946
25/07/2011,40.44,-0.002469747
22/07/2011,40.54,-0.010550951
21/07/2011,40.97,0.018227106
20/07/2011,40.23,0.016541731
19/07/2011,39.57,0.006846737
18/07/2011,39.3,-0.011133718
15/07/2011,39.74,0.006310762
14/07/2011,39.49,0.004568536
13/07/2011,39.31,0.002037179
12/07/2011,39.23,0.002552324
11/07/2011,39.13,-0.010676258
08/07/2011,39.55,-0.004540876
07/07/2011,39.73,0.004288063
06/07/2011,39.56,0.001517835
05/07/2011,39.5,-0.009072643
01/07/2011,39.86,0.01236921
30/06/2011,39.37,0.001525166
29/06/2011,39.31,0.006636063
28/06/2011,39.05,0.003591589
27/06/2011,38.91,0.006445813
24/06/2011,38.66,0.003368315
23/06/2011,38.53,-0.007240787
22/06/2011,38.81,-0.005652636
21/06/2011,39.03,0.002051809
20/06/2011,38.95,0.004889985
17/06/2011,38.76,-0.000515863
16/06/2011,38.78,-0.000257832
15/06/2011,38.79,-0.010003931
14/06/2011,39.18,0.003835831
13/06/2011,39.03,0.003336331
10/06/2011,38.9,-0.00819257
09/06/2011,39.22,-0.004071252
08/06/2011,39.38,-0.0035488
07/06/2011,39.52,0.003041057
06/06/2011,39.4,-0.01235985
03/06/2011,39.89,-0.012208947
02/06/2011,40.38,0.001239004
01/06/2011,40.33,-0.008395111
31/05/2011,40.67,0.005671326
27/05/2011,40.44,-0.000247249
26/05/2011,40.45,0.00049456
25/05/2011,40.43,-0.008129125
24/05/2011,40.76,-0.004406372
23/05/2011,40.94,-0.013344854
