Date,Close,FIS
15/05/2012,32.45,-0.001231907
14/05/2012,32.49,-0.007665222
11/05/2012,32.74,0.005513031
10/05/2012,32.56,0.009876623
09/05/2012,32.24,0
08/05/2012,32.24,-0.012636938
07/05/2012,32.65,-0.008539241
04/05/2012,32.93,-0.012073796
03/05/2012,33.33,-0.015776484
02/05/2012,33.86,-0.005008112
01/05/2012,34.03,0.010635255
30/04/2012,33.67,-0.006512752
27/04/2012,33.89,0.00770146
26/04/2012,33.63,0.016791999
25/04/2012,33.07,0.013394416
24/04/2012,32.63,-0.007328277
23/04/2012,32.87,-0.006066139
20/04/2012,33.07,-0.000906755
19/04/2012,33.1,-0.009321974
18/04/2012,33.41,0.003297859
17/04/2012,33.3,0.013605652
16/04/2012,32.85,0.01132723
13/04/2012,32.48,-0.012544145
12/04/2012,32.89,0.003350087
11/04/2012,32.78,0.017231196
10/04/2012,32.22,0.000310414
09/04/2012,32.21,-0.01142164
05/04/2012,32.58,0.001228501
04/04/2012,32.54,-0.020982981
03/04/2012,33.23,-0.010179729
02/04/2012,33.57,0.013495481
30/03/2012,33.12,0.002115763
29/03/2012,33.05,0
28/03/2012,33.05,-0.00302115
27/03/2012,33.15,-0.006015056
26/03/2012,33.35,0.011763067
23/03/2012,32.96,0.00060698
22/03/2012,32.94,0.001823155
21/03/2012,32.88,0
20/03/2012,32.88,0
19/03/2012,32.88,-0.003642991
16/03/2012,33,0.00516483
15/03/2012,32.83,0.018755354
14/03/2012,32.22,0.004666364
13/03/2012,32.07,0.009083853
12/03/2012,31.78,0.003151594
09/03/2012,31.68,-0.000631114
08/03/2012,31.7,0.008872048
07/03/2012,31.42,0.010880107
06/03/2012,31.08,-0.011516442
05/03/2012,31.44,0.007983437
02/03/2012,31.19,-0.023448476
01/03/2012,31.93,0.006283401
29/02/2012,31.73,0.007910182
28/02/2012,31.48,0.008293508
27/02/2012,31.22,0.004816192
24/02/2012,31.07,-0.001286588
23/02/2012,31.11,0.012289935
22/02/2012,30.73,-0.001300813
21/02/2012,30.77,0.002277535
17/02/2012,30.7,-0.014872566
16/02/2012,31.16,-0.008945747
15/02/2012,31.44,0.012804272
14/02/2012,31.04,0.067980865
13/02/2012,29,0.012142387
10/02/2012,28.65,-0.004179734
09/02/2012,28.77,-0.001736413
08/02/2012,28.82,-0.002772005
07/02/2012,28.9,-0.0123798
06/02/2012,29.26,-0.004773279
03/02/2012,29.4,0.022356907
02/02/2012,28.75,0.001740644
01/02/2012,28.7,0.004889985
31/01/2012,28.56,0
30/01/2012,28.56,0.000350201
27/01/2012,28.55,0.00491574
26/01/2012,28.41,0.002819882
25/01/2012,28.33,0.009932682
24/01/2012,28.05,0.003213715
23/01/2012,27.96,0.004301082
20/01/2012,27.84,0.008658063
19/01/2012,27.6,0.007637789
18/01/2012,27.39,0.013230623
17/01/2012,27.03,0.003335189
13/01/2012,26.94,-0.005921557
12/01/2012,27.1,-0.004785579
11/01/2012,27.23,0.002205883
10/01/2012,27.17,0.006646996
09/01/2012,26.99,0.020966698
06/01/2012,26.43,-0.017626558
05/01/2012,26.9,0.007462721
04/01/2012,26.7,0.000374602
03/01/2012,26.69,0.003753758
30/12/2011,26.59,0.002259037
29/12/2011,26.53,0.007187472
28/12/2011,26.34,-0.012075618
27/12/2011,26.66,0.002253099
23/12/2011,26.6,0.006033201
22/12/2011,26.44,0.014476443
21/12/2011,26.06,0.007317575
20/12/2011,25.87,0.033408491
19/12/2011,25.02,-0.015860761
16/12/2011,25.42,0.007502503
15/12/2011,25.23,-0.006321633
14/12/2011,25.39,0.006321633
