Date,Close,HRB
01/11/2010,11.61,-0.014536383
29/10/2010,11.78,0.011955736
28/10/2010,11.64,0.013841051
27/10/2010,11.48,0.022908491
26/10/2010,11.22,0.040005335
25/10/2010,10.78,0
22/10/2010,10.78,0.01495355
21/10/2010,10.62,-0.010304541
20/10/2010,10.73,-0.011121523
19/10/2010,10.85,-0.008260717
18/10/2010,10.94,-0.122039655
15/10/2010,12.36,0.004053512
14/10/2010,12.31,-0.106253699
13/10/2010,13.69,-0.032342021
12/10/2010,14.14,-0.004938282
11/10/2010,14.21,0.027829124
08/10/2010,13.82,0.0719951
07/10/2010,12.86,-0.003880486
06/10/2010,12.91,0.01561312
05/10/2010,12.71,0.023886486
04/10/2010,12.41,-0.014400249
01/10/2010,12.59,-0.02819294
30/09/2010,12.95,0.021069839
29/09/2010,12.68,-0.008637667
28/09/2010,12.79,0.003916965
27/09/2010,12.74,-0.025572877
24/09/2010,13.07,0.025572877
23/09/2010,12.74,-0.013255555
22/09/2010,12.91,0.000774893
21/09/2010,12.9,-0.025259667
20/09/2010,13.23,0.019077267
17/09/2010,12.98,0.000770713
16/09/2010,12.97,-0.014542928
15/09/2010,13.16,0.024616628
14/09/2010,12.84,-0.002333723
13/09/2010,12.87,-0.004651171
10/09/2010,12.93,0
09/09/2010,12.93,0.003874472
08/09/2010,12.88,0.029147396
07/09/2010,12.51,-0.061235711
03/09/2010,13.3,0.056451013
02/09/2010,12.57,-0.029010266
01/09/2010,12.94,0.00853711
31/08/2010,12.83,-0.041227212
30/08/2010,13.37,-0.016320837
27/08/2010,13.59,0.008869238
26/08/2010,13.47,0.005210283
25/08/2010,13.4,0.002989539
24/08/2010,13.36,-0.022206686
23/08/2010,13.66,0.014006864
20/08/2010,13.47,-0.018389632
19/08/2010,13.72,-0.015190165
18/08/2010,13.93,-0.005726573
17/08/2010,14.01,-0.003562526
16/08/2010,14.06,-0.00496631
13/08/2010,14.13,-0.007052215
12/08/2010,14.23,0.00140647
11/08/2010,14.21,-0.035940288
10/08/2010,14.73,-0.003388685
09/08/2010,14.78,-0.006070845
06/08/2010,14.87,-0.009370885
05/08/2010,15.01,-0.026300004
04/08/2010,15.41,-0.010971391
03/08/2010,15.58,-0.015918833
02/08/2010,15.83,0.009520859
30/07/2010,15.68,0.014777012
29/07/2010,15.45,-0.001939865
28/07/2010,15.48,-0.009643276
27/07/2010,15.63,0.00706263
26/07/2010,15.52,0.018862348
23/07/2010,15.23,0.011889176
22/07/2010,15.05,0.014051753
21/07/2010,14.84,0.010159248
20/07/2010,14.69,0.005460764
19/07/2010,14.61,0.044078489
16/07/2010,13.98,-0.044078489
15/07/2010,14.61,0.010320009
